map_order,relative_time_min,point_index,row,column,best_discrete_contact_offset_nm,best_offset_at_search_boundary,lambda_D_nm_with_profiled_contact_offset,zeta_magnitude_mV_with_profiled_contact_offset,baseline_pN_with_profiled_contact_offset,rmse_pN_with_profiled_contact_offset,rss_improvement_vs_zero_offset_pN2,zero_offset_lambda_D_nm,zero_offset_zeta_magnitude_mV
3,27.161,59,7,4,10.0,True,16.780266063679814,55.0,-171.36109001344389,12.632286128442264,562.5573321781039,16.780266063679814,40.0
3,27.161,60,7,3,10.0,True,18.453731477822707,43.0,-159.3150556336871,13.689693664167779,990.5085306591409,17.878143222611804,32.5
3,27.161,61,7,2,-5.0,False,14.7826298876199,25.0,-75.86208149225669,17.870936673977436,567.7238769640153,14.7826298876199,29.5
3,27.161,62,7,1,-2.0,False,14.321546547664008,25.0,-157.30242423878514,22.245789755625232,40.42673274315894,14.7826298876199,26.5
3,27.161,63,7,0,5.0,False,13.874844806111179,29.5,-87.79114347375511,16.429036426661288,8.771957481971185,13.44207608814922,25.0
4,53.33301666666667,0,0,0,5.0,False,14.321546547664008,50.5,-134.76176311248236,18.310756327017785,515.025171324718,13.874844806111179,43.0
4,53.33301666666667,1,0,1,-5.0,False,12.616612944575133,22.0,-37.49511417090097,19.748078694395883,74.40439535813312,12.616612944575133,26.5
4,53.33301666666667,2,0,2,10.0,True,12.223089594559632,38.5,-3.3052936708679823,17.635542230945628,162.99024583489336,11.114646149663537,26.5
4,53.33301666666667,3,0,3,10.0,True,11.472483074052871,32.5,49.53607805332828,16.659014692069615,155.2290377578065,11.472483074052871,20.5
4,53.33301666666667,4,0,4,10.0,True,10.432107924894561,28.0,-41.974647831810266,16.869544487792353,201.50386652565976,10.106721224330608,17.5
4,53.33301666666667,5,0,5,10.0,True,9.48607856330461,26.5,-119.75657322504526,21.522528980873716,355.65282611928706,8.903548887106776,16.0
4,53.33301666666667,6,0,6,10.0,True,15.749808336458166,26.5,-106.41213484333385,14.611630621394216,333.9876079586793,13.874844806111179,20.5
4,53.33301666666667,7,0,7,10.0,True,21.62186346530268,37.0,-41.025019306039724,12.140124673638523,806.0570241084079,20.94745836293309,29.5
4,53.33301666666667,8,1,7,10.0,True,23.036510285681896,31.0,-16.323942683068758,11.176957531156654,712.7580444650712,21.62186346530268,25.0
4,53.33301666666667,9,1,6,0.0,False,18.453731477822707,22.0,-71.41760338279923,13.75832754415849,0.0,18.453731477822707,22.0
4,53.33301666666667,10,1,5,10.0,True,13.02280581041226,29.5,-94.44875173289284,20.523035241341756,97.69686497633302,12.223089594559632,20.5
4,53.33301666666667,11,1,4,10.0,True,11.114646149663537,28.0,-59.7412331005454,20.355367984811533,287.42825036860086,10.106721224330608,19.0
4,53.33301666666667,12,1,3,10.0,True,9.48607856330461,32.5,9.798230278543402,18.31950860838067,285.2366289809197,9.190199357757056,19.0
4,53.33301666666667,13,1,2,10.0,True,7.598961145324,34.0,6.292714308424209,14.146684190174595,316.24970388452766,7.1323172791695315,17.5
4,53.33301666666667,14,1,1,10.0,True,10.106721224330608,28.0,-57.01950303218344,22.65715605660281,309.22294666578455,9.48607856330461,17.5
4,53.33301666666667,15,1,0,10.0,True,13.44207608814922,29.5,-43.22144889961321,18.700677480866677,43.58121960211065,13.02280581041226,20.5
4,53.33301666666667,16,2,0,10.0,True,11.841840586928083,23.5,-58.70062593423883,21.264909068238723,229.3953761439334,10.767970476385223,16.0
4,53.33301666666667,17,2,1,10.0,True,8.62583929892546,26.5,12.99367131783606,14.934583245523083,240.28319703286252,8.62583929892546,14.5
4,53.33301666666667,18,2,2,10.0,True,6.283238071370499,35.5,-37.65533155061106,12.520879005774608,247.63784844440124,5.362589971320985,17.5
4,53.33301666666667,19,2,3,10.0,True,9.791483623609768,25.0,54.379991574053946,16.049724863766883,272.684309011016,8.62583929892546,16.0
4,53.33301666666667,20,2,4,10.0,True,12.223089594559632,28.0,-39.85150114413568,13.322081267793203,73.50155281481966,11.472483074052871,19.0
