map_order,relative_time_min,point_index,row,column,window,far_baseline_150_200nm_pN,positive_fit_bins,log_force_slope_per_nm,log_force_intercept,log_linear_r2,apparent_local_decay_length_nm,fit_status
4,53.33301666666667,8,1,7,20_60nm,-18.530450872080618,9,-0.038386364220905356,6.6638679698807115,0.987447340734116,26.050917306083296,negative_log_slope
4,53.33301666666667,9,1,6,20_60nm,-58.19091055438495,8,-0.04652547058041626,6.531249427693952,0.9914398708896691,21.493603128023494,negative_log_slope
4,53.33301666666667,10,1,5,20_60nm,-59.026979982760096,5,-0.08229292963285516,7.00982325893158,0.9948997185003714,12.151712236536461,negative_log_slope
4,53.33301666666667,11,1,4,20_60nm,-33.966943820533494,4,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,12,1,3,20_60nm,38.75147177668105,3,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,13,1,2,20_60nm,26.171582111987927,2,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,14,1,1,20_60nm,-26.19506697112332,2,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,15,1,0,20_60nm,-13.586156630424242,4,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,16,2,0,20_60nm,-26.603200784297712,3,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,17,2,1,20_60nm,34.711640369951965,2,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,18,2,2,20_60nm,-18.0257278777655,1,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,19,2,3,20_60nm,77.41189656311826,3,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,20,2,4,20_60nm,-26.061000728997996,5,-0.0714521841140487,6.671515031611703,0.9404882383909972,13.99537344308252,negative_log_slope
4,53.33301666666667,21,2,5,20_60nm,-45.58107083729373,7,-0.05469995952267857,6.540946545446801,0.9903986442586545,18.28154917711412,negative_log_slope
4,53.33301666666667,22,2,6,20_60nm,-130.13607274045484,9,-0.043307683682669205,7.037144626815561,0.9859084843407949,23.090590744297376,negative_log_slope
4,53.33301666666667,23,2,7,20_60nm,-14.909677401972626,9,-0.038911002428933375,7.0353801933385745,0.9714545850190114,25.699672009899743,negative_log_slope
4,53.33301666666667,24,3,7,20_60nm,157.60207674544043,9,-0.05017962329226433,7.443717358878077,0.9927686002283269,19.92840787535684,negative_log_slope
4,53.33301666666667,25,3,6,20_60nm,28.796786946298248,9,-0.04885849502169279,7.529836616054786,0.9959006090032818,20.467269807553585,negative_log_slope
4,53.33301666666667,26,3,5,20_60nm,27.334814348633127,9,-0.04847835015198098,6.704137035943628,0.9940207500237738,20.627764700427555,negative_log_slope
4,53.33301666666667,27,3,4,20_60nm,-38.726017272450235,5,-0.05236196028038874,5.681560875296592,0.9380697930957741,19.09783351588028,negative_log_slope
4,53.33301666666667,28,3,3,20_60nm,-40.242414808985984,8,-0.04478812488598621,5.637758458347445,0.9516018083442106,22.327346870306037,negative_log_slope
4,53.33301666666667,29,3,2,20_60nm,-41.457404637851226,3,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,30,3,1,20_60nm,13.032556992958625,3,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,31,3,0,20_60nm,-75.32503698141527,5,-0.0629764650485758,6.205790745603438,0.9890270511468641,15.878947781979623,negative_log_slope
4,53.33301666666667,32,4,0,20_60nm,-1.9108419268682146,9,-0.02429000100273714,5.714594834619623,0.9777000579920947,41.169203734792525,negative_log_slope
4,53.33301666666667,33,4,1,20_60nm,-11.072196501880809,9,-0.03269150087058931,5.7886618060146535,0.9606961405761262,30.588990207532607,negative_log_slope
4,53.33301666666667,34,4,2,20_60nm,65.6590807630106,9,-0.026514716537115193,5.26957660340259,0.9249500545714351,37.71490442299106,negative_log_slope
4,53.33301666666667,35,4,3,20_60nm,-67.05757172697749,9,-0.031031862093890982,5.478724987939193,0.94658694980874,32.224943413784466,negative_log_slope
