map_order,relative_time_min,point_index,row,column,best_lambda_D_nm,lambda_profile_low_nm,lambda_profile_high_nm,best_zeta_magnitude_mV,zeta_profile_low_mV,zeta_profile_high_mV,profile_grid_points,profile_log_lambda_zeta_correlation,profile_lambda_hits_grid_boundary,profile_zeta_hits_grid_boundary,profile_status
3,27.161,36,4,4,40.750112830372316,29.683217073187816,63.50293557344233,23.5,22.0,28.0,45,0.8887016063821582,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,37,4,5,24.54371275602257,20.294088553975286,30.638870628004046,23.5,23.5,25.0,20,0.5073714049631269,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,38,4,6,16.25687467927739,15.749808336458166,17.320508075688775,32.5,32.5,32.5,4,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,39,4,7,15.258557842693115,14.7826298876199,15.749808336458166,44.5,44.5,44.5,3,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,40,5,7,16.780266063679814,16.25687467927739,17.320508075688775,47.5,47.5,47.5,3,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,41,5,6,12.223089594559632,10.767970476385223,14.7826298876199,26.5,25.0,28.0,17,-0.7644063265309042,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,42,5,5,15.258557842693115,14.321546547664008,17.320508075688775,29.5,28.0,29.5,10,-0.5468687416197305,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,43,5,4,35.89894424582464,19.66109792896721,105.43440657903933,19.0,17.5,32.5,99,0.9270296251399442,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,44,5,3,79.27318278510033,46.2568393186441,300.0,26.5,20.5,68.5,187,0.9767516167787899,True,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,45,5,2,300.0,76.80058189030967,300.0,70.0,28.0,73.0,143,0.9850289664759205,True,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,46,5,1,135.85531569916466,61.52222267906566,300.0,41.5,25.0,73.0,165,0.9838882037566687,True,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,47,5,0,20.294088553975286,15.749808336458166,25.333899557064026,20.5,20.5,22.0,31,-0.055785600247920085,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,48,6,0,13.02280581041226,11.841840586928083,13.874844806111179,32.5,32.5,34.0,7,-0.777713771047819,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,49,6,1,11.114646149663537,9.48607856330461,13.02280581041226,22.0,20.5,23.5,17,-0.7898342459335077,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,50,6,2,11.114646149663537,8.62583929892546,12.616612944575133,17.5,17.5,20.5,17,-0.8306200904741221,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,51,6,3,12.616612944575133,10.767970476385223,13.44207608814922,22.0,22.0,23.5,9,-0.8029550685469655,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,52,6,4,13.874844806111179,13.44207608814922,14.7826298876199,29.5,29.5,29.5,4,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,53,6,5,11.841840586928083,10.106721224330608,12.616612944575133,25.0,25.0,26.5,11,-0.618589574131742,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,54,6,6,17.320508075688775,16.25687467927739,18.453731477822707,31.0,31.0,32.5,6,-0.5,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,55,6,7,19.047850843082976,18.453731477822707,19.047850843082976,47.5,47.5,47.5,2,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,56,7,7,24.54371275602257,23.036510285681896,26.9914125884324,28.0,28.0,29.5,8,0.6201736729460424,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,57,7,6,20.294088553975286,19.66109792896721,20.94745836293309,46.0,46.0,46.0,3,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,58,7,5,20.294088553975286,19.66109792896721,20.94745836293309,38.5,38.5,38.5,3,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,59,7,4,16.780266063679814,16.25687467927739,16.780266063679814,40.0,40.0,40.0,2,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,60,7,3,17.878143222611804,16.25687467927739,18.453731477822707,32.5,32.5,34.0,7,-0.5960395606792687,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,61,7,2,14.7826298876199,14.321546547664008,16.780266063679814,29.5,28.0,29.5,8,-0.6666666666666667,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,62,7,1,14.7826298876199,13.44207608814922,16.25687467927739,26.5,26.5,28.0,8,-0.4685212856658184,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,63,7,0,13.44207608814922,12.223089594559632,14.7826298876199,25.0,25.0,25.0,7,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,0,0,0,13.874844806111179,13.44207608814922,13.874844806111179,43.0,43.0,43.0,2,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,1,0,1,12.616612944575133,11.841840586928083,13.874844806111179,26.5,25.0,26.5,7,-0.6779076806833016,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,2,0,2,11.114646149663537,10.106721224330608,13.02280581041226,26.5,25.0,28.0,13,-0.786860621356998,False,False,diagnostic_correlated_distance_bins_not_formal_CI
