map_order,relative_time_min,point_index,row,column,rmse_pN,mean_residual_pN,median_residual_pN,lag1_residual_Pearson_rho,Durbin_Watson,residual_sign_runs,runs_test_z,runs_test_p_naive_correlated_bins
3,27.161,20,2,4,14.018923338308003,8.449697398228219e-15,-1.9221259682355125,0.5462484527282045,0.8402505600622121,11,-2.773873772008582,0.005539316675974698
3,27.161,21,2,5,8.840740031972272,-9.217851707158057e-15,-0.4194690278256843,0.33292401111174763,1.3200224196101222,14,-1.8056949521888914,0.07096600157621807
3,27.161,22,2,6,14.440872808225699,1.4402893292434464e-14,1.3704892986388657,0.3921496682667036,1.0539595860922675,14,-1.8056949521888914,0.07096600157621807
3,27.161,23,2,7,15.568590556651458,-1.920385772324595e-14,5.211667961290431,0.7069706070914529,0.5786534183985848,8,-3.752145162010069,0.00017532789009653597
3,27.161,24,3,7,11.191329203042937,9.678744292515959e-14,-0.5927327610233988,0.4286735847099676,1.0770206371758113,10,-3.148623861354499,0.001640411890005108
3,27.161,25,3,6,16.979205359908057,8.872182268139629e-14,2.556671781797604,0.7976610502430981,0.3911833834552329,6,-4.500612321293013,6.77579882394268e-06
3,27.161,26,3,5,15.979850527482814,-1.1522314633947571e-14,1.5532314567941938,0.7089402037337271,0.5506657523949002,4,-5.16803779579338,2.365644775139772e-07
3,27.161,27,3,4,6.352136850836189,-6.913388780368543e-15,-0.9412341289627975,0.1793426626152802,1.5810030900098209,18,-0.4627660430232839,0.6435320736222223
3,27.161,28,3,3,8.660142768593678,8.449697398228219e-15,-1.877058064409482,0.3546369282219637,1.1283975897537621,16,-0.9824819002769509,0.32586249551581614
3,27.161,29,3,2,11.525191149331363,-2.1124243495570545e-14,0.9116422365800361,0.5608314491914751,0.7968426899623762,9,-3.4535646962755853,0.0005532295857902738
3,27.161,30,3,1,8.565705306463355,-4.800964430811488e-15,0.8281444364791923,0.601362811781441,0.7713312569187665,9,-3.4535646962755853,0.0005532295857902738
3,27.161,31,3,0,9.692981376437633,1.4018816137969545e-14,0.2113792767444238,0.5643623479386398,0.7614872163098599,13,-2.16462316054173,0.030416555859351053
3,27.161,32,4,0,13.2146535193214,-3.994402406435158e-14,-0.5156583857381065,0.6499226106748855,0.6379447104625536,6,-4.500612321293013,6.77579882394268e-06
3,27.161,33,4,1,7.777746716300188,7.48950451206592e-15,-0.9177706322910879,0.5288731239791499,0.9077580882378755,15,-1.209162072433962,0.2266005857286354
3,27.161,34,4,2,8.001859246163663,7.537514156374035e-15,0.03289120064246731,0.15601761211116097,1.5671640625055185,21,0.5050787374597364,0.6135035347400746
3,27.161,35,4,3,10.572233246212337,-6.529311625903624e-15,0.017418198640989146,0.42869537738337554,1.1007202913870835,16,-1.16348494879118,0.2446328013015212
3,27.161,36,4,4,14.544714754745847,-3.725548398309714e-14,-1.4179868087767886,0.7129665446838056,0.5192980274939064,10,-3.1657613722922795,0.001546776282088043
3,27.161,37,4,5,17.899801626427923,-8.449697398228219e-15,0.6526077467988785,0.809496296676209,0.35949099177450416,8,-3.833186846792646,0.00012649379958034248
3,27.161,38,4,6,8.118264312130531,6.606127056796607e-14,-0.6831271601536741,0.06651053361610004,1.8504502859291296,17,-0.8297722115409967,0.40666758491137867
3,27.161,39,4,7,13.163219026915357,-8.065620243763299e-15,-0.20003718865055475,0.6805368604690242,0.6188589574936795,8,-3.833186846792646,0.00012649379958034248
3,27.161,40,5,7,20.385017952379542,-1.4594931869666922e-14,-0.9477300292924156,0.8190466308550663,0.34114572042029107,4,-5.16803779579338,2.365644775139772e-07
3,27.161,41,5,6,17.301788367126544,-9.217851707158057e-15,4.140673362202023,0.8427406746527325,0.3053332134339308,4,-5.152792006943095,2.5663655673628154e-07
3,27.161,42,5,5,7.7045679482661305,5.914788178759753e-14,0.6154088496562906,0.32929289701550746,1.1915522088659334,11,-2.812891634063097,0.004909819436614774
3,27.161,43,5,4,18.102038008702838,3.687140682863223e-14,3.331175771052642,0.83567950613704,0.30183527119131476,6,-4.4445609774433485,8.80715268080962e-06
