metric,dataset,lag_grid_units,pairs,semivariance,semivariance_over_sample_variance
apparent_zeta_magnitude_mV,map5_minus_map2,4.242641,50,28.71,0.8596641435660934
apparent_zeta_magnitude_mV,map5_minus_map2,4.472136,96,31.6640625,0.948117700135345
apparent_zeta_magnitude_mV,map5_minus_map2,5.0,128,31.974609375,0.957416411850218
apparent_zeta_magnitude_mV,map5_minus_map2,5.09902,84,36.69642857142857,1.098801944959647
apparent_zeta_magnitude_mV,map5_minus_map2,5.385165,72,34.6875,1.038648553812221
apparent_zeta_magnitude_mV,map5_minus_map2,5.656854,32,35.96484375,1.0768960850167928
apparent_zeta_magnitude_mV,map5_minus_map2,5.830952,60,39.3375,1.1778836031881297
apparent_zeta_magnitude_mV,map5_minus_map2,6.0,32,47.6015625,1.4253346032382574
apparent_zeta_magnitude_mV,map5_minus_map2,6.082763,56,43.051339285714285,1.2890871722893376
apparent_zeta_magnitude_mV,map5_minus_map2,6.324555,48,40.5,1.2126923655321067
apparent_zeta_magnitude_mV,map5_minus_map2,6.403124,48,27.8203125,0.8330242117399368
apparent_zeta_magnitude_mV,map5_minus_map2,6.708204,40,37.6875,1.1284776179257106
apparent_zeta_magnitude_mV,map5_minus_map2,7.0,16,61.734375,1.8485137099603988
apparent_zeta_magnitude_mV,map5_minus_map2,7.071068,46,39.81521739130435,1.1921879052453321
apparent_zeta_magnitude_mV,map5_minus_map2,7.211103,32,43.3828125,1.299012481828663
apparent_zeta_magnitude_mV,map5_minus_map2,7.28011,24,55.359375,1.6576269487192339
apparent_zeta_magnitude_mV,map5_minus_map2,7.615773,20,62.55,1.8729359867662536
apparent_zeta_magnitude_mV,map5_minus_map2,7.81025,24,52.5,1.5720086219860643
apparent_zeta_magnitude_mV,map5_minus_map2,8.062258,16,63.28125,1.8948318211439168
apparent_zeta_magnitude_mV,map5_minus_map2,8.485281,8,85.5,2.5601283272344477
apparent_zeta_magnitude_mV,map5_minus_map2,8.602325,12,69.375,2.077297107624442
apparent_zeta_magnitude_mV,map5_minus_map2,9.219544,8,29.671875,0.888465587247481
apparent_zeta_magnitude_mV,map5_minus_map2,9.899495,2,196.3125,5.878189382926462
fitted_baseline_pN,map2,1.0,112,3547.560439054756,0.4643049986658398
fitted_baseline_pN,map2,1.414214,98,6010.74815406396,0.7866872070534695
fitted_baseline_pN,map2,2.0,96,6981.510854952022,0.9137407082647907
fitted_baseline_pN,map2,2.236068,168,8226.67560388052,1.0767079718314239
fitted_baseline_pN,map2,2.828427,72,8775.203329533344,1.148499325157957
fitted_baseline_pN,map2,3.0,80,8257.140252518537,1.0806951875218205
fitted_baseline_pN,map2,3.162278,140,8775.408221254398,1.1485261414030652
