model,map_order,relative_time_min,point_index,row,column,lambda_D_nm,zeta_magnitude_mV,zeta_signed_silica_mV,baseline_pN,rss_pN2,rmse_pN,r2,aic_correlated_bins_diagnostic,bic_correlated_bins_diagnostic,delta_aic_to_best_same_curve,aic_winner_tie_inclusive
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,39,4,7,15.749808336458166,59.5,-59.5,74.47791877366458,5847.095861261623,12.5709831704579,0.9969615266156795,193.32295140277108,198.15570514070376,3.908677391004659,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,40,5,7,16.25687467927739,64.0,-64.0,-17.75670251316039,15557.895100218037,20.505698021702266,0.9939891115876901,229.53200718526983,234.3647609232025,3.3495133222574225,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,41,5,6,13.02280581041226,37.0,-37.0,104.66045791463068,9670.785687763895,16.16702156106006,0.9608953034178602,211.94003613360266,216.77278987153534,0.892582878399395,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,42,5,5,15.749808336458166,41.5,-41.5,169.06606273634077,1857.0011180659026,7.084435009736948,0.9956732809898144,150.8846092792337,155.71736301716638,3.5415391206819606,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,43,5,4,34.77922432862523,28.0,-28.0,124.95604054675272,13107.322706569843,18.821582426630027,0.8603257564239399,223.19031174739638,228.02306548532906,2.8844965940631653,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,44,5,3,65.5474176783434,35.5,-35.5,63.634077269037405,5071.1845505000965,11.707221784241042,0.9367548361624024,188.0552364447303,192.88799018266297,6.808527940788736,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,45,5,2,105.43440657903933,52.0,-52.0,74.08032754251107,6393.614298911665,13.145356079508536,0.9361906635633506,196.6290724339272,201.46182617185988,7.685574363589325,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,46,5,1,89.98568650918722,47.5,-47.5,98.31424455393427,8286.03287030562,14.964853301405407,0.9258372805675437,206.22212104730957,211.05487478524225,6.397229315616784,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,47,5,0,20.294088553975286,31.0,-31.0,148.61424404302994,7885.049539410254,14.59826863059753,0.9495780761306121,204.3868171705327,209.21957090846539,2.18486091081391,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,48,6,0,12.616612944575133,46.0,-46.0,167.77057153660786,9347.133534254626,15.894188581224599,0.9836154415984708,210.6805622840689,215.5133160220016,0.6352389481304215,False
