joint_model,held_out_point_index,held_out_row,held_out_column,map_order,training_pixels_per_map,held_out_baseline_fit_window_nm,held_out_prediction_window_nm,selected_lambda_D_nm,selected_zeta_magnitude_mV,held_out_baseline_pN,held_out_shape_RMSE_pN
map_shared_lambda_and_zeta,9,1,6,2,63,150-200,20-145,22.317981094042864,28.0,4.999799489838271,45.989709467087
map_shared_lambda_and_zeta,9,1,6,3,63,150-200,20-145,16.780266063679814,28.0,-112.94892218225654,30.83818118864993
map_shared_lambda_and_zeta,9,1,6,4,63,150-200,20-145,13.44207608814922,23.5,-59.64950680556176,20.445765353266665
map_shared_lambda_and_zeta,9,1,6,5,63,150-200,20-145,11.472483074052871,19.0,-10.401218971852574,15.517948910029716
shared_lambda_map_specific_zeta,9,1,6,2,63,150-200,20-145,18.453731477822707,28.0,5.491156157776637,57.550482469921874
shared_lambda_map_specific_zeta,9,1,6,3,63,150-200,20-145,18.453731477822707,26.5,-113.02550847564748,20.972736049577602
shared_lambda_map_specific_zeta,9,1,6,4,63,150-200,20-145,18.453731477822707,22.0,-59.751593411720386,19.151151328181697
shared_lambda_map_specific_zeta,9,1,6,5,63,150-200,20-145,18.453731477822707,17.5,-10.470015134363248,26.722029860849155
map_specific_lambda_shared_zeta,9,1,6,2,63,150-200,20-145,22.317981094042864,28.0,4.999799489838271,45.989709467087
map_specific_lambda_shared_zeta,9,1,6,3,63,150-200,20-145,16.780266063679814,28.0,-112.94892218225654,30.83818118864993
map_specific_lambda_shared_zeta,9,1,6,4,63,150-200,20-145,9.48607856330461,28.0,-59.64312939888971,31.382049963053696
map_specific_lambda_shared_zeta,9,1,6,5,63,150-200,20-145,6.694329500821696,28.0,-10.400564072321547,15.71154861326086
all_shared_lambda_and_zeta,10,1,5,2,63,150-200,20-145,16.25687467927739,25.0,-78.44121494459151,50.90327379853364
all_shared_lambda_and_zeta,10,1,5,3,63,150-200,20-145,16.25687467927739,25.0,-1.7074076644750813,14.912105241457123
all_shared_lambda_and_zeta,10,1,5,4,63,150-200,20-145,16.25687467927739,25.0,-70.28452453038517,68.88110729553168
all_shared_lambda_and_zeta,10,1,5,5,63,150-200,20-145,16.25687467927739,25.0,12.470731250343361,91.36186193388663
map_shared_lambda_and_zeta,10,1,5,2,63,150-200,20-145,22.317981094042864,28.0,-79.05722230217447,33.58227770516476
map_shared_lambda_and_zeta,10,1,5,3,63,150-200,20-145,16.780266063679814,28.0,-1.7382446602446116,34.58293847522852
map_shared_lambda_and_zeta,10,1,5,4,63,150-200,20-145,13.874844806111179,23.5,-70.2456340695778,51.52443298752011
map_shared_lambda_and_zeta,10,1,5,5,63,150-200,20-145,11.841840586928083,19.0,12.517741409359724,37.5406377153951
shared_lambda_map_specific_zeta,10,1,5,2,63,150-200,20-145,18.453731477822707,28.0,-78.5658656342361,42.99676597852806
shared_lambda_map_specific_zeta,10,1,5,3,63,150-200,20-145,18.453731477822707,26.5,-1.814830953635582,27.84542817757752
shared_lambda_map_specific_zeta,10,1,5,4,63,150-200,20-145,18.453731477822707,22.0,-70.34509511068039,57.164419965617384
shared_lambda_map_specific_zeta,10,1,5,5,63,150-200,20-145,18.453731477822707,17.5,12.44926749912639,44.048646630386926
map_specific_lambda_shared_zeta,10,1,5,2,63,150-200,20-145,22.317981094042864,28.0,-79.05722230217447,33.58227770516476
map_specific_lambda_shared_zeta,10,1,5,3,63,150-200,20-145,16.780266063679814,28.0,-1.7382446602446116,34.58293847522852
map_specific_lambda_shared_zeta,10,1,5,4,63,150-200,20-145,9.791483623609768,28.0,-70.23668980913004,51.011673434065884
map_specific_lambda_shared_zeta,10,1,5,5,63,150-200,20-145,6.694329500821696,28.0,12.518718561168098,34.31894219752151
all_shared_lambda_and_zeta,11,1,4,2,63,150-200,20-145,16.25687467927739,25.0,-171.29442274242174,26.081610474501634
all_shared_lambda_and_zeta,11,1,4,3,63,150-200,20-145,16.25687467927739,25.0,21.621005449108566,40.76672006469487
all_shared_lambda_and_zeta,11,1,4,4,63,150-200,20-145,16.25687467927739,25.0,-35.7745244634724,85.7903333650673
all_shared_lambda_and_zeta,11,1,4,5,63,150-200,20-145,16.25687467927739,25.0,57.98066511481222,84.24530890175762
map_shared_lambda_and_zeta,11,1,4,2,63,150-200,20-145,22.317981094042864,28.0,-171.91043010000473,42.15339677693452
map_shared_lambda_and_zeta,11,1,4,3,63,150-200,20-145,16.780266063679814,28.0,21.590168453339036,64.27463565521379
map_shared_lambda_and_zeta,11,1,4,4,63,150-200,20-145,13.874844806111179,23.5,-35.73563400266504,67.0582912794269
map_shared_lambda_and_zeta,11,1,4,5,63,150-200,20-145,11.472483074052871,19.0,58.02799752610592,29.08548565228145
shared_lambda_map_specific_zeta,11,1,4,2,63,150-200,20-145,18.453731477822707,28.0,-171.41907343206637,41.197907526508544
shared_lambda_map_specific_zeta,11,1,4,3,63,150-200,20-145,18.453731477822707,26.5,21.513582159948065,57.95592930549353
shared_lambda_map_specific_zeta,11,1,4,4,63,150-200,20-145,18.453731477822707,22.0,-35.83509504376764,72.14776185272316
shared_lambda_map_specific_zeta,11,1,4,5,63,150-200,20-145,18.453731477822707,17.5,57.95920136359525,36.96293846533785
map_specific_lambda_shared_zeta,11,1,4,2,63,150-200,20-145,22.317981094042864,28.0,-171.91043010000473,42.15339677693452
map_specific_lambda_shared_zeta,11,1,4,3,63,150-200,20-145,16.780266063679814,28.0,21.590168453339036,64.27463565521379
map_specific_lambda_shared_zeta,11,1,4,4,63,150-200,20-145,9.791483623609768,28.0,-35.72668974221727,65.93628266925056
map_specific_lambda_shared_zeta,11,1,4,5,63,150-200,20-145,6.694329500821696,28.0,58.028652425636956,28.416628330459115
all_shared_lambda_and_zeta,12,1,3,2,63,150-200,20-145,16.25687467927739,25.0,-115.01364730490674,27.978115655190013
all_shared_lambda_and_zeta,12,1,3,3,63,150-200,20-145,16.25687467927739,25.0,-10.353397406355166,70.07036471613999
all_shared_lambda_and_zeta,12,1,3,4,63,150-200,20-145,16.25687467927739,25.0,31.6638186185324,87.41469514273597
all_shared_lambda_and_zeta,12,1,3,5,63,150-200,20-145,16.25687467927739,25.0,-46.176787624084405,80.58687539096755
map_shared_lambda_and_zeta,12,1,3,2,63,150-200,20-145,22.317981094042864,28.0,-115.6296546624897,49.41133498544359
map_shared_lambda_and_zeta,12,1,3,3,63,150-200,20-145,16.780266063679814,28.0,-10.384234402124697,94.56809697376943
map_shared_lambda_and_zeta,12,1,3,4,63,150-200,20-145,13.874844806111179,23.5,31.702709079339762,68.19068093550793
map_shared_lambda_and_zeta,12,1,3,5,63,150-200,20-145,11.472483074052871,19.0,-46.1294552127907,26.25704035318362
shared_lambda_map_specific_zeta,12,1,3,2,63,150-200,20-145,18.453731477822707,28.0,-115.13829799455134,47.81578908351037
shared_lambda_map_specific_zeta,12,1,3,3,63,150-200,20-145,18.453731477822707,26.5,-10.46082069551567,88.09830329895084
shared_lambda_map_specific_zeta,12,1,3,4,63,150-200,20-145,18.453731477822707,22.0,31.60324803823717,73.44277736458287
shared_lambda_map_specific_zeta,12,1,3,5,63,150-200,20-145,18.453731477822707,17.5,-46.198251375301375,32.86418551767255
map_specific_lambda_shared_zeta,12,1,3,2,63,150-200,20-145,22.317981094042864,28.0,-115.6296546624897,49.41133498544359
map_specific_lambda_shared_zeta,12,1,3,3,63,150-200,20-145,16.780266063679814,28.0,-10.384234402124697,94.56809697376943
map_specific_lambda_shared_zeta,12,1,3,4,63,150-200,20-145,9.791483623609768,28.0,31.711653339787542,66.35363593086419
map_specific_lambda_shared_zeta,12,1,3,5,63,150-200,20-145,6.694329500821696,28.0,-46.12880031325967,27.14092782812395
all_shared_lambda_and_zeta,13,1,2,2,63,150-200,20-145,16.25687467927739,25.0,-153.1108132360175,30.21719613569563
all_shared_lambda_and_zeta,13,1,2,3,63,150-200,20-145,16.25687467927739,25.0,24.32378851351763,84.75806849878207
all_shared_lambda_and_zeta,13,1,2,4,63,150-200,20-145,16.25687467927739,25.0,21.98341900167593,96.78720342901636
all_shared_lambda_and_zeta,13,1,2,5,63,150-200,20-145,16.25687467927739,25.0,-94.04927339873934,89.07433878266112
map_shared_lambda_and_zeta,13,1,2,2,63,150-200,20-145,22.317981094042864,28.0,-153.72682059360042,60.2852820490553
map_shared_lambda_and_zeta,13,1,2,3,63,150-200,20-145,16.780266063679814,28.0,24.2929515177481,110.01818575262685
map_shared_lambda_and_zeta,13,1,2,4,63,150-200,20-145,13.874844806111179,23.5,22.022309462483292,77.04750578793787
map_shared_lambda_and_zeta,13,1,2,5,63,150-200,20-145,11.472483074052871,19.0,-94.00194098744564,34.12622135924097
shared_lambda_map_specific_zeta,13,1,2,2,63,150-200,20-145,17.878143222611804,28.0,-153.1969515541494,55.610040252631975
