block,distance_nm,pilot_zero_speed_intercept_pN,pilot_speed_slope_pN_per_um_s,pilot_speed_slope_SE_pN_per_um_s,pilot_speed_fit_R2,theory_no_slip_hyd_slope_pN_per_um_s,observed_to_theory_slope_ratio,speed_0.05_actual_um_per_s,speed_0.05_Fsym_pN,speed_0.05_Fhistory_pN,speed_0.1_actual_um_per_s,speed_0.1_Fsym_pN,speed_0.1_Fhistory_pN,speed_0.2_actual_um_per_s,speed_0.2_Fsym_pN,speed_0.2_Fhistory_pN,claim_status
1,160.0,8.040406793634862,-20.3698890334081,1.0075994344078971,0.9975591720382406,2.144881169248182,-9.496977886447715,0.0492926380222347,6.979423393716169,-1.579130679423098,0.09829705588552728,6.1235122286457155,-0.9371199821252129,0.19610371858311543,4.017288084590172,-2.990112877707264,two_block_descriptive_pilot
1,165.0,8.348391507183527,-28.467370145125173,5.732330787356942,0.961032213589555,2.079884770180055,-13.686993891811015,0.0492926380222347,6.621462450233837,-0.6657742147975875,0.09829705588552728,6.036013312685958,-1.0236459378125466,0.19610371858311543,2.603651168811786,-2.84472284099866,two_block_descriptive_pilot
1,170.0,8.255046842389483,-25.244470870257246,0.318637052451936,0.9998407091525111,2.018711688704171,-12.505238371340631,0.0492926380222347,7.028673298810538,-0.17316696596864567,0.09829705588552728,5.746581550418362,-1.3482160845627371,0.19610371858311543,3.313527338014292,-2.374391355884537,two_block_descriptive_pilot
1,175.0,6.692317484204347,-13.559158312148318,2.997037418699273,0.9534196276398842,1.9610342118840518,-6.914289526403233,0.0492926380222347,5.854711985650168,-0.8894231924930871,0.09829705588552728,5.61352527989125,-0.7641226777510421,0.19610371858311543,3.9485217962653296,-2.6489566171742487,two_block_descriptive_pilot
1,180.0,5.2551345769256805,-3.2403626523492015,5.3845587263553805,0.26586579170141666,1.9065610393317172,-1.6995850568125557,0.0492926380222347,4.791349505938861,-0.9932864096530906,0.09829705588552728,5.393019295127718,-0.12631144108447634,0.19610371858311543,4.467343632016577,-1.116174938170644,two_block_descriptive_pilot
1,185.0,4.152537053776203,-1.5956854832271947,10.751449058925447,0.02155252229691762,1.8550323625930223,-0.8601928006240794,0.0492926380222347,3.4667611227283497,-1.0849927208156636,0.09829705588552728,4.906993924423189,-0.18166160246868346,0.19610371858311543,3.5354295251845653,-1.4765165857893554,two_block_descriptive_pilot
1,190.0,3.3122550491140728,5.67741633272602,6.668874782131261,0.42021039090046475,1.8062157214721533,3.1432659262309217,0.0492926380222347,3.2155271676416097,-1.5160298940906305,0.09829705588552728,4.435591635198495,-0.6009743471203592,0.19610371858311543,4.236936938028165,-1.347146862014835,two_block_descriptive_pilot
1,195.0,4.253931783872756,-7.208422586091451,11.14271554596103,0.29503136320647516,1.759902497844662,-4.095921560949852,0.0492926380222347,3.2693949234347093,-0.8329049179897771,0.09829705588552728,4.489837423668239,-0.5212896820464028,0.19610371858311543,2.5250756472252367,-0.9744689656931766,two_block_descriptive_pilot
1,200.0,2.792122167637911,5.583241525632965,9.604604376494928,0.25257114359969046,1.7159049353985454,3.2538175107796232,0.0492926380222347,2.5249753188275674,-0.5315465995667981,0.09829705588552728,4.155038247446726,-0.027437232994566907,0.19610371858311543,3.615276269345011,-0.26268348924326024,two_block_descriptive_pilot
1,205.0,2.422116523296591,5.009055353791888,9.244073136260143,0.22697517412823898,1.674053595510776,2.9921714377750006,0.0492926380222347,2.1470252549006874,-0.582688703868945,0.09829705588552728,3.6980326541307758,0.04348100963607793,0.19610371858311543,3.1428709887587436,-0.4525039128967321,two_block_descriptive_pilot
1,210.0,2.1096435658316204,5.239770018142121,17.6701333394179,0.08082453609080797,1.6341951765700435,3.2063306104841742,0.0492926380222347,1.3701161404880269,-0.23242525506132594,0.09829705588552728,4.122443070472424,-0.1888574532319507,0.19610371858311543,2.637245924737064,0.4738116804467928,two_block_descriptive_pilot
1,215.0,2.2759872973951567,1.6963383138898678,9.20808064563647,0.03282405272408384,1.5961906375800423,1.0627416763085753,0.0492926380222347,1.8396359163458635,-0.4488111862856765,0.09829705588552728,3.223222321722785,-0.26092252678129046,0.19610371858311543,2.348123957956651,-0.46817748804339687,two_block_descriptive_pilot
1,220.0,2.0636605464860605,2.5852939479363917,7.470268808513669,0.1069593219685332,1.5599135776350415,1.657331524645046,0.0492926380222347,1.7692601142883049,-0.5714791235744517,0.09829705588552728,2.9509778988647453,0.1991469116527228,0.19610371858311543,2.3592921255634027,-0.6973563564711622,two_block_descriptive_pilot
1,225.0,1.889967104276377,6.071821158627027,12.15754882220165,0.1996340075434272,1.5252488314653736,3.980872519530837,0.0492926380222347,1.5027421726856955,0.23471734282680487,0.09829705588552728,3.5173003120128747,-0.10412051157047358,0.19610371858311543,2.7367037621733985,0.0059670592403839595,two_block_descriptive_pilot
1,230.0,2.8536113381779513,-5.098515013019568,9.718221976253139,0.2158347499094666,1.4920912481726483,-3.4170262839244434,0.0492926380222347,2.053516692365646,-0.06973890738574018,0.09829705588552728,3.17617258728946,0.6820553179722406,0.19610371858311543,1.5788187114180818,-0.09535484262041,two_block_descriptive_pilot
1,235.0,1.7370248285834513,4.698081641867416,6.427514772272856,0.3482211867945435,1.4603446258711024,3.2171047563961066,0.0492926380222347,1.605652243413576,0.0743558790043195,0.09829705588552728,2.7436376814156946,0.357123493647263,0.19610371858311543,2.47648427257524,-0.22781028485352983,two_block_descriptive_pilot
1,240.0,0.639009843359081,7.35348488605538,8.471135067200409,0.4297232555263959,1.4299207794987878,5.142582016769422,0.0492926380222347,0.5231285015533986,-0.3196955342475436,0.09829705588552728,2.0798611690504316,0.7989148597912545,0.19610371858311543,1.8413841736618786,0.3883566234262922,two_block_descriptive_pilot
1,245.0,1.9212486663896353,-2.362064148083054,3.698881297460582,0.2896696326236552,1.4007387227743227,-1.6862988862082122,0.0492926380222347,1.5959452637974962,-0.1090621522129177,0.09829705588552728,2.002587134470829,0.5717997526206022,0.19610371858311543,1.3533877133235594,0.3115432695719897,two_block_descriptive_pilot
1,250.0,1.0203269036589806,2.695495643077968,0.0017353164808146416,0.9999995855425654,1.3727239483188363,1.9636108529898668,0.0492926380222347,1.1530970036127033,-0.6715607132855367,0.09829705588552728,1.2854332774094632,0.2076761199498804,0.19610371858311543,1.5488745258785344,0.09674648203750769,two_block_descriptive_pilot
1,255.0,0.3315634026490328,6.742214367777975,2.3991157886092536,0.8876118790814472,1.3458077924694474,5.009789960724304,0.0492926380222347,0.528429977929889,-0.0982226098603054,0.09829705588552728,1.197655678656833,0.4166894144340221,0.19610371858311543,1.5858592151670126,-0.12329843625351067,two_block_descriptive_pilot
1,260.0,0.9491791562739335,-3.300124112303643,5.442122266997217,0.2688592337861858,1.3199268733834966,-2.500232534734379,0.0492926380222347,0.47919774679163696,-0.2620489846827113,0.09829705588552728,1.0860686661725647,-0.07829980855918539,0.19610371858311543,0.1480401380565317,-0.26129682139549965,two_block_descriptive_pilot
1,265.0,0.02567416933066938,4.471631667995237,4.4848871196007485,0.4985200251474885,1.2950225927536192,3.4529371865915968,0.0492926380222347,0.4993484494210827,-0.042704698532075924,0.09829705588552728,0.08507701048659795,-0.3423522676950903,0.19610371858311543,1.0294673954598852,0.08601287517480624,two_block_descriptive_pilot
1,270.0,0.14503637034289574,1.0913617314771942,1.53407477618386,0.33603759788775756,1.2710406928878115,0.8586363423169515,0.0492926380222347,0.11220525615105498,0.45229635562672477,0.09829705588552728,0.3823443670852775,0.06861719531881971,0.19610371858311543,0.3156533255457044,-0.13222819864317434,two_block_descriptive_pilot
1,275.0,0.15611422391968216,-0.0850612735319652,2.5834246157601597,0.001082933049374124,1.247930862108033,-0.06816184783528614,0.0492926380222347,0.006038691907946571,0.18410992344659988,0.09829705588552728,0.3667276820008818,0.1301711424076612,0.19610371858311543,0.06634129847919708,0.3492174634635284,two_block_descriptive_pilot
1,280.0,0.606001355950014,-1.5510713593999408,3.0072772353025696,0.2101239550588757,1.2256463824275325,-1.2655129420998794,0.0492926380222347,0.3597279117342519,-0.05133113506786968,0.09829705588552728,0.7084366872733986,0.17355464301678636,0.19610371858311543,0.21674646031336178,-0.16705675671065462,two_block_descriptive_pilot
1,285.0,0.8981842748685593,-5.413479253018195,3.378435346176887,0.7196968990284028,1.204143814314769,-4.495708227425305,0.0492926380222347,0.4405637393157178,0.24161435932122854,0.09829705588552728,0.6524161689851442,0.4718970667908088,0.19610371858311543,-0.2590042416135743,0.38938619357066057,two_block_descriptive_pilot
1,290.0,0.2564839255967403,-2.5375403549844746,0.7279099246916754,0.9239696366371343,1.1833827140679622,-2.1443108174712973,0.0492926380222347,0.09029773803658458,0.0029411590961838097,0.09829705588552728,0.06874985609027356,-0.24601658051278522,0.19610371858311543,-0.2617317212745641,-0.06852325884050482,two_block_descriptive_pilot
1,295.0,-0.5110501881581121,0.35255259071271877,0.4853610640247304,0.34538522546857986,1.1633253799312173,0.3030558748177262,0.0492926380222347,-0.5210796507104397,-0.49842404461059425,0.09829705588552728,-0.4352554149602209,-0.4332140787252164,0.19610371858311543,-0.45564549581912184,-0.2523431330722665,two_block_descriptive_pilot
