block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,early_source,late_source,quantity,distance_nm,median_pN,q25_pN,q75_pN,paired_pixel_count
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,120.0,-2.367489881679411,-7.006431416519071,2.5244495276215297,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,125.0,6.936227824184767,-1.4500772104548711,15.653927289813335,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,125.0,-1.4553660385001006,-6.620183823669872,3.495027224115111,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,130.0,7.735165712408067,-0.3295331326548101,14.018924413202287,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,130.0,-1.9177333763475715,-6.982149531757251,3.8512654189599456,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,135.0,6.8815711332740825,-0.8586828435729718,13.943887310636864,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,135.0,-1.4780262962709916,-5.859366395294845,3.814821621326387,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,140.0,6.3208528577382905,-1.1965448549231112,14.400903202391923,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,140.0,-1.9699953222243394,-6.502197630636779,3.1759929665429456,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,145.0,7.000922727834386,-1.0905368250666672,14.182876354029137,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,145.0,-1.2801339843276325,-6.667203419253116,2.625759487579783,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,150.0,8.021982132800963,-0.761522829175957,13.32268838908288,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,150.0,-1.154284489696587,-6.672774433542622,3.3014959889685804,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,155.0,7.294529641555163,-0.7800473713430848,13.003634420472519,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,155.0,-1.1151899849644535,-5.9003728874341075,3.7089551509097323,64
