acquisition_order,baseline_method,distance_nm,finite_pixel_count,force_pixel_median_pN,spatial_mad_pN,reference_subtracted_spatial_mad_pN,reference_definition
2,linear_drift_corrected,215.0,64,26.66048184841233,149.87622124811526,15.105073500128997,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,220.0,64,23.238532637998656,153.72809919335427,16.23644394210493,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,225.0,64,24.168807918540878,144.20520642368706,15.733688904023213,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,230.0,64,21.163857819213785,152.22794293637858,11.955056610276175,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,235.0,64,23.575831008192587,140.5233117234311,11.410924777142966,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,240.0,64,19.252909529483624,143.73996353346305,20.01377060129095,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,245.0,64,13.846751463569095,151.69687578126133,17.333068471883728,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,250.0,64,12.014583250151281,150.8097582019705,13.92128699705321,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,80.0,64,69.13893413091697,45.15867845702859,35.28998148038147,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,85.0,64,62.77636199156174,39.63833780426837,33.964663344112275,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,90.0,64,64.93276394453511,34.38306077876271,27.43403919403866,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,95.0,64,61.03882477212933,43.664725491288266,33.83490512965645,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,100.0,64,59.208154535040954,36.599351421421545,33.44026819455749,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,105.0,64,56.840979498942815,41.096280207466876,29.799040978807565,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,110.0,64,56.325676726037784,36.20836639190162,34.33198032739655,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,115.0,64,60.58740869261294,37.048998073374506,32.58803362321769,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,120.0,64,58.85052624163305,38.7768579023717,36.22718063959408,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,125.0,64,49.258199577311956,39.53700898129211,31.974513487039356,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,130.0,64,50.02000708323828,50.85981154895931,26.616058572437584,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,135.0,64,50.99374131194004,48.610376396226634,29.168463207735215,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,140.0,64,45.74100170126607,51.205355778764535,28.679939940765095,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,145.0,64,43.2308688861513,44.63516161387582,32.18854288957741,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,150.0,64,40.74433891481276,51.688193167440986,30.887817332610222,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,155.0,64,35.45125309562287,43.121331187420395,24.506875084355336,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,160.0,64,42.59674122866197,40.76867191894749,28.632603848275373,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,165.0,64,42.436416495903,45.44260255862895,23.41814495720415,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,170.0,64,41.54699150044941,48.229792363582675,26.078303920217465,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,175.0,64,43.51949705634368,36.665501761606514,26.46087569893108,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,180.0,64,43.5053415859673,47.32860376691372,29.732798185322412,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,185.0,64,43.855299734637995,41.70300502568753,29.00001328486814,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,190.0,64,47.15913663319641,41.577129850071806,24.787101053734432,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,195.0,64,51.15400368579675,38.155756595117275,23.630232840328624,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,200.0,64,44.697612580891274,38.13777442717533,19.237406476431946,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,205.0,64,48.7051384902568,37.47308138631869,16.232581590015407,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,210.0,64,45.72313587632061,38.19264546406755,15.666212639700603,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,215.0,64,41.743016703648784,33.14756102892056,12.079255514362657,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,220.0,64,37.19455851334216,37.56964886405469,14.761279684154296,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,225.0,64,43.75830046516853,40.674045960636136,14.206513623699022,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,230.0,64,43.00282238763259,39.0324450657973,10.407283708623307,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,235.0,64,49.95671279939928,43.153458711130426,14.250105357302164,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,240.0,64,43.87257315003008,39.241666896447356,18.406158805477695,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,245.0,64,49.06981333940676,41.24767249544272,13.508768526076993,subtract each pixel median force over 200-250 nm before spatial MAD
2,far_constant_referenced,250.0,64,47.565404868866324,37.97094243715968,13.778593498571801,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,80.0,64,64.90093798786825,149.77635623452335,40.67059816135374,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,85.0,64,62.33606009013211,146.70436808586442,44.98813356449324,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,90.0,64,49.38542644102181,165.34622976570904,45.055184902855906,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,95.0,64,52.735720587142495,148.52627639394797,39.79770259825084,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,100.0,64,56.43305391125557,152.10289816977425,37.955941506352154,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,105.0,64,50.64205599456434,145.68100480999288,37.98203070411377,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,110.0,64,46.62211021666906,147.5010908722849,39.464551197086884,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,115.0,64,45.96452228421703,149.8805626111583,37.33183393266917,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,120.0,64,44.96850638832295,149.90928512180457,38.34442428799934,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,125.0,64,38.90159297879316,151.7058345876354,31.799209851429737,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,130.0,64,39.328103996274734,156.12565005397042,35.88657272378877,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,135.0,64,42.40034889833244,145.721234493461,30.2969916107096,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,140.0,64,40.06864168801767,138.49457093323028,31.1664967278434,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,145.0,64,42.54502777216756,138.9549893719262,27.704567435969402,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,150.0,64,38.029147780058324,148.9645143043824,32.19310084400715,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,155.0,64,42.60643527472493,131.1177076153646,28.912618978200587,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,160.0,64,33.44812355935478,130.43905473988232,26.214069204741175,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,165.0,64,34.47076100801589,137.49996310454011,20.815675894599842,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,170.0,64,39.029668637538364,136.37026439438438,24.834633921494724,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,175.0,64,44.55652593626885,135.74583830712783,27.23312582638655,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,180.0,64,38.02469026937163,128.58717920841093,24.52804767781106,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,185.0,64,36.937783978738146,129.25045906824312,18.34607432134304,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,190.0,64,40.173214423648304,127.0764843873572,20.406556750527837,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,195.0,64,43.960736789930145,120.84515717137702,20.214126467367585,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,200.0,64,38.58211052412136,128.02787764506144,18.726407659228542,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,205.0,64,45.568468645433825,122.07491369213301,11.493787796689375,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,210.0,64,46.25796011068813,127.02577664916652,10.537652214301579,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,215.0,64,39.62161481528048,129.8896581967065,15.285682787928572,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,220.0,64,43.58314357115704,124.51275076853852,11.782326396845857,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,225.0,64,38.07861890238276,142.63079087263972,9.27192378230139,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,230.0,64,40.12436711806286,115.5171118329311,8.947837494569182,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,235.0,64,42.08930497037985,115.31164456907779,12.650173049605087,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,240.0,64,36.48833856067644,112.2098763976156,13.817401233648711,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,245.0,64,36.96119804946218,123.77007285809243,7.426710065645563,subtract each pixel median force over 200-250 nm before spatial MAD
3,linear_drift_corrected,250.0,64,40.07044997980121,116.6892848404728,12.811699259257715,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,80.0,64,94.72329432405496,42.37153487872911,31.037314327824873,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,85.0,64,96.90710301372826,51.21395393618785,26.428563268613278,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,90.0,64,88.96604003023509,46.30227962106828,28.257798147234517,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,95.0,64,87.51522903452977,35.646019160373925,28.011548767679788,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,100.0,64,78.07228311596347,43.5378795559565,29.81411086762544,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,105.0,64,73.5283459459291,37.42958210601754,31.79459935426902,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,110.0,64,71.07882598193851,43.848383982931345,23.880134125466054,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,115.0,64,74.8718996330582,32.86645675314316,27.011804947201426,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,120.0,64,71.81185485535323,29.655044955282545,25.54262946737273,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,125.0,64,70.38155993785772,39.334443788648095,26.761903662076925,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,130.0,64,72.20265808374421,34.49104623973945,26.758205529851956,subtract each pixel median force over 200-250 nm before spatial MAD
