acquisition_order,point_index,baseline_method,reference_window_min_nm,reference_window_max_nm,per_pixel_reference_median_pN,finite_reference_bins
2,59,linear_drift_corrected,200.0,250.0,-27.162728657549007,11
2,60,linear_drift_corrected,200.0,250.0,19.865509527252193,11
2,61,linear_drift_corrected,200.0,250.0,-89.62473650609812,11
2,62,linear_drift_corrected,200.0,250.0,60.98558401032444,11
2,63,linear_drift_corrected,200.0,250.0,5.879378528309684,11
2,0,far_constant_referenced,200.0,250.0,-41.66697002469245,11
2,1,far_constant_referenced,200.0,250.0,71.11845506309655,11
2,2,far_constant_referenced,200.0,250.0,25.714565577034815,11
2,3,far_constant_referenced,200.0,250.0,91.09756078197705,11
2,4,far_constant_referenced,200.0,250.0,51.26319412027942,11
2,5,far_constant_referenced,200.0,250.0,107.89411766344976,11
2,6,far_constant_referenced,200.0,250.0,16.03160025108141,11
2,7,far_constant_referenced,200.0,250.0,84.9827717330983,11
2,8,far_constant_referenced,200.0,250.0,71.43904216971099,11
2,9,far_constant_referenced,200.0,250.0,81.0185540800075,11
2,10,far_constant_referenced,200.0,250.0,28.37485862415206,11
2,11,far_constant_referenced,200.0,250.0,63.21571162386259,11
2,12,far_constant_referenced,200.0,250.0,58.63083583575892,11
2,13,far_constant_referenced,200.0,250.0,18.90254166352328,11
2,14,far_constant_referenced,200.0,250.0,77.38914136281228,11
2,15,far_constant_referenced,200.0,250.0,38.234174920245,11
2,16,far_constant_referenced,200.0,250.0,2.9437142491324675,11
2,17,far_constant_referenced,200.0,250.0,111.89269507062166,11
2,18,far_constant_referenced,200.0,250.0,40.49081880550741,11
2,19,far_constant_referenced,200.0,250.0,65.49019015461745,11
2,20,far_constant_referenced,200.0,250.0,34.32745217326641,11
2,21,far_constant_referenced,200.0,250.0,49.91200146785989,11
2,22,far_constant_referenced,200.0,250.0,44.26459237697707,11
2,23,far_constant_referenced,200.0,250.0,120.70475599451385,11
2,24,far_constant_referenced,200.0,250.0,4.098226929899483,11
2,25,far_constant_referenced,200.0,250.0,54.36536233516045,11
2,26,far_constant_referenced,200.0,250.0,74.74156953136435,11
2,27,far_constant_referenced,200.0,250.0,-8.233495046606127,11
2,28,far_constant_referenced,200.0,250.0,47.06282331162936,11
2,29,far_constant_referenced,200.0,250.0,48.38713927800942,11
2,30,far_constant_referenced,200.0,250.0,68.55519246489926,11
2,31,far_constant_referenced,200.0,250.0,22.59082118263304,11
2,32,far_constant_referenced,200.0,250.0,-5.065101679568454,11
2,33,far_constant_referenced,200.0,250.0,21.842389660835394,11
2,34,far_constant_referenced,200.0,250.0,-46.97845171948266,11
2,35,far_constant_referenced,200.0,250.0,17.90885258671337,11
2,36,far_constant_referenced,200.0,250.0,58.810990698822785,11
2,37,far_constant_referenced,200.0,250.0,21.14764915222812,11
2,38,far_constant_referenced,200.0,250.0,30.180647660004688,11
2,39,far_constant_referenced,200.0,250.0,59.33973181474631,11
2,40,far_constant_referenced,200.0,250.0,57.607900434686066,11
2,41,far_constant_referenced,200.0,250.0,93.10645275621414,11
2,42,far_constant_referenced,200.0,250.0,11.970414507974152,11
2,43,far_constant_referenced,200.0,250.0,90.8294175105477,11
2,44,far_constant_referenced,200.0,250.0,-13.13378215259759,11
2,45,far_constant_referenced,200.0,250.0,105.73706094201889,11
2,46,far_constant_referenced,200.0,250.0,23.88065267713744,11
2,47,far_constant_referenced,200.0,250.0,165.40374047121804,11
2,48,far_constant_referenced,200.0,250.0,52.23256322595647,11
2,49,far_constant_referenced,200.0,250.0,28.849908726895176,11
2,50,far_constant_referenced,200.0,250.0,-26.119399557996417,11
2,51,far_constant_referenced,200.0,250.0,-25.939431771635583,11
2,52,far_constant_referenced,200.0,250.0,57.652611766225455,11
2,53,far_constant_referenced,200.0,250.0,22.90629485942433,11
2,54,far_constant_referenced,200.0,250.0,55.6565033665587,11
2,55,far_constant_referenced,200.0,250.0,28.194828478892706,11
2,56,far_constant_referenced,200.0,250.0,42.861080607171985,11
2,57,far_constant_referenced,200.0,250.0,34.84347207352063,11
2,58,far_constant_referenced,200.0,250.0,50.0499393553999,11
2,59,far_constant_referenced,200.0,250.0,32.58034286262777,11
2,60,far_constant_referenced,200.0,250.0,92.15248629891502,11
2,61,far_constant_referenced,200.0,250.0,79.16942560843026,11
2,62,far_constant_referenced,200.0,250.0,34.009484140467045,11
2,63,far_constant_referenced,200.0,250.0,68.09685454744783,11
3,0,linear_drift_corrected,200.0,250.0,-73.94858635392745,11
3,1,linear_drift_corrected,200.0,250.0,-88.88075152272573,11
3,2,linear_drift_corrected,200.0,250.0,-140.72860538386524,11
3,3,linear_drift_corrected,200.0,250.0,-133.5762351197098,11
3,4,linear_drift_corrected,200.0,250.0,105.70425454683394,11
3,5,linear_drift_corrected,200.0,250.0,40.648560051475336,11
3,6,linear_drift_corrected,200.0,250.0,-104.7855780947029,11
3,7,linear_drift_corrected,200.0,250.0,-76.04409176113188,11
3,8,linear_drift_corrected,200.0,250.0,53.182387164907524,11
3,9,linear_drift_corrected,200.0,250.0,3.159241229817726,11
3,10,linear_drift_corrected,200.0,250.0,-25.07350274963522,11
3,11,linear_drift_corrected,200.0,250.0,157.97522297136757,11
3,12,linear_drift_corrected,200.0,250.0,16.2222232811084,11
3,13,linear_drift_corrected,200.0,250.0,53.31854946665374,11
3,14,linear_drift_corrected,200.0,250.0,-6.292747900642373,11
3,15,linear_drift_corrected,200.0,250.0,129.83971545198438,11
3,16,linear_drift_corrected,200.0,250.0,173.87272319566296,11
3,17,linear_drift_corrected,200.0,250.0,125.36902719039993,11
3,18,linear_drift_corrected,200.0,250.0,-87.56324701576499,11
3,19,linear_drift_corrected,200.0,250.0,-54.059513086182754,11
3,20,linear_drift_corrected,200.0,250.0,55.66100131104851,11
3,21,linear_drift_corrected,200.0,250.0,116.05509452589858,11
3,22,linear_drift_corrected,200.0,250.0,82.86347807686828,11
3,23,linear_drift_corrected,200.0,250.0,125.89412033453894,11
3,24,linear_drift_corrected,200.0,250.0,311.0289581457277,11
3,25,linear_drift_corrected,200.0,250.0,78.85949086723583,11
3,26,linear_drift_corrected,200.0,250.0,25.04309497326592,11
3,27,linear_drift_corrected,200.0,250.0,95.20152818162335,11
3,28,linear_drift_corrected,200.0,250.0,-111.91967357193973,11
3,29,linear_drift_corrected,200.0,250.0,94.7403843660865,11
3,30,linear_drift_corrected,200.0,250.0,-115.0395035707812,11
3,31,linear_drift_corrected,200.0,250.0,303.325690252371,11
3,32,linear_drift_corrected,200.0,250.0,84.76127106692262,11
3,33,linear_drift_corrected,200.0,250.0,-177.31285531809755,11
3,34,linear_drift_corrected,200.0,250.0,-290.3575056814166,11
3,35,linear_drift_corrected,200.0,250.0,-154.70273636779103,11
3,36,linear_drift_corrected,200.0,250.0,75.74066502790166,11
3,37,linear_drift_corrected,200.0,250.0,-97.20136973424745,11
3,38,linear_drift_corrected,200.0,250.0,120.54748918522334,11
3,39,linear_drift_corrected,200.0,250.0,109.55201150759135,11
3,40,linear_drift_corrected,200.0,250.0,296.25193446772204,11
3,41,linear_drift_corrected,200.0,250.0,-14.948816614816517,11
3,42,linear_drift_corrected,200.0,250.0,39.91918944391242,11
3,43,linear_drift_corrected,200.0,250.0,-217.97060973514547,11
3,44,linear_drift_corrected,200.0,250.0,126.40555321781278,11
3,45,linear_drift_corrected,200.0,250.0,59.312625845856864,11
3,46,linear_drift_corrected,200.0,250.0,48.39181510606089,11
3,47,linear_drift_corrected,200.0,250.0,37.80138943795705,11
3,48,linear_drift_corrected,200.0,250.0,276.61320787435255,11
3,49,linear_drift_corrected,200.0,250.0,-280.4251443119871,11
3,50,linear_drift_corrected,200.0,250.0,-74.81762218295604,11
3,51,linear_drift_corrected,200.0,250.0,113.97552108441445,11
3,52,linear_drift_corrected,200.0,250.0,-92.34437518629267,11
3,53,linear_drift_corrected,200.0,250.0,-51.92194376608183,11
3,54,linear_drift_corrected,200.0,250.0,25.459298060079036,11
3,55,linear_drift_corrected,200.0,250.0,-11.110688771638754,11
3,56,linear_drift_corrected,200.0,250.0,55.93919090532806,11
3,57,linear_drift_corrected,200.0,250.0,29.367151678389142,11
3,58,linear_drift_corrected,200.0,250.0,-119.56279117599613,11
3,59,linear_drift_corrected,200.0,250.0,24.346325501753746,11
3,60,linear_drift_corrected,200.0,250.0,42.56227173013919,11
3,61,linear_drift_corrected,200.0,250.0,286.36125967177406,11
3,62,linear_drift_corrected,200.0,250.0,153.40728594030693,11
3,63,linear_drift_corrected,200.0,250.0,292.41678115980363,11
3,0,far_constant_referenced,200.0,250.0,22.47208983640274,11
3,1,far_constant_referenced,200.0,250.0,54.55817605499013,11
3,2,far_constant_referenced,200.0,250.0,-21.179576909197188,11
3,3,far_constant_referenced,200.0,250.0,94.74119132845341,11
3,4,far_constant_referenced,200.0,250.0,77.01480088411392,11
3,5,far_constant_referenced,200.0,250.0,55.54413262816181,11
3,6,far_constant_referenced,200.0,250.0,27.243356377604155,11
3,7,far_constant_referenced,200.0,250.0,-7.345878459260697,11
3,8,far_constant_referenced,200.0,250.0,24.980227166711295,11
3,9,far_constant_referenced,200.0,250.0,71.71223651206746,11
3,10,far_constant_referenced,200.0,250.0,44.51496336181996,11
3,11,far_constant_referenced,200.0,250.0,86.7771490901904,11
3,12,far_constant_referenced,200.0,250.0,38.35415344448556,11
3,13,far_constant_referenced,200.0,250.0,75.86035056224543,11
3,14,far_constant_referenced,200.0,250.0,95.60448794466846,11
3,15,far_constant_referenced,200.0,250.0,73.2755117845274,11
3,16,far_constant_referenced,200.0,250.0,66.60897118549357,11
3,17,far_constant_referenced,200.0,250.0,68.76976944095024,11
3,18,far_constant_referenced,200.0,250.0,34.60968855617239,11
3,19,far_constant_referenced,200.0,250.0,64.07002855842916,11
3,20,far_constant_referenced,200.0,250.0,36.09626238122285,11
3,21,far_constant_referenced,200.0,250.0,23.289365584169616,11
3,22,far_constant_referenced,200.0,250.0,50.46113394419491,11
3,23,far_constant_referenced,200.0,250.0,41.603114510753066,11
3,24,far_constant_referenced,200.0,250.0,45.04626119265257,11
3,25,far_constant_referenced,200.0,250.0,103.25698511686154,11
3,26,far_constant_referenced,200.0,250.0,25.00074324492233,11
3,27,far_constant_referenced,200.0,250.0,23.442581402288027,11
3,28,far_constant_referenced,200.0,250.0,-28.816796150814362,11
3,29,far_constant_referenced,200.0,250.0,39.80499561963765,11
3,30,far_constant_referenced,200.0,250.0,8.331835032432386,11
3,31,far_constant_referenced,200.0,250.0,77.34187331635634,11
3,32,far_constant_referenced,200.0,250.0,14.012419058292044,11
3,33,far_constant_referenced,200.0,250.0,49.107509294660844,11
3,34,far_constant_referenced,200.0,250.0,35.44230459342364,11
3,35,far_constant_referenced,200.0,250.0,26.150080136960206,11
3,36,far_constant_referenced,200.0,250.0,77.11700712176055,11
3,37,far_constant_referenced,200.0,250.0,35.76937702567352,11
3,38,far_constant_referenced,200.0,250.0,80.14128907012285,11
3,39,far_constant_referenced,200.0,250.0,21.761946679407583,11
3,40,far_constant_referenced,200.0,250.0,76.37119467377549,11
3,41,far_constant_referenced,200.0,250.0,34.568781117557315,11
3,42,far_constant_referenced,200.0,250.0,114.27574044685157,11
3,43,far_constant_referenced,200.0,250.0,-7.718909401055248,11
3,44,far_constant_referenced,200.0,250.0,93.08094796598198,11
3,45,far_constant_referenced,200.0,250.0,97.20854593793398,11
3,46,far_constant_referenced,200.0,250.0,104.26327069154372,11
3,47,far_constant_referenced,200.0,250.0,86.94576755668673,11
3,48,far_constant_referenced,200.0,250.0,96.72320661664106,11
3,49,far_constant_referenced,200.0,250.0,26.14502906603558,11
3,50,far_constant_referenced,200.0,250.0,69.4441809480495,11
3,51,far_constant_referenced,200.0,250.0,87.04279800560421,11
3,52,far_constant_referenced,200.0,250.0,9.103214629555596,11
3,53,far_constant_referenced,200.0,250.0,-55.727966666340514,11
3,54,far_constant_referenced,200.0,250.0,15.151591449582144,11
3,55,far_constant_referenced,200.0,250.0,51.69746150219953,11
3,56,far_constant_referenced,200.0,250.0,92.25843407058247,11
3,57,far_constant_referenced,200.0,250.0,153.12047136026018,11
3,58,far_constant_referenced,200.0,250.0,50.874947606804994,11
3,59,far_constant_referenced,200.0,250.0,20.07108509687088,11
3,60,far_constant_referenced,200.0,250.0,97.7857399194227,11
3,61,far_constant_referenced,200.0,250.0,191.46433558619594,11
3,62,far_constant_referenced,200.0,250.0,117.63202118059135,11
3,63,far_constant_referenced,200.0,250.0,52.82640703383338,11
4,0,linear_drift_corrected,200.0,250.0,-11.322924273738536,11
4,1,linear_drift_corrected,200.0,250.0,-119.47850882442104,11
4,2,linear_drift_corrected,200.0,250.0,16.52682687253216,11
4,3,linear_drift_corrected,200.0,250.0,123.81969758345548,11
4,4,linear_drift_corrected,200.0,250.0,-37.00946406946748,11
4,5,linear_drift_corrected,200.0,250.0,149.310992791212,11
4,6,linear_drift_corrected,200.0,250.0,210.2219179292442,11
4,7,linear_drift_corrected,200.0,250.0,-21.28212520810013,11
4,8,linear_drift_corrected,200.0,250.0,-2.005565554840061,11
4,9,linear_drift_corrected,200.0,250.0,14.100379090477897,11
4,10,linear_drift_corrected,200.0,250.0,-8.772872274138482,11
4,11,linear_drift_corrected,200.0,250.0,-135.64899269370198,11
4,12,linear_drift_corrected,200.0,250.0,113.62542673685296,11
4,13,linear_drift_corrected,200.0,250.0,193.79839022555927,11
4,14,linear_drift_corrected,200.0,250.0,63.36640206927234,11
4,15,linear_drift_corrected,200.0,250.0,44.85835489484704,11
4,16,linear_drift_corrected,200.0,250.0,178.4493935587617,11
4,17,linear_drift_corrected,200.0,250.0,-65.97649145061256,11
4,18,linear_drift_corrected,200.0,250.0,15.98213074350028,11
4,19,linear_drift_corrected,200.0,250.0,-140.08106094959342,11
4,20,linear_drift_corrected,200.0,250.0,-24.509631779448497,11
4,21,linear_drift_corrected,200.0,250.0,-22.426975970903726,11
4,22,linear_drift_corrected,200.0,250.0,-13.768959216136047,11
4,23,linear_drift_corrected,200.0,250.0,103.77562650033852,11
4,24,linear_drift_corrected,200.0,250.0,280.38452076385425,11
4,25,linear_drift_corrected,200.0,250.0,15.447212295350374,11
4,26,linear_drift_corrected,200.0,250.0,33.795974805433225,11
4,27,linear_drift_corrected,200.0,250.0,-210.9184995146366,11
4,28,linear_drift_corrected,200.0,250.0,29.132416807710673,11
4,29,linear_drift_corrected,200.0,250.0,3.6183176487852466,11
4,30,linear_drift_corrected,200.0,250.0,91.8006119609922,11
4,31,linear_drift_corrected,200.0,250.0,154.24579454987304,11
4,32,linear_drift_corrected,200.0,250.0,75.04470044373828,11
4,33,linear_drift_corrected,200.0,250.0,-87.25278345703012,11
4,34,linear_drift_corrected,200.0,250.0,-85.18540658485877,11
4,35,linear_drift_corrected,200.0,250.0,-20.92774973252666,11
4,36,linear_drift_corrected,200.0,250.0,129.9324308210822,11
4,37,linear_drift_corrected,200.0,250.0,35.744440725443994,11
4,38,linear_drift_corrected,200.0,250.0,-19.310188180909098,11
4,39,linear_drift_corrected,200.0,250.0,280.40963864388937,11
4,40,linear_drift_corrected,200.0,250.0,272.17167333879235,11
4,41,linear_drift_corrected,200.0,250.0,-55.846968647826834,11
4,42,linear_drift_corrected,200.0,250.0,-155.04119949429804,11
4,43,linear_drift_corrected,200.0,250.0,-33.28140796890934,11
4,44,linear_drift_corrected,200.0,250.0,-60.438897712403865,11
4,45,linear_drift_corrected,200.0,250.0,-187.09981084268978,11
4,46,linear_drift_corrected,200.0,250.0,131.43483720714957,11
4,47,linear_drift_corrected,200.0,250.0,-47.97609678578045,11
