concentration_wt_percent,source_filter,distance_nm,equilibrium_force_pN,equilibrium_sigma_pN,speed_slope_pN_per_um_s,speed_regression_r2,speed_groups,source_count,speed_1_force_pN,speed_2_force_pN,speed_4_force_pN
0,all,65.0,282.8134501594852,61.59103829957833,-22.983230909232944,0.28923539639096374,3,8,231.15653472452493,286.42261816236845,190.73580526712712
0,all,70.0,223.3493514110083,59.17182968794686,-21.042820218537816,0.2606805318496438,3,8,174.72229901084913,228.81210778742462,139.0248294464619
0,all,75.0,179.24445523064173,54.09777118081196,-18.926232841783264,0.25043036305093636,3,8,134.74380325170046,184.25794979325698,103.40018778802501
0,all,80.0,142.2524626900629,44.1582820049832,-16.493041197940563,0.29013509267709847,3,8,105.18082209452736,144.76153263787714,76.16330030116585
0,all,85.0,114.26438363184941,38.980242155643204,-15.2122213290252,0.31701493404318737,3,8,81.34730915791704,115.98107523885847,53.30231828401233
0,all,90.0,86.10509532878865,36.004722493566746,-12.572054583166357,0.24985971893399728,3,8,57.63382998401832,91.49053095578876,35.70906088073135
0,all,95.0,67.25416110298077,36.27610076203071,-10.78253022174519,0.2554357842585747,3,8,43.590959246730144,72.53438590155264,24.035577043115566
0,all,100.0,52.48940092549891,36.822996697159894,-9.79122968688302,0.26501933303055036,3,8,31.632211272427543,57.44696649527714,13.247830499354672
0,all,105.0,39.913647066265185,35.83254920060373,-8.45119516312322,0.24393922940975743,3,8,21.079330060011245,44.37340873489286,6.037167038465293
0,all,110.0,26.74928336231822,35.38059281601945,-6.988353242793276,0.1700329475231669,3,8,10.062911524620855,33.31245247539031,-1.270155021828441
0,all,115.0,27.89065815033922,34.795579442637404,-8.533809578606006,0.35850161816678283,3,8,11.149238061703382,29.155977619544085,-6.309411180133109
0,all,120.0,16.097419542633318,37.325580220203136,-6.573980118571904,0.30983982123505527,3,8,1.8520881101086184,17.11712263614585,-10.248631964101783
0,all,125.0,19.088063485190965,35.15568498072596,-7.436776997024715,0.16124611027529911,3,8,-0.2009425258161781,24.018449067461006,-10.73399162901155
0,all,130.0,16.296049699621122,34.37719240795007,-7.192271902604504,0.08139343981887404,3,8,-4.314865757043422,25.50463926377317,-12.55835210450021
0,all,135.0,3.59880266910734,33.60621648954936,-4.624661584923241,0.19958112248941207,3,8,-7.28220054329919,6.900103679519712,-14.945611765294183
0,all,140.0,3.890531102820512,34.75595577092688,-5.354424069533316,0.06890155032276457,3,8,-11.233199840515248,12.447167425633303,-17.58999154264305
0,all,145.0,2.0545251655696384,33.32508132054621,-5.210941266501626,0.5291285690217843,3,8,-7.215310033072711,-0.18222135727732686,-18.825303648189703
0,all,150.0,1.2169339415377223,32.657134336513174,-5.514390101299347,0.2997527020029853,3,8,-10.83792578930626,2.292579197770008,-20.891613089462794
0,all,155.0,5.286701172375998,32.956095153739064,-6.965421476882186,0.19826586007500546,3,8,-11.530740098976294,9.642193401354335,-22.647218913154695
0,all,160.0,0.1199038489404216,32.83014120912868,-5.3531664946316,0.49174426058508225,3,8,-9.643745513027532,-1.6165399920700012,-21.33189254715666
0,all,165.0,8.03858331278583,33.70041078334647,-8.033647409241336,0.4083560517327808,3,8,-8.387178266937886,6.192462288729473,-24.16015842619518
0,all,170.0,-0.3796097910630666,32.48114312219248,-5.66983870800498,0.5351347071192383,3,8,-10.807915603636578,-3.375607819540934,-23.100444602997698
0,all,175.0,-0.00118767302228381,31.54224810991519,-5.509963226693135,0.4641357496118095,3,8,-9.610419424569763,-0.6698305049672826,-22.082016917646328
0,all,180.0,3.839446948851121,33.04488947458338,-7.00486067282356,0.29496941541364374,3,8,-11.793379668385013,4.898188770083868,-24.244693607370017
0,all,185.0,6.831259285754156,31.96360227884199,-7.5801170085639376,0.16325488759463946,3,8,-11.072374876586085,14.744257492227366,-23.57197679823347
0,all,190.0,1.6314450614231646,33.53811430119483,-6.4579095313952415,0.5685570130980384,3,8,-10.204360632410145,-2.6336571959916264,-24.244701614842683
0,all,195.0,1.6534366465062666,33.43232514115449,-6.467932821086717,0.12403538594354213,3,8,-15.87915396556415,7.5345910934076485,-24.292687525955593
0,all,200.0,2.384633518159142,32.79187856930517,-6.948100478991095,0.3751919604666243,3,8,-12.122790000163345,1.5815928012423357,-25.467174367315224
0,all,205.0,6.48302879841057,31.811228687277623,-8.155125599431653,0.2931754163935857,3,8,-11.413061917434685,8.336779304453984,-26.216268889221407
0,all,210.0,-1.8505271867924264,30.687800869769795,-5.152354691597582,0.8813708912495729,3,8,-8.858336222566535,-8.791464607663272,-22.48540572536419
