concentration_wt_percent,source,source_type,speed_um_per_s,speed_label_um_per_s,distance_nm,force_pN,force_spread_pN,curve_count,sensitivity_used_nm_per_V,valid_contact_curves,endpoint_contact_curves,far_offset_pN
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,620.0,-2.972215718378431,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,625.0,17.79619120882139,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,630.0,14.342542296581167,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,635.0,15.059835770184417,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,640.0,6.23289757455397,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,645.0,14.8995591234634,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,650.0,27.116456136263437,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,655.0,26.456594207488365,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,660.0,24.952538779942188,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,665.0,31.041484316648464,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,670.0,26.472811269372354,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,675.0,23.570731824009204,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,680.0,23.995879994784314,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,685.0,26.353091020762122,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,690.0,16.34504482598092,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,695.0,19.48380655067117,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,700.0,11.668089379756958,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,705.0,13.208635743133044,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,710.0,14.015956143374057,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,715.0,10.78321782219462,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,720.0,11.229257300024164,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,725.0,5.399271440655207,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,730.0,13.497083508899152,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,735.0,11.195289876198391,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,740.0,7.2883246175569685,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,745.0,5.011204655561231,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,750.0,0.0,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,755.0,4.712997086108054,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,760.0,-1.1009846560788956,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,765.0,-5.386029492478329,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,770.0,-14.281652960787325,nan,1,66.6088141893779,1,0,0.9537477129411047
