acquisition_order,source,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,285.0,64,8.874164758504783,-8.281077047282702,18.41610406554485,22.89698753791171
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,290.0,64,8.91487140430779,-1.6048972021405343,30.064459042417667,26.1517530208474
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,295.0,64,-0.696270857360965,-13.267839969663164,13.014024009667324,20.25693958456432
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,300.0,64,-2.105048841064837,-13.847019162711849,11.027756730298723,18.10992328845313
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,5.0,64,2090.3229924243715,1460.243659418147,3066.2791979739145,1328.772439262909
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,10.0,64,1391.0780482087794,1054.6145336627424,1888.9269037308027,636.3464933524175
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,15.0,64,1443.2944028493455,992.0321082395452,1616.1712117112656,422.27611227450257
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,20.0,64,1200.6988810211087,833.0403080962299,1355.6183432543162,388.1634159923277
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,25.0,64,1006.4135657336893,729.4376035124767,1102.282446656751,241.7301890308038
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,30.0,64,858.908155500344,601.0975928743599,931.3016612403816,180.09322428779993
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,35.0,64,737.2708163340037,563.0801619590566,807.4558995591902,180.91709708648924
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,40.0,64,642.0360031337195,500.661971366893,706.3637612019353,138.06242288749246
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,45.0,64,546.9747523353228,443.18608448505825,628.2202967754728,130.69986265734784
