concentration_wt_percent,primary_included,source,timestamp,metric,valid_pixels,median,mad,robust_slope_per_acquisition,robust_change_across_map,pearson_correlation_acquisition_order,spatial_plane_column_slope_per_pixel,spatial_plane_row_slope_per_pixel,spatial_plane_r2,spatial_plane_inliers
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,approach_contact_response_ratio,252,1.026883479012346,0.025150121727297473,1.964424960444184e-05,0.005009283649132668,-0.1616247446895633,-0.00028753862193653336,0.000265635409659004,0.006298264514701057,228
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,approach_contact_height_um,252,6.7302735785417624,0.006224571965652209,5.880604111261137e-05,0.014995540483715899,0.5563623943920142,-0.000797181979557783,0.0008717488809888781,0.9524602445132624,222
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,approach_terminal_load_nN,256,6.871228338162802,0.16289780253386166,0.0002511500451885123,0.06404326152307063,0.07431702462540939,0.0005540242375577389,0.0038825964714247815,0.012703429470276917,253
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,approach_far_slope_pN_per_100nm,256,4.504055220481488,12.131916084763393,0.0005524203738188137,0.1408671953237975,0.01270468488714244,-0.18187882839732752,-0.003210871313479899,0.004882704349368772,254
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,approach_snap_distance_nm,216,7.92115894116356,2.1075002807115797,-0.0027220793088143457,-0.6941302237476582,-0.034049588231246875,-0.1545940900923829,-0.006923291023079771,0.08146028463045762,183
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,approach_barrier_force_nN,216,3.4850208930846094,0.9297645077414729,-0.0023029312434103316,-0.5872474670696346,-0.16504045131597758,0.09708910086470113,-0.026522506810153418,0.21723532838189574,213
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,retract_contact_invOLS_nm_per_V,256,55.061663398969145,0.12710858318669357,-0.00025645310041559096,-0.06539554060597569,0.21990295719777475,-0.0047103665494649715,-0.0038972143469316227,0.05739431886923396,229
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,retract_detachment_piezo_travel_nm,256,559.6978868910301,134.38971413253265,-0.5131050800921023,-130.8417954234861,-0.27088283204530944,-3.6608864049318153,-8.153511891529831,0.08267262538815401,245
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,retract_pull_off_force_nN,64,-106.1022988077205,37.30335580665903,0.32351447782760767,75.7023878116602,0.45325270601598816,-1.5175623103376035,4.635468804049745,0.2250997364026337,64
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,approach_contact_invOLS_nm_per_V,149,60.97295151959482,0.902087049408922,-0.0032517811846256004,-0.4812636153245889,-0.22294026313475035,-0.010591352511262787,-0.05219324715223176,0.023315031052313362,147
