location,location_order,instrument_scan_number,point_index,gap_speed_um_per_s,far_sample_count,far_distance_min_nm,far_distance_max_nm,hydro_far_line_slope_pN_per_nm,hydro_far_line_intercept_pN
A,11,15,36,3.947509369662827,200,711.0771013287077,910.1227412628795,-0.002080258864396395,3.3660846179085215
A,11,15,37,3.9420984027259682,200,710.7320199823279,910.2028940153583,-0.002078639166431417,3.3624747766168097
A,11,15,38,3.9214511260887406,200,717.0924766027559,916.7364303315255,-0.0020354075562543325,3.3184647733955197
A,11,15,39,3.9418097807947876,200,717.9152309176102,917.6128742212385,-0.0020413121189085865,3.3318711001160297
A,11,15,40,3.944838079891346,200,710.043405348343,908.3805376443596,-0.0020847486687836907,3.368591818119415
A,11,15,41,3.9179554812893644,197,701.8143275996474,893.0216295438504,-0.0021228984061607927,3.387574972508469
A,11,15,42,3.913258301219797,196,695.4896702944494,885.591810503258,-0.002157383873758517,3.412991595207558
A,11,15,43,3.921285971478372,198,702.0741943925927,894.3709787637558,-0.002120063851308196,3.3868186715056487
A,11,15,44,3.9200377205894554,199,706.8789847106581,900.1112474914993,-0.002091794731765006,3.3636009010922354
A,11,15,45,3.9207762171806073,200,711.9392402482365,905.9757627108236,-0.0020635804271653723,3.3411232143072014
A,11,15,46,3.9453967975459414,200,708.1655682388581,902.5081239988883,-0.002096134436228983,3.3780106784710418
A,11,15,47,3.933292112607427,200,711.4428626945081,909.8691138576535,-0.002071422911678391,3.3528611519110787
A,11,15,48,3.9282953208390268,200,713.7039691065745,912.2636168618034,-0.0020583810018632615,3.3401268377856126
A,11,15,49,3.928487328851504,200,712.3613100855705,908.8144351690555,-0.0020647550610796025,3.345374763996225
A,11,15,50,3.9294296913420967,200,715.7976463138953,910.0341658861048,-0.0020483174283326662,3.3323354120340904
A,11,15,51,3.922439456022397,200,713.4962782528015,912.4765270949993,-0.0020552988710226187,3.3351409854188057
A,11,15,52,3.9221479664868415,200,709.9593225740101,909.6197150324839,-0.0020718988726561426,3.3485282354289967
A,11,15,53,3.9446999490047276,200,711.6627630024877,910.6303389628105,-0.00207571055455242,3.3611908107639286
A,11,15,54,3.9471496045098755,200,709.5045274492965,908.834994469364,-0.0020881596399480347,3.372351545821471
A,11,15,55,3.9383607970941177,200,710.6326301344203,909.9932221336321,-0.00207740527474711,3.3598825909682235
A,11,15,56,3.9544073463634213,200,712.7813807133957,906.973218723954,-0.002076943892950217,3.3662532818471345
