branch,approach_speed_um_per_s,scanner_travel_bin_center_nm,contributing_curves,delta_V_q25,delta_V_median,delta_V_q75,delta_nN_prior_D3_scale_q25,delta_nN_prior_D3_scale_median,delta_nN_prior_D3_scale_q75
approach,0.1,202.5,512,0.0004283575619802027,0.00255461178905253,0.005107899795914417,0.009349150594922247,0.05575587417438813,0.11148285603974831
approach,0.1,207.5,512,0.00035917186565329745,0.002640118106780498,0.00501117609275268,0.00783913291019957,0.05762209882456249,0.10937180548941523
approach,0.1,212.5,512,0.00039651031038789863,0.0027146281329483157,0.005230166794195915,0.008654065979643322,0.05924832307575645,0.11415140372322695
approach,0.1,217.5,512,0.0006457046599051136,0.003024693519538435,0.005150091181663726,0.014092876234959433,0.06601567878695967,0.1124037073429336
approach,0.1,222.5,512,0.0011182156419532463,0.0031648211484393007,0.005287882724345633,0.024405700662526703,0.06907404502437914,0.1154110871526528
approach,0.1,227.5,512,0.0008058489323318208,0.0028986310764148038,0.0054431823989227884,0.01758811725022307,0.06326429333299838,0.11880059202856147
approach,0.1,232.5,512,0.0010182666102288712,0.0029786573252202353,0.005660214542366223,0.022224255457992108,0.06501091232151357,0.12353744360557464
approach,0.1,237.5,512,0.0009195252516481234,0.0034041976784625616,0.005851833405012136,0.02006916841563637,0.07429857571255415,0.1277196356869348
approach,0.1,242.5,512,0.0011567068339947764,0.0035300445898219235,0.005889891447733997,0.025245793106117017,0.07704525706157836,0.12855027439705782
approach,0.1,247.5,512,0.0012907940113863325,0.003503979151621782,0.0057353968885859394,0.028172323009048084,0.07647636385486282,0.1251783416292687
approach,0.1,252.5,512,0.0014081149033098872,0.003836559959675509,0.006127091106938348,0.03073291907149043,0.08373513161211076,0.13372729362537297
approach,0.1,257.5,512,0.0018053788796089931,0.003900850999162625,0.006099611502259017,0.039403434243881895,0.08513832059117428,0.1331275354204557
approach,0.1,262.5,512,0.001899701141758664,0.003926422800096335,0.006317504382232067,0.04146207196049996,0.08569643988013334,0.13788317306815412
approach,0.1,267.5,512,0.002056848132134718,0.004090637146548753,0.006654405559263596,0.0448918955680786,0.08928051260604299,0.14523623536758865
approach,0.1,272.5,512,0.0018889732220085942,0.004531933567022167,0.006812707382737759,0.04122792893090106,0.09891206124249907,0.14869126387290812
approach,0.1,277.5,512,0.002508932265041116,0.004866114872241534,0.007229929600407331,0.05475889224388865,0.10620576077253778,0.15779737916245337
approach,0.1,282.5,512,0.002489857703904228,0.0050946007907959195,0.007610371670137825,0.05434257895697846,0.11119259759061366,0.16610074653178836
approach,0.1,287.5,512,0.002816697719127431,0.005100764999253715,0.008102457107962828,0.06147605060305535,0.11132713499180721,0.17684079473480532
approach,0.1,292.5,512,0.0027606872709703967,0.005515121339722234,0.008165260978276856,0.060253590300759115,0.1203707008602209,0.1782115253898111
approach,0.1,297.5,512,0.0031322793283550393,0.0057776320759518884,0.008563480942240041,0.06836380105157708,0.1261001489279741,0.1869029055437779
approach,0.1,302.5,512,0.0035050929641583795,0.006078543619934663,0.008840112485347287,0.07650067345521405,0.13266771675014682,0.19294054835755156
approach,0.1,307.5,512,0.004093189459795863,0.006618830303413271,0.009620661464873934,0.08933621831321513,0.14445978491143224,0.20997647956085028
approach,0.1,312.5,512,0.004513050203418063,0.00698970067701965,0.010193676299123267,0.09849992095190323,0.15255424449798055,0.22248285846952706
approach,0.1,317.5,512,0.005070688584447036,0.007392575431826975,0.010573738754843284,0.11067069990966902,0.161347218144049,0.23077794054436304
approach,0.1,322.5,512,0.0053083540703675325,0.008338816888550482,0.011809120940166215,0.11585788607445717,0.18199948312840228,0.2577408685232136
approach,0.1,327.5,512,0.0062880794295644415,0.009207970281100108,0.012758572429649881,0.13724095652255056,0.20096925669670354,0.2784631943220664
approach,0.1,332.5,512,0.00657050530081138,0.009814439121481333,0.013582563574422198,0.14340506388646299,0.21420578856424177,0.29644727581171404
approach,0.1,337.5,512,0.0076822758477495465,0.010906004608415842,0.015086704831346942,0.16767009663684634,0.23802983423859364,0.32927602537788836
approach,0.1,342.5,512,0.008673539108971796,0.012390395507833052,0.01690139815949067,0.18930498844437998,0.27042752087269806,0.3688827528277016
