approach_speed_um_per_s,position_within_line,signal,maps,map_centered_raw_V_q25,map_centered_raw_V_median,map_centered_raw_V_q75,settled_delta_V_q25,settled_delta_V_median,settled_delta_V_q75,settled_delta_nN_prior_D3_scale_median
0.9,2,initial_0_10nm,8,-0.03958569223682751,-0.026144139276275832,-0.02114697170530433,0.20053369964645468,0.2079989993194931,0.225082571183509,4.539698001925188
0.9,2,settled_100_300nm,8,0.002757115353425623,0.004092960718020275,0.00483318857130028,0.20053369964645468,0.2079989993194931,0.225082571183509,4.539698001925188
0.9,3,initial_0_10nm,8,-0.04041029034685867,-0.027443783300008157,-0.012136118084998235,0.18625513220809137,0.19153778933004942,0.2286426751541757,4.180422609529851
0.9,3,settled_100_300nm,8,0.0008747537421015632,0.0017602402707994676,0.002130701481685454,0.18625513220809137,0.19153778933004942,0.2286426751541757,4.180422609529851
0.9,4,initial_0_10nm,8,-0.015222799235201367,-0.009304148202213647,0.000492291235896997,0.16905619801015162,0.1709474364014762,0.2089175209579099,3.7310262934196983
0.9,4,settled_100_300nm,8,5.894585173357725e-05,0.0008328967782187668,0.0020454221675739997,0.16905619801015162,0.1709474364014762,0.2089175209579099,3.7310262934196983
0.9,5,initial_0_10nm,8,-0.017043713435798802,-0.00964632990746957,-0.007541650409999566,0.18252679248540948,0.18840920880487458,0.20411771373767879,4.112139536988803
0.9,5,settled_100_300nm,8,-0.0019215706631933935,-0.0012971800089822821,0.0004013629037706544,0.18252679248540948,0.18840920880487458,0.20411771373767879,4.112139536988803
0.9,6,initial_0_10nm,8,-0.0275938956117045,-0.013195554043255515,-0.010478932589119708,0.18896987123560888,0.19119132271426717,0.2095132093861275,4.1728607760184095
0.9,6,settled_100_300nm,8,-0.003447218861504203,-0.0023397085432289785,-0.0018247374559901136,0.18896987123560888,0.19119132271426717,0.2095132093861275,4.1728607760184095
0.9,7,initial_0_10nm,8,0.036528209383307766,0.04624151404836132,0.06776032497731527,0.11996265537202265,0.125193483709682,0.1307922650942288,2.7324199140877004
0.9,7,settled_100_300nm,8,-0.0032433039117072404,-0.002282318691780744,-0.0011728897931717816,0.11996265537202265,0.125193483709682,0.1307922650942288,2.7324199140877004
0.9,8,initial_0_10nm,8,0.08973876504145253,0.1020977137696165,0.1220824947480531,0.06634206826160144,0.06769827755396783,0.06979896867090349,1.4775539130044386
0.9,8,settled_100_300nm,8,-0.004318106589492471,-0.0028867107793237243,-0.0015433520469534112,0.06634206826160144,0.06769827755396783,0.06979896867090349,1.4775539130044386
2.7,1,initial_0_10nm,8,0.2668592647799196,0.309774348486682,0.3372032587044285,0.3843540884038178,0.41895795684549775,0.45364821702329816,9.143998797132292
2.7,1,settled_100_300nm,8,0.0021614133675648337,0.002451742649554417,0.003405190167473718,0.3843540884038178,0.41895795684549775,0.45364821702329816,9.143998797132292
2.7,2,initial_0_10nm,8,-0.03533483433883877,-0.02827074391628099,-0.027417454704476443,0.7288430333855397,0.7421142637599136,0.7864727765542955,16.197071386945517
2.7,2,settled_100_300nm,8,0.004818737514138582,0.005348926882093583,0.005535508558829859,0.7288430333855397,0.7421142637599136,0.7864727765542955,16.197071386945517
2.7,3,initial_0_10nm,8,-0.0305741242330122,-0.028712711961542403,-0.01086337937808294,0.7100116254513892,0.7218427560086371,0.7870339951960343,15.75463405053735
2.7,3,settled_100_300nm,8,-0.0006320423794741667,0.0013128790645852567,0.0015397464091165061,0.7100116254513892,0.7218427560086371,0.7870339951960343,15.75463405053735
2.7,4,initial_0_10nm,8,-0.018578297511529437,-0.010614224658599875,-0.004876342549719349,0.6934268298959516,0.7045363152619487,0.7716318964766737,15.37691100987263
2.7,4,settled_100_300nm,8,-0.00016041785871459546,0.0005388433159218588,0.001452229736239187,0.6934268298959516,0.7045363152619487,0.7716318964766737,15.37691100987263
2.7,5,initial_0_10nm,8,-0.023404189289714022,-0.014909410487858987,-0.010147717626713938,0.707927623098013,0.718121298354241,0.77096305900109,15.6734110930559
2.7,5,settled_100_300nm,8,-0.002371778626855253,-0.0014781217061323876,-0.0010637841377852762,0.707927623098013,0.718121298354241,0.77096305900109,15.6734110930559
2.7,6,initial_0_10nm,8,-0.02078486617423389,-0.014841846841873937,-0.0021886221670111977,0.7130512706179934,0.7210826582124836,0.7643337124857402,15.73804447819443
2.7,6,settled_100_300nm,8,-0.0024427754852656587,-0.002078493083376265,-0.0017461243307681333,0.7130512706179934,0.7210826582124836,0.7643337124857402,15.73804447819443
2.7,7,initial_0_10nm,8,0.05327349858120964,0.06833061298711512,0.10632075242658148,0.6326408642532546,0.6371038836244463,0.6545840165531047,13.905159337166204
2.7,7,settled_100_300nm,8,-0.0036792645304876276,-0.002897790502534199,-0.0026271580427426403,0.6326408642532546,0.6371038836244463,0.6545840165531047,13.905159337166204
2.7,8,initial_0_10nm,8,0.1840633587581076,0.19482047019982282,0.22626127546746963,0.5028324992294437,0.5070047745938154,0.5323607051697685,11.065671323998385
2.7,8,settled_100_300nm,8,-0.004333287325965655,-0.003093514897657468,-0.0022284757283819456,0.5028324992294437,0.5070047745938154,0.5323607051697685,11.065671323998385
