location,metric,baseline,distance_nm,time_model,full_interval_time_change_at_mean_speed_pN,time_change_hc3_se_pN,time_change_hc3_95CI_low_pN,time_change_hc3_95CI_high_pN,time_change_hc3_p,time_change_hac1_se_pN,time_change_hac1_95CI_low_pN,time_change_hac1_95CI_high_pN,time_change_hac1_p,time_change_hac2_se_pN,time_change_hac2_95CI_low_pN,time_change_hac2_95CI_high_pN,time_change_hac2_p,actual_time_span_min,actual_gap_speed_coefficient_pN_per_um_s,n_maps,design_rank,design_parameters,design_condition_number,r2,rmse_pN,max_leverage,residual_lag1_correlation,claim_status,full_interval_normalized_change_at_mean_speed,normalized_change_hc3_se,normalized_change_hc3_95CI_low,normalized_change_hc3_95CI_high,normalized_change_hac1_se,normalized_change_hac1_95CI_low,normalized_change_hac1_95CI_high,normalized_change_hac1_p,normalized_change_hac2_se,normalized_change_hac2_95CI_low,normalized_change_hac2_95CI_high,normalized_change_hac2_p,actual_gap_speed_coefficient_per_um_s
B,force,linear,50.0,linear_time_speed,-62.565665780914685,9.622694641397398,-83.0759539013773,-42.055377660452066,9.997569239732737e-06,7.1875767495349185,-77.88562297738365,-47.24570858444573,2.9991916889399007e-07,7.013111475654808,-77.513759048656,-47.61757251317337,2.1945593729194426e-07,31.497608333333336,-2.5329086779138272,18,3,3,4.560112747765234,0.7391683483737552,11.390645153976353,0.31364178348778066,-0.1530610767499472,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,linear,50.0,quadratic_time_speed,-62.67301312409887,9.466232291989437,-82.97606212868716,-42.369964119510584,1.1498194673129997e-05,6.117168246639049,-75.79303414723843,-49.55299210095931,6.912278242066664e-08,5.803304001352362,-75.11986229213446,-50.22616395606329,3.573808106706986e-08,31.497608333333336,-2.519132461263565,18,4,4,20.605699310982484,0.7509477774534132,11.13046703966134,0.4989774847358364,-0.16813479786900318,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,linear,100.0,linear_time_speed,-23.92853568730021,4.83122803725637,-34.226054491803765,-13.631016882796661,0.0001735301596269641,3.748458395139061,-31.918185630167393,-15.93888574443303,1.2290782203869927e-05,3.782628506823374,-31.991017499188633,-15.86605387541179,1.3601696658571594e-05,31.497608333333336,-1.9977947926819408,18,3,3,4.560112747765234,0.7354120627280011,4.582534969429824,0.31364178348778066,-0.03198764887786696,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,linear,100.0,quadratic_time_speed,-23.98050019170421,5.748784162255991,-36.310415934618526,-11.650584448789894,0.0009414890789129946,3.9890353366441262,-32.536130079368746,-15.424870304039668,3.190514154224807e-05,3.8656544323932556,-32.27150435838833,-15.68949602502009,2.300560249482647e-05,31.497608333333336,-1.991126027069709,18,4,4,20.605699310982484,0.752712219544193,4.430187381522917,0.4989774847358364,-0.11524211921043215,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,linear,200.0,linear_time_speed,-4.7929708159030895,5.756437526557228,-17.06252696592413,7.476585334117948,0.41811471822483637,3.177196307294141,-11.565004441237946,1.9790628094317668,0.15218550627884914,2.512106471863699,-10.147399013753605,0.5614573819474256,0.07572706122102672,31.497608333333336,-1.0310708031229077,18,3,3,4.560112747765234,0.1323733320658924,4.926787435059008,0.31364178348778066,-0.6561217210129664,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,linear,200.0,quadratic_time_speed,-4.838736921085372,6.710367900576197,-19.23104466526626,9.553570823095514,0.4827267089353826,3.2150276355776013,-11.734285395157245,2.0568115529865008,0.1545387130604074,2.3990127814511135,-9.984107598884282,0.3066337567135369,0.0632965729422092,31.497608333333336,-1.0251974972587357,18,4,4,20.605699310982484,0.17044230377394087,4.817488398191443,0.4989774847358364,-0.6913087555375251,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,constant,20.0,linear_time_speed,-99.44779205379433,51.27747268119307,-208.74313789755388,9.847553789965232,0.07149696142386339,45.11876007510095,-195.61615271206838,-3.2794313955202767,0.04355052699771404,45.22818051356763,-195.84937685591308,-3.0462072516755825,0.04399608216948604,31.497608333333336,0.9146292805917895,18,3,3,4.560112747765234,0.3132828074619193,44.57209209251362,0.31364178348778066,0.2238951574329596,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,constant,20.0,quadratic_time_speed,-100.65371320643294,45.619234920766324,-198.49724097744758,-2.8101854354183047,0.044563322590558625,24.267387346591292,-152.70208253792563,-48.60534387494025,0.0009859863510339089,19.507446175409267,-142.4930240787067,-58.81440233415917,0.00014487753246580811,31.497608333333336,1.0693888728559315,18,4,4,20.605699310982484,0.5688868414002741,35.31585282819556,0.4989774847358364,-0.23900926077715862,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,constant,50.0,linear_time_speed,-48.44627022683599,11.555840957715029,-73.0769621847135,-23.815578268958483,0.000784921192403042,9.967080017909872,-69.69059840156339,-27.201942052108585,0.00020771113866485376,10.176274681522482,-70.13648627225393,-26.756054181418055,0.00025264434469087697,31.497608333333336,0.17974019030693533,18,3,3,4.560112747765234,0.7028025911665237,9.531107960038177,0.31364178348778066,0.15918381674014037,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,constant,50.0,quadratic_time_speed,-48.684396535247515,12.145708197674866,-74.73434979294406,-22.634443277550968,0.0012946483110575055,6.945179077201418,-63.580324165228284,-33.78846890526675,6.1517290564464375e-06,6.017820166598351,-61.591337118845686,-35.777455951649344,1.201882307829539e-06,31.497608333333336,0.21029967615436007,18,4,4,20.605699310982484,0.7971328432128664,7.8745682390451375,0.4989774847358364,-0.4041420476957784,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
