source,location,location_order,relative_time_min,nominal_speed_um_per_s,point_index,row,column,distance_nm,normalization_valid,normalization_denominator_pN,normalization_threshold_pN,normalized_force
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,4,0,4,100.0,True,610.0313754066925,50.0,0.09275256560978834
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,5,0,5,100.0,True,381.1174485657122,50.0,0.14134970584355744
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,6,0,6,100.0,True,287.56786579446856,50.0,0.13634851928218633
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,7,0,7,100.0,True,412.38126636137537,50.0,0.06281868464864304
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,8,1,7,100.0,True,684.4072917694139,50.0,0.13573028882815605
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,9,1,6,100.0,True,638.2497800642583,50.0,0.09760340276167147
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,10,1,5,100.0,True,596.0569988044044,50.0,0.11540839982351712
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,11,1,4,100.0,True,473.4166396123492,50.0,0.11529356993311927
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,12,1,3,100.0,True,436.714380224686,50.0,0.07759417669462106
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,13,1,2,100.0,True,600.0258655051994,50.0,0.05536582613832807
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,14,1,1,100.0,True,839.2305336694237,50.0,0.07238233252116895
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,15,1,0,100.0,True,848.6016643115009,50.0,0.12124454961030447
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,16,2,0,100.0,True,1001.8014705022305,50.0,0.09931354395113752
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,17,2,1,100.0,True,870.2308959692718,50.0,0.09254906661685755
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,18,2,2,100.0,True,692.3354458602329,50.0,0.12143200854963244
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,19,2,3,100.0,True,532.1407867963424,50.0,0.1298398187796229
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,20,2,4,100.0,True,483.0067860473397,50.0,0.1491031429454245
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,21,2,5,100.0,True,511.8373015380617,50.0,0.1321455655526611
