source,location,location_order,block_in_location,instrument_scan_number,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,baseline,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,finite_pixels
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,2,14,2026-09-10T13:56:01.435000+02:00,35.630874999999996,2.0,linear,100.0,86.82769027767702,49.90057692686476,111.58555743378069,64
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,2,14,2026-09-10T13:56:01.435000+02:00,35.630874999999996,2.0,linear,200.0,4.409144882651082,-21.381011551979903,22.875654773760484,64
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,2,14,2026-09-10T13:56:01.435000+02:00,35.630874999999996,2.0,constant,20.0,711.7204273736585,554.3009177117794,961.891642161272,64
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,2,14,2026-09-10T13:56:01.435000+02:00,35.630874999999996,2.0,constant,50.0,276.3304318273123,223.43468185766744,339.1967386470892,64
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,2,14,2026-09-10T13:56:01.435000+02:00,35.630874999999996,2.0,constant,100.0,80.1732117624714,62.79323967330562,96.72789364377995,64
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,2,14,2026-09-10T13:56:01.435000+02:00,35.630874999999996,2.0,constant,200.0,1.4125150932177606,-2.841356019794351,6.134291574599551,64
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,2,15,2026-09-10T14:00:02.557500+02:00,39.64958333333333,4.0,linear,20.0,711.0131656909834,566.6361302492738,1022.9738091795234,64
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,2,15,2026-09-10T14:00:02.557500+02:00,39.64958333333333,4.0,linear,50.0,280.5186614968386,230.28775986780053,336.38851190951914,64
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,2,15,2026-09-10T14:00:02.557500+02:00,39.64958333333333,4.0,linear,100.0,81.28982254875072,62.86624675912084,103.67632892593433,64
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,2,15,2026-09-10T14:00:02.557500+02:00,39.64958333333333,4.0,linear,200.0,2.8851731028430776,-10.702679840438154,22.43123153364961,64
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,2,15,2026-09-10T14:00:02.557500+02:00,39.64958333333333,4.0,constant,20.0,682.8894172380967,555.5369167473015,1055.8506919282272,64
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,2,15,2026-09-10T14:00:02.557500+02:00,39.64958333333333,4.0,constant,50.0,279.44355248338053,223.8617476986632,355.7726104373944,64
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,2,15,2026-09-10T14:00:02.557500+02:00,39.64958333333333,4.0,constant,100.0,78.95739240485152,60.98660973354046,100.17465870862658,64
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,2,15,2026-09-10T14:00:02.557500+02:00,39.64958333333333,4.0,constant,200.0,3.465616475940525,-1.9141509553369156,8.240068402081121,64
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,2,16,2026-09-10T14:04:57.680000+02:00,44.56829166666667,1.0,linear,20.0,684.8109997303527,530.4902429571439,1003.978394373215,64
