location,block_in_location,pair_depth,speed_um_per_s,early_location_order,late_location_order,early_scan_number,late_scan_number,pair_center_time,pair_center_relative_min,early_late_separation_min,baseline,distance_nm,paired_pixels,difference_median,difference_q25,difference_q75,negative_pixel_fraction,positive_pixel_fraction,naive_pixel_wilcoxon_p,exact_physical_row_signflip_p,row_cluster_bootstrap_median_95CI_low,row_cluster_bootstrap_median_95CI_high,history_half_difference_median_pN,exact_row_signflip_BH_q_across_primary_pair_tests
A,2,3,2.0,9,10,13,14,2026-09-10T13:53:58.057750+02:00,33.5745875,4.1125750000000005,constant,20.0,64,-5.439059266102845,-42.74353860242567,25.198574573229337,0.546875,0.453125,0.16422513016938778,0.2578125,-19.118685813839846,12.89905465577499,-2.7195296330514225,
A,2,3,2.0,9,10,13,14,2026-09-10T13:53:58.057750+02:00,33.5745875,4.1125750000000005,constant,50.0,64,-3.2433781072497254,-17.64740894532104,12.046394668463734,0.578125,0.421875,0.24187490234059006,0.6640625,-11.06100777618569,5.722073636287959,-1.6216890536248627,
A,2,3,2.0,9,10,13,14,2026-09-10T13:53:58.057750+02:00,33.5745875,4.1125750000000005,constant,100.0,64,0.5747217165739151,-10.061246916798686,9.517424552513447,0.46875,0.53125,0.8514645205048966,0.8515625,-5.887102992285207,5.312318915767186,0.28736085828695757,
A,2,3,2.0,9,10,13,14,2026-09-10T13:53:58.057750+02:00,33.5745875,4.1125750000000005,constant,200.0,64,2.813780452524668,-5.129704055540955,12.63923818478541,0.40625,0.59375,0.039422308237352086,0.296875,-1.0834666123174574,7.914125446395946,1.406890226262334,
A,3,1,4.0,13,18,17,22,2026-09-10T14:18:24.124500+02:00,58.009033333333335,20.49075,linear,20.0,64,-51.1707886042085,-161.80022701331652,47.891714154972334,0.65625,0.34375,0.030767713977873173,0.03125,-94.1550469575686,-10.594931423822686,-25.58539430210425,0.225
A,3,1,4.0,13,18,17,22,2026-09-10T14:18:24.124500+02:00,58.009033333333335,20.49075,linear,50.0,64,-17.645703709225103,-64.10837669304252,27.234000965689937,0.625,0.375,0.03878705106907489,0.015625,-36.43660354763388,-4.492512875410682,-8.822851854612551,0.225
A,3,1,4.0,13,18,17,22,2026-09-10T14:18:24.124500+02:00,58.009033333333335,20.49075,linear,100.0,64,-10.990283076053785,-34.806495994481644,24.714521716450395,0.5625,0.4375,0.2876399194327771,0.0859375,-16.602253341563404,2.231412885098667,-5.495141538026893,0.4125
A,3,1,4.0,13,18,17,22,2026-09-10T14:18:24.124500+02:00,58.009033333333335,20.49075,linear,200.0,64,7.672620239275306,-20.62160373727518,29.14463297304508,0.453125,0.546875,0.27568527605631776,0.296875,-2.2887988922552807,18.510287700258836,3.836310119637653,0.6895161290322581
A,3,1,4.0,13,18,17,22,2026-09-10T14:18:24.124500+02:00,58.009033333333335,20.49075,constant,20.0,64,-55.387665806826334,-142.90437211145255,53.87806875267495,0.65625,0.34375,0.02779348508458246,0.0390625,-95.04106962857009,-14.554212291384601,-27.693832903413167,
A,3,1,4.0,13,18,17,22,2026-09-10T14:18:24.124500+02:00,58.009033333333335,20.49075,constant,50.0,64,-17.617295328327927,-41.00665826010789,19.437950019514076,0.625,0.375,0.020310379922793047,0.0390625,-25.511964472173034,3.3736729743988576,-8.808647664163963,
A,3,1,4.0,13,18,17,22,2026-09-10T14:18:24.124500+02:00,58.009033333333335,20.49075,constant,100.0,64,-0.3453493702799548,-11.858928204589258,9.891634104911216,0.53125,0.46875,0.6637890509214112,0.5078125,-6.6124738617528855,4.044927884398348,-0.1726746851399774,
A,3,1,4.0,13,18,17,22,2026-09-10T14:18:24.124500+02:00,58.009033333333335,20.49075,constant,200.0,64,7.39304575371435,-0.8822435447790691,16.386091772504113,0.28125,0.71875,4.7826349152746855e-05,0.015625,3.056909402480338,13.061464894120594,3.696522876857175,
A,3,2,2.0,14,17,18,21,2026-09-10T14:18:43.965500+02:00,58.33971666666666,12.452416666666666,linear,20.0,64,-38.065342498569464,-184.5885397466551,77.19900621948497,0.578125,0.421875,0.116051792582079,0.734375,-81.88480474319189,9.01997957933986,-19.032671249284732,0.9613636363636363
A,3,2,2.0,14,17,18,21,2026-09-10T14:18:43.965500+02:00,58.33971666666666,12.452416666666666,linear,50.0,64,-27.239499909458488,-96.03295209524418,22.604677076718772,0.578125,0.421875,0.03693322245077017,0.59375,-58.27069243174171,7.9738723651341274,-13.619749954729244,0.890625
A,3,2,2.0,14,17,18,21,2026-09-10T14:18:43.965500+02:00,58.33971666666666,12.452416666666666,linear,100.0,64,-9.052470882787574,-73.34742918375862,37.99060847695946,0.5625,0.4375,0.16626249026587459,0.8671875,-43.10782299731859,12.243411281096748,-4.526235441393787,0.9619565217391305
A,3,2,2.0,14,17,18,21,2026-09-10T14:18:43.965500+02:00,58.33971666666666,12.452416666666666,linear,200.0,64,-7.143311720619028,-52.12337772866387,34.51551301340003,0.515625,0.484375,0.41075650210426795,0.953125,-30.495557688839845,12.689942442764677,-3.571655860309514,0.9803571428571428
A,3,2,2.0,14,17,18,21,2026-09-10T14:18:43.965500+02:00,58.33971666666666,12.452416666666666,constant,20.0,64,-18.569519202348857,-95.51718156557894,87.2587107440022,0.53125,0.46875,0.4909409635648695,0.2890625,-66.58349578210073,34.01358295168865,-9.284759601174429,
A,3,2,2.0,14,17,18,21,2026-09-10T14:18:43.965500+02:00,58.33971666666666,12.452416666666666,constant,50.0,64,-13.383366925430337,-45.628565291053995,14.372832158052063,0.625,0.375,0.01727735450033454,0.359375,-26.923993157827937,3.0104637161352485,-6.691683462715169,
A,3,2,2.0,14,17,18,21,2026-09-10T14:18:43.965500+02:00,58.33971666666666,12.452416666666666,constant,100.0,64,-4.814250042449352,-16.18252397107029,7.207113344463336,0.625,0.375,0.10558156128211937,0.6328125,-8.3963923098855,-0.536370350968177,-2.407125021224676,
A,3,2,2.0,14,17,18,21,2026-09-10T14:18:43.965500+02:00,58.33971666666666,12.452416666666666,constant,200.0,64,5.4201517310614555,-5.86408593692717,14.171334706757978,0.390625,0.609375,0.037542599943591076,0.0234375,-0.24164478328635952,8.172569998614945,2.7100758655307278,
A,3,3,1.0,15,16,19,20,2026-09-10T14:19:26.199250+02:00,59.0436125,4.060758333333333,linear,20.0,64,12.003187751413549,-82.84334536772232,78.87366794946095,0.453125,0.546875,0.8149363302292698,0.875,-24.366932410806868,28.834189639634133,6.001593875706774,0.9619565217391305
A,3,3,1.0,15,16,19,20,2026-09-10T14:19:26.199250+02:00,59.0436125,4.060758333333333,linear,50.0,64,2.7393194729328627,-41.922632838330614,43.45802569794722,0.46875,0.53125,0.7685667182826303,0.578125,-8.645602653611235,20.010924917043667,1.3696597364664314,0.890625
A,3,3,1.0,15,16,19,20,2026-09-10T14:19:26.199250+02:00,59.0436125,4.060758333333333,linear,100.0,64,10.357642855527562,-28.64582387828599,40.24576114635114,0.4375,0.5625,0.414571303855538,0.0390625,-0.25719058683150564,25.91642321209368,5.178821427763781,0.234375
A,3,3,1.0,15,16,19,20,2026-09-10T14:19:26.199250+02:00,59.0436125,4.060758333333333,linear,200.0,64,6.317295158357773,-30.34933900417952,37.058976199547075,0.4375,0.5625,0.414571303855538,0.0390625,0.15557827200318375,20.108945435676237,3.1586475791788864,0.234375
A,3,3,1.0,15,16,19,20,2026-09-10T14:19:26.199250+02:00,59.0436125,4.060758333333333,constant,20.0,64,2.292962671608848,-42.81263965645583,43.17599857858262,0.484375,0.515625,0.9733256869477527,0.78125,-29.872583337449385,21.836643976300763,1.146481335804424,
A,3,3,1.0,15,16,19,20,2026-09-10T14:19:26.199250+02:00,59.0436125,4.060758333333333,constant,50.0,64,-2.1151495270761274,-18.369886313383567,13.752119982724167,0.53125,0.46875,0.4867417048303273,0.609375,-9.663686371541019,5.534519868492055,-1.0575747635380637,
A,3,3,1.0,15,16,19,20,2026-09-10T14:19:26.199250+02:00,59.0436125,4.060758333333333,constant,100.0,64,0.5708554000423618,-7.082493232225376,7.148482525045981,0.484375,0.515625,0.8777574922777037,0.625,-2.172395955735716,3.1885013564646023,0.2854277000211809,
A,3,3,1.0,15,16,19,20,2026-09-10T14:19:26.199250+02:00,59.0436125,4.060758333333333,constant,200.0,64,1.507526704006597,-4.301645066166596,6.471833479882003,0.421875,0.578125,0.42614069990147585,0.1171875,0.2411084877679685,3.2694320918833872,0.7537633520032985,
B,1,1,2.0,1,6,25,30,2026-09-10T14:41:19.714750+02:00,4.661254166666667,9.322508333333333,linear,20.0,63,-18.776205850998508,-104.27963370492469,86.91637118830181,0.5238095238095238,0.47619047619047616,0.4473038673852797,0.8125,-96.11610242687789,48.36957749512544,-9.388102925499254,0.9619565217391305
B,1,1,2.0,1,6,25,30,2026-09-10T14:41:19.714750+02:00,4.661254166666667,9.322508333333333,linear,50.0,64,-12.650328576939273,-57.157765853836295,33.24590978132656,0.578125,0.421875,0.11146873771446864,0.421875,-45.50405098414335,14.445043670523376,-6.325164288469637,0.8209459459459459
B,1,1,2.0,1,6,25,30,2026-09-10T14:41:19.714750+02:00,4.661254166666667,9.322508333333333,linear,100.0,64,-8.823151093866265,-36.28685333940237,17.827064725365055,0.609375,0.390625,0.14672737258469104,0.421875,-20.696605873316983,2.28805185818225,-4.411575546933133,0.8209459459459459
B,1,1,2.0,1,6,25,30,2026-09-10T14:41:19.714750+02:00,4.661254166666667,9.322508333333333,linear,200.0,64,-2.934882115088351,-23.77700734833524,26.69135335752255,0.5625,0.4375,0.7890840693735917,0.65625,-14.129531761484543,10.862766685468323,-1.4674410575441754,0.945
B,1,1,2.0,1,6,25,30,2026-09-10T14:41:19.714750+02:00,4.661254166666667,9.322508333333333,constant,20.0,63,-17.913567422625135,-105.29849469342997,69.06575829993949,0.5555555555555556,0.4444444444444444,0.4311051158231288,0.828125,-60.588647278443915,32.926474518637406,-8.956783711312568,
B,1,1,2.0,1,6,25,30,2026-09-10T14:41:19.714750+02:00,4.661254166666667,9.322508333333333,constant,50.0,64,-8.791255475761886,-41.143345021524055,22.60775586474705,0.5625,0.4375,0.14304003830552006,0.453125,-28.914210772946575,9.548866436315336,-4.395627737880943,
