source,timestamp,block,nominal_speed_um_per_s,point_index,sensitivity_nm_per_V,sensitivity_40nm_nm_per_V,sensitivity_60nm_nm_per_V,contact_fit_R2,contact_points,valid_for_consensus,retained_for_global_consensus
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,1,79.1984139307291,79.32522373041007,79.35035279096716,0.9998174877187684,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,2,79.97381245139431,80.63610607601842,79.77711577335823,0.9998418073425013,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,3,79.73606373586571,79.94560230227243,79.44450212171844,0.9998629057393594,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,4,79.87804505929778,79.67808262747724,79.79736745225287,0.9998956290670139,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,5,79.9582699749375,80.06479628282707,79.89678963955043,0.9999203276678601,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,6,79.97176528826202,79.98887377793834,79.97202799538806,0.9999027364288424,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,7,79.60950759120222,79.68707294051625,79.44185125547992,0.9997955185155941,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,8,80.32270717609002,80.3735604033511,80.16908693380918,0.9998811277976634,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,9,79.50890182190885,79.909110543586,79.80696828858906,0.9996471518961728,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,10,79.46133969049431,79.8091262776655,79.37204064201929,0.9998239036535507,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,11,79.88804583814671,79.85370577224975,79.97910475112552,0.9998275989815295,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,12,78.99254454825629,79.22166201004589,79.02799352442732,0.9995380432347383,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,13,80.35534530763647,80.12799409895892,80.36135758843697,0.9998500386051274,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,14,79.22168847903089,79.31841878651912,78.92247349120615,0.9998885747663484,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,15,79.61810721581502,79.74393155706228,79.48624171731974,0.9998573719757375,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,16,78.98757679305837,79.15144943624843,78.81034900361121,0.9998182675732995,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,17,79.22313359095754,79.03484584424397,79.46341700850348,0.9996402884601244,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,18,79.67249189897652,79.65723933020847,79.51228211616368,0.9997672602630641,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,19,79.64092626724836,79.76416978048668,79.46175061611844,0.9997813540651838,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,20,80.19978473146686,79.87585783318086,79.9527980322491,0.999234302794259,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,21,77.54564074911933,77.70077299379562,77.66059254792904,0.9997947457528145,51,True,False
