acquisition_order,block,nominal_speed_um_per_s,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
1,1,2.0,24,3,7,20.0,-123.32103854025519,-35.23546012101837
1,1,2.0,24,3,7,50.0,146.2988215106545,230.86830111779386
1,1,2.0,24,3,7,100.0,45.197959015161764,123.67784128570632
1,1,2.0,24,3,7,200.0,-8.818627221689727,58.39193888858006
1,1,2.0,25,3,6,20.0,-857.73271746448,-462.0099836546497
1,1,2.0,25,3,6,50.0,-158.60485622361293,222.82244400229322
1,1,2.0,25,3,6,100.0,-267.18014021704,89.29295656523368
1,1,2.0,25,3,6,200.0,-215.8976826764869,91.36190016049204
1,1,2.0,26,3,5,20.0,nan,nan
1,1,2.0,26,3,5,50.0,171.2402171039142,206.6850206973464
1,1,2.0,26,3,5,100.0,6.552290489776936,39.771820684665784
1,1,2.0,26,3,5,200.0,81.21339546086477,110.00777259024751
1,1,2.0,27,3,4,20.0,nan,nan
1,1,2.0,27,3,4,50.0,178.78471397201983,164.9362357954151
1,1,2.0,27,3,4,100.0,90.583494577967,77.63814045184289
1,1,2.0,27,3,4,200.0,68.08748848378114,57.13790140287754
1,1,2.0,28,3,3,20.0,nan,nan
1,1,2.0,28,3,3,50.0,218.03672912962276,212.76145902251915
1,1,2.0,28,3,3,100.0,127.22402802222992,122.29603041322149
1,1,2.0,28,3,3,200.0,56.80118004472089,52.60160319813362
1,1,2.0,29,3,2,20.0,-1049.686138999115,-935.158825881327
1,1,2.0,29,3,2,50.0,40.16590223469602,151.32989789609738
1,1,2.0,29,3,2,100.0,-28.202846670525126,75.40831089372641
1,1,2.0,29,3,2,200.0,-41.288734535783924,46.59151474291453
1,1,2.0,30,3,1,20.0,nan,nan
1,1,2.0,30,3,1,50.0,73.63697653742787,154.5456840273806
1,1,2.0,30,3,1,100.0,-56.903370558547486,18.59480049038017
1,1,2.0,30,3,1,200.0,-32.73129662262318,32.18317902640339
1,1,2.0,31,3,0,20.0,nan,nan
1,1,2.0,31,3,0,50.0,78.03234445085525,188.60624010721796
1,1,2.0,31,3,0,100.0,-61.86356578503946,41.033528315103034
1,1,2.0,31,3,0,200.0,-4.85819776448697,82.99944690799438
1,1,2.0,32,4,0,20.0,1082.5356891118413,1093.132253942234
1,1,2.0,32,4,0,50.0,184.9831052063424,195.29822313758794
1,1,2.0,32,4,0,100.0,67.08958858175325,76.92799729485021
1,1,2.0,32,4,0,200.0,51.68853922296151,60.63455202126687
1,1,2.0,33,4,1,20.0,203.58842443858592,285.16076589846415
1,1,2.0,33,4,1,50.0,167.38000983861167,245.79770780548384
1,1,2.0,33,4,1,100.0,48.37653667564821,121.14925023609023
1,1,2.0,33,4,1,200.0,52.0652018382583,114.23751444095258
1,1,2.0,34,4,2,20.0,-1205.9761432159928,-1009.0831196649244
1,1,2.0,34,4,2,50.0,-18.540478958224632,171.38819941840046
1,1,2.0,34,4,2,100.0,-97.7044482789693,79.6738467532234
1,1,2.0,34,4,2,200.0,-108.69986316536924,43.06667790157695
1,1,2.0,35,4,3,20.0,nan,nan
1,1,2.0,35,4,3,50.0,-41.625108632262396,153.6695414776992
1,1,2.0,35,4,3,100.0,-166.0541849099103,16.758206157766708
1,1,2.0,35,4,3,200.0,-134.88558461850727,22.24466692688791
