before_map,after_map,distance_nm,baseline,before_speed_um_per_s,after_speed_um_per_s,idle_s,paired_pixels,median_paired_change_pN,q25_change_pN,q75_change_pN,positive_pixel_fraction,fixed_pixel_change_pN
17,18,20.0,line,2.0,4.0,242.432,60,748.7980171596712,-99.26940556273303,1627.6733635558903,0.7,-256.55414546772545
17,18,50.0,line,2.0,4.0,242.432,46,-2.901467950676775,-182.09406144969816,114.47219294658635,0.5,nan
17,18,100.0,line,2.0,4.0,242.432,64,-4.972342927806057,-63.94673208381859,74.22866494905242,0.46875,-18.615917991176048
17,18,200.0,line,2.0,4.0,242.432,64,-11.537192256762307,-57.09582236153462,46.89902744485754,0.453125,4.578307787656243
17,18,20.0,constant,2.0,4.0,242.432,60,799.6535902255616,-79.8207019635081,1677.2717073873123,0.7,-257.20227765183745
17,18,50.0,constant,2.0,4.0,242.432,46,20.539743412326033,-183.1822941356832,54.26763034861328,0.6739130434782609,nan
17,18,100.0,constant,2.0,4.0,242.432,64,8.734174657380017,-13.066138335458191,23.4821793040024,0.625,-19.228117482165104
17,18,200.0,constant,2.0,4.0,242.432,64,4.773792076663106,-15.32025668525549,17.114587273170585,0.609375,4.01017616263421
18,19,20.0,line,4.0,2.0,317.537,64,4014.2931816671953,2845.51579948027,5473.022038505582,0.984375,960.468181603957
18,19,50.0,line,4.0,2.0,317.537,53,11.495399527466446,-158.3825746368708,1368.8923233170672,0.5471698113207547,3366.490168600453
18,19,100.0,line,4.0,2.0,317.537,64,-0.5212290398147594,-74.96887338492932,72.51346564181424,0.46875,-80.26259747042381
18,19,200.0,line,4.0,2.0,317.537,64,12.325495438813961,-52.269665720439235,74.97124010312035,0.546875,-65.17521910664497
18,19,20.0,constant,4.0,2.0,317.537,64,3959.903851438722,2856.2104473668687,5420.467716795922,0.984375,1030.2244082093164
18,19,50.0,constant,4.0,2.0,317.537,53,-80.31477153084745,-126.93971064433947,1169.1945226237535,0.39622641509433965,3433.416448529767
18,19,100.0,constant,4.0,2.0,317.537,64,-17.40695697738235,-27.908039896256593,-7.949387896685771,0.125,-18.180986827769757
18,19,200.0,constant,4.0,2.0,317.537,64,-6.326809310014177,-20.530202500575182,8.979478981567691,0.390625,-11.851558443941826
19,20,20.0,line,2.0,1.0,29.916,64,-57.33218120426841,-161.0980725220959,48.04936327951174,0.34375,-40.411944985107766
19,20,50.0,line,2.0,1.0,29.916,64,-45.80041441093876,-102.44340992931977,28.532860071269415,0.328125,-25.22238527511732
19,20,100.0,line,2.0,1.0,29.916,64,-50.64430690556961,-87.26469467604699,16.54114359412987,0.34375,-23.4353093593638
19,20,200.0,line,2.0,1.0,29.916,64,-35.8967269526816,-80.72808854971686,16.209250237739283,0.296875,-12.455530901944094
19,20,20.0,constant,2.0,1.0,29.916,64,24.803969734916905,-47.8306484514348,80.32191162493666,0.59375,124.35861340064457
19,20,50.0,constant,2.0,1.0,29.916,64,14.564201787889374,-8.007740237672905,39.96436937916759,0.640625,131.717213075573
19,20,100.0,constant,2.0,1.0,29.916,64,13.997047589358168,-9.018983344927587,36.15395995375272,0.6875,123.6179143824858
19,20,200.0,constant,2.0,1.0,29.916,64,5.542084908220389,-6.778537184028316,27.53840751453114,0.59375,113.84278260184179
