speed_um_per_s,candidate_start_nm,candidate_stop_nm,candidate_start_time_s,candidate_stop_time_s,training_blocks,validation_blocks,training_map_median_score_V,validation_map_median_score_V,training_map_median_drift_V,validation_map_median_drift_V,training_map_median_pre_guard_mismatch_V,validation_map_median_pre_guard_mismatch_V,training_map_median_post_guard_mismatch_V,validation_map_median_post_guard_mismatch_V,training_map_median_roughness_V,validation_map_median_roughness_V,selected_from_training,within_1pct_contiguous_training_minimum,fixed_100_220nm_reference
0.1,165.0,285.0,1.65,2.85,1+3,2+4,0.004354186259197377,0.004262921071781452,0.0021330688547735598,0.0018552696161886206,0.0012402657179428384,0.0012234646692869666,0.0023090894750611834,0.0024023166967954493,0.0018271406351615949,0.0017368995712577218,False,False,False
0.1,170.0,290.0,1.7,2.9,1+3,2+4,0.004752798699550511,0.004496663705776619,0.0023175445775936907,0.0019822115679632157,0.0013605251421296982,0.0012575089543472723,0.002545901872353417,0.002966975851229292,0.0018204869610197738,0.0017475127724880524,False,False,False
0.1,175.0,295.0,1.75,2.95,1+3,2+4,0.004928655237591967,0.0047541030143563034,0.002345342960705016,0.002340503229701807,0.0013437480800734935,0.001483310111909178,0.0029640345379109163,0.0029585346539716395,0.0018180980347553277,0.0017447887290933661,False,False,False
0.1,180.0,300.0,1.8,3.0,1+3,2+4,0.00527890026425399,0.005324406841406363,0.002402006956792463,0.0025584958800236313,0.0015696271071759735,0.0016117538333960402,0.0033766388137153602,0.003084693391125423,0.0018446098322866256,0.001717546904618561,False,False,False
0.3,20.0,140.0,0.06666666666666667,0.4666666666666667,1+3,2+4,0.007720857076447478,0.006997341278062483,0.0021659638688456273,0.002284542492903302,0.007375610648556713,0.0059713127432653584,0.0021020555720560052,0.001808944887411873,0.0024164086502272974,0.0023568989395880424,False,False,False
0.3,25.0,145.0,0.08333333333333333,0.48333333333333334,1+3,2+4,0.005536163323471885,0.005521067756808495,0.0022279435039769813,0.002422305877403025,0.0034229691046017974,0.002885568808605077,0.002281024805931481,0.0017906556266870238,0.0023568829485216825,0.0024040246122112308,False,False,False
0.3,30.0,150.0,0.1,0.5,1+3,2+4,0.005248184728239846,0.004910340773555892,0.0020387823987072784,0.002351281208442302,0.002222916399391567,0.0019092210407332805,0.0020610697736593298,0.0018514588755438877,0.002368942298363791,0.0024116558271936317,False,False,False
0.3,35.0,155.0,0.11666666666666667,0.5166666666666667,1+3,2+4,0.005304405319867277,0.005117301673866474,0.0023056858113451456,0.0021628814169847993,0.0019561391771252823,0.0019442616387553846,0.0021622066635100246,0.0019168539938749646,0.002326815572143842,0.0023743653556580757,False,False,False
0.3,40.0,160.0,0.13333333333333333,0.5333333333333333,1+3,2+4,0.0051862577593382725,0.005043766755115829,0.0022992097770930253,0.002175047489813467,0.0018023457914748686,0.001882667179744682,0.0019548943073708913,0.0020560155537873437,0.002317021391617574,0.0023755570377352875,True,True,False
0.3,45.0,165.0,0.15,0.55,1+3,2+4,0.005338826959330991,0.005140327245110866,0.002283788479360116,0.0021848388892847515,0.001743871676199632,0.0019909187036072917,0.00220613898970351,0.0021363129554575477,0.0023493435083552228,0.002387301433096123,False,False,False
