curve_row_index,acquisition_order,instrument_scan_number,block,position_in_block,source,map_start_time,speed_um_per_s,point_index,line_index,position_within_line,physical_row,physical_column,duration_s,sample_count,baseline_mode,baseline_start_nm,baseline_stop_nm,baseline_start_time_s,baseline_stop_time_s,baseline_sample_count,dynamic_baseline_raw_V,initial_0_10nm_raw_V,baseline_minus_initial_V,pre_guard_corrected_V,post_guard_corrected_V,near_320_360nm_corrected_V,near_380_420nm_corrected_V,terminal_last_25nm_corrected_V,detector_drift_V,detector_pre_guard_mismatch_V,detector_post_guard_mismatch_V,detector_roughness_V,detector_score_V
30,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,30,4,7,3,1,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5837485375785483,-0.5836611679539554,-8.736962459288122e-05,0.00019775247949860297,0.0012499563041693529,0.014477079493514955,0.04627459191680117,1.3361432406170262,0.0007351858005240075,0.0003082451860777491,0.0013560062753495972,0.0017314653897434473,0.0020001778786735425
31,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,31,4,8,3,0,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2401,-0.5824615570888618,-0.5828561498618116,0.00039459277294973116,-0.0007634413195545253,-0.00035882284324795233,0.01067127522133543,0.045571635762935214,1.3248730095754535,0.0026698156028400755,0.0013617018760361255,0.00037089818415658726,0.0013335659423716617,0.0038695071185293473
32,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,32,5,1,4,0,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2401,-0.581338389083177,-0.582210953439712,0.0008725643565349328,-0.0015024983486700005,0.0022149100896132756,0.014543377064201057,0.08423986976726025,1.5452526561096613,0.0032922852432943905,0.001424527299526357,0.0019817839807535487,0.0010047061859381756,0.005246617429918887
33,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,33,5,2,4,1,4.746,9492,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5803997496403579,-0.5868914857292341,0.00649173608887621,-0.0016232489767004088,0.0032070764984540867,0.020223253665577645,0.13027319403662274,1.2751788935859596,0.0037225297511074285,0.0018302248251818032,0.003164305262732592,0.0017654081662953347,0.00666114683663846
34,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,34,5,3,4,2,4.899,9798,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5788966811754082,-0.5823197399690345,0.0034230587936263657,-0.0019357088516649967,0.0011050605564321136,0.012834237984179764,0.06437691568514747,1.281337092183854,0.0019115581698478934,0.002572076814595037,0.0012454009360423068,0.0006975998418922158,0.003994697005639619
35,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,35,5,4,4,3,4.974,9948,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5799107261441125,-0.5859716434373134,0.006060917293200907,-0.00020014418681812973,0.0035172586893551516,0.012244743313129636,0.05639407523002915,1.2811098382726747,0.00023892878016473773,0.000353127242561424,0.003095901042866833,0.0014933876124157974,0.0023367898259828157
36,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,36,5,5,4,4,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.584482471904312,-0.5916004932411336,0.0071180213368216005,8.327034948940604e-05,0.0021072554496847085,0.016963662505129984,0.058480720280940646,1.2918944581725151,0.0009388633177483952,0.0003080727606663558,0.0017048659889788986,0.001660609669875246,0.002360485110039834
37,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,37,5,6,4,5,4.9395,9879,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5797304053174962,-0.5854704305769036,0.005740025259407422,-0.002356040288849781,2.4378728328944277e-05,0.009916382864920692,0.03883431304817009,1.2701854508905592,0.0016451762050269103,0.003315124657668145,0.00016129980078871675,0.002386456687633043,0.003980002606163602
38,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,38,5,7,4,6,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5806084400092607,-0.5804428114963293,-0.0001656285129314483,0.0026951593572619448,0.002171620187129908,0.005753354856131154,0.03398553805399501,1.2688011946582889,0.001515373242897633,0.002001205478504464,0.002023419155498196,0.0024625519151639796,0.004143323538689958
39,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,39,5,8,4,7,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5810430132292168,-0.5827381385729786,0.0016951253437618163,-0.0017070866614144475,0.004231261193771263,0.008316147118533068,0.03370189269012058,1.2900028346050698,0.002197760713815722,0.0010237286022933834,0.004648975658179677,0.0018507281533365338,0.0054967948823863855
