speed_um_per_s,scanner_travel_bin_center_nm,curve_count,endpoint_delta_V_q25,endpoint_delta_V_median,endpoint_delta_V_q75,dynamic_baseline_delta_V_q25,dynamic_baseline_delta_V_median,dynamic_baseline_delta_V_q75,dynamic_baseline_delta_nN_prior_D3_scale_median
0.1,297.5,512,0.0031319018001356863,0.005714386713153108,0.00852378485810995,0.002291747163571528,0.0040027099204238414,0.005692244648326322,0.08736145023526225
0.1,302.5,512,0.0034984309468513997,0.006074815615676672,0.008803546478645147,0.002550595250336086,0.004306545743763046,0.006316042242553721,0.09399284213925693
0.1,307.5,512,0.004093189459795836,0.006595466660167705,0.009620376406734077,0.003129756216185775,0.005084319230376996,0.006992403862501662,0.1109681966105937
0.1,312.5,512,0.004499690015089054,0.006960423120268233,0.010160697158136722,0.0035145721902031246,0.005481100693629649,0.007427225986882072,0.11962818065773916
0.1,317.5,512,0.005070600981213813,0.0073809047344240986,0.010500460040786558,0.0040872136678158505,0.005756261058629919,0.0079997812517891,0.12563371416168645
0.1,322.5,512,0.0053083540703675325,0.008334440898472295,0.01180292544483938,0.004479304881772672,0.006592844125281161,0.008801999516788811,0.1438926216013684
0.1,327.5,512,0.0062880794295644415,0.009214522446733604,0.01268086558073328,0.00540234608223337,0.007448592832621503,0.00995034788991267,0.16256983019166443
0.1,332.5,512,0.00657050530081138,0.009786538186966065,0.01357744295686167,0.005974881879755145,0.008042516333795269,0.010906334858699851,0.17553255280281244
0.1,337.5,512,0.0076822758477495465,0.010884101019057112,0.015081818517672069,0.006764063254072181,0.009187802070075593,0.011914052231963734,0.20052907387087293
0.1,342.5,512,0.008673539108971817,0.01233842593262413,0.016888592096374985,0.007471535146031161,0.01085114551703803,0.01382694947980509,0.2368325029613756
0.1,347.5,512,0.009737670878634919,0.01378331333597151,0.01820049570591109,0.008690827537520388,0.011778390977429293,0.015812145815071177,0.2570701693809463
0.1,352.5,512,0.010908236405071497,0.015324222226087536,0.020417358791413986,0.00969021495572775,0.013365387511381282,0.01794564955732425,0.2917072831065644
0.1,357.5,512,0.012550490416533125,0.017104230931252046,0.022478909687592058,0.011439688372006804,0.015472982249779,0.019742159652465743,0.3377067525947596
0.1,362.5,512,0.014190978458055448,0.019273566481680937,0.025183026127818343,0.013151141985070667,0.017800003619994342,0.022779910920599403,0.38849533474835546
0.1,367.5,512,0.016002000793569338,0.022058573383560987,0.02928671615611611,0.014900308790033512,0.020337034969721075,0.026327925992714246,0.4438675057052214
0.1,372.5,512,0.018321949940862142,0.02534395048617888,0.03360022705218349,0.0173541615650864,0.023685507258166427,0.030620737496247663,0.5169498426736215
0.1,377.5,512,0.02079914550124803,0.02860962381396119,0.03841035789629066,0.019538258260312157,0.02742969308473564,0.035351995534119995,0.5986688556079299
0.1,382.5,512,0.024517466820842715,0.03305587585678921,0.04505078448248273,0.02317842359060379,0.03145441088408156,0.04213476625006607,0.6865106404808398
0.1,387.5,512,0.02745940587659823,0.03883798543132766,0.05182076860269817,0.026235688826567793,0.03707062496440622,0.04847011527185123,0.8090877486508238
0.1,392.5,512,0.02957506011245145,0.044383539856163,0.059136405452058394,0.02878684167843587,0.04303590038484917,0.05567672850694819,0.9392833216858735
0.1,397.5,512,0.03542247581156038,0.05118807232766176,0.0680545251402648,0.0340751978773991,0.04969912606011723,0.06546306506742511,1.084712061167103
0.1,402.5,512,0.0386313440047127,0.061479665402551564,0.08032252502602158,0.03731637775833279,0.05980878112489507,0.07764989012865223,1.3053611077869332
0.1,407.5,512,0.04477818268810331,0.07232962897120504,0.09955418309430175,0.0433380814804499,0.07065921191079225,0.0981858456209814,1.5421780113293564
0.1,412.5,512,0.05385174388469299,0.091278312605135,0.13790407251123404,0.0532843558200182,0.08883329107030657,0.1362951431868457,1.9388377602570297
0.1,417.5,512,0.058021847592723885,0.11722791708257335,0.21735128897467715,0.0562632224196289,0.11486793186717387,0.21658959207188566,2.5070587959017048
0.1,422.5,512,0.0940732291013246,0.1727768978270543,0.3056055254544887,0.09221416056397483,0.17017580070329735,0.30414542776595843,3.7141848997173375
0.1,427.5,512,0.17521651229565469,0.25146836954071816,0.40213276793679387,0.1739714075419725,0.24977065364420262,0.3996065340331928,5.4513884249339775
0.1,432.5,512,0.2645408806713409,0.34691726628113917,0.4936729189581066,0.2643360052146654,0.34371254533628914,0.4910039300238719,7.501724337159062
0.1,437.5,512,0.3574601304583842,0.436434620408015,0.5919779147099529,0.35677996018358293,0.4328388706122269,0.5881686793111389,9.446957737790093
0.1,442.5,512,0.45217349654745853,0.5274075537042731,0.6884425834542474,0.4519289229208615,0.5241914999602058,0.6875801831585565,11.440781507512268
0.1,447.5,512,0.5478635642936562,0.6256798901364602,0.7818104028159121,0.5473625697460656,0.6218662683186118,0.779757530897196,13.572589603733267
0.1,452.5,512,0.6419243718127219,0.7200991777337423,0.8781739489232628,0.6413610795468317,0.7192543822116091,0.8762276428614337,15.698141301086403
0.1,457.5,512,0.7382333320673509,0.8187184980579458,0.9758123028424653,0.7367452152494669,0.8172550596270696,0.9727681099556355,17.837062550255062
0.1,462.5,512,0.8349670122639904,0.9128734255174084,1.0723228791572832,0.8339694888479121,0.9121177934003576,1.0693533520357026,19.907496371459494
0.1,467.5,510,0.9329654126906511,1.0083983910653376,1.1665732531203883,0.9311769335871514,1.0072535739368285,1.1674978614453544,21.98388959559043
0.1,472.5,498,1.029998426877812,1.1002202970283732,1.254875000448944,1.0270226145718802,1.0994522308143158,1.2526163985943968,23.996178403595714
0.1,477.5,482,1.125938206249761,1.1940710132220684,1.3456276164805134,1.1238829843395508,1.1883323812712272,1.3458139499480888,25.936038896964142
0.1,482.5,458,1.2226111815773653,1.2766142683906019,1.4371093298878976,1.2213935446088782,1.2747894999953748,1.435069498336183,27.823015326698528
0.1,487.5,431,1.3194478178214724,1.3647900485271682,1.5256212637929583,1.3195423695206614,1.363237891660013,1.5237947920015298,29.753452435661213
0.3,2.5,512,-0.03280370021628781,-0.018321114929091553,-0.001064682418557561,-0.06367336855708916,-0.04052930629181839,-0.004207749459345711,-0.8845754613932837
0.3,7.5,512,0.000916468176914445,0.006344497302282148,0.01600792791708637,-0.016104027273395577,-0.00825429784535589,-0.0019406466148577939,-0.18015480631375203
0.3,12.5,512,0.0012163403015826996,0.013419431753637245,0.026856394582873963,-0.0059836568036154,-0.003438122378156716,-0.0007100422820636165,-0.07503900182960918
0.3,17.5,512,0.001763692950610074,0.014733788948967264,0.029313492849138728,-0.004111387988600612,-0.0020703981274687866,-0.00021014555594356388,-0.045187632023279904
0.3,22.5,512,0.002045679415163648,0.015015659999737085,0.0299995068158061,-0.003695370663019726,-0.0018478678382458646,0.0004311483506955621,-0.04033078024678937
0.3,27.5,512,0.0024423920473044813,0.01578829965877948,0.029654129678329186,-0.0035332163830752716,-0.0015181403926453063,0.0005590518522442661,-0.0331342887690899
0.3,32.5,512,0.00174547704021151,0.016308491829191474,0.030565496705068196,-0.0034698695117683087,-0.0014902380676025118,0.0007323574675656142,-0.03252530444868326
0.3,37.5,512,0.0023721078342435337,0.016228857709144312,0.02935131172112812,-0.0029998781655709017,-0.0011358454450058342,0.0006772174896308158,-0.024790481271827775
0.3,42.5,512,0.0023979090722164448,0.015829026819059178,0.03047251421617568,-0.0030400831827703256,-0.0013312326372075522,0.00039749758492102494,-0.029054919316923625
0.3,47.5,512,0.0023852615292370566,0.01617664340109315,0.03063316742167127,-0.002951327202248555,-0.0011107450328984858,0.0005783037056389384,-0.024242650315601875
0.3,52.5,512,0.0019471077009393933,0.01611436584544257,0.030542824849259548,-0.0029674920845680353,-0.0010372848550015412,0.0008118824312036421,-0.02263933960780572
0.3,57.5,512,0.0030704919336521086,0.01605925645911277,0.03009149924911049,-0.0028246515364923896,-0.0010458797055490354,0.0010021935027252349,-0.022826927173058245
0.3,62.5,512,0.0026185294719029417,0.015932753218767914,0.03023374951825751,-0.0024124491231388295,-0.000847952019584125,0.0008916104118578821,-0.01850704138783672
