acquisition_order,block,position_in_block,speed_um_per_s,elapsed_midpoint_min,scanner_travel_bin_center_nm,finite_pixel_count,map_median_corrected_V,map_median_corrected_nN_prior_D3_scale
2,1,2,0.3,4.264597233333333,367.5,64,0.037539987792168605,0.8193318627972479
2,1,2,0.3,4.264597233333333,372.5,64,0.04012766910649612,0.875809498414271
2,1,2,0.3,4.264597233333333,377.5,64,0.04567011431181639,0.9967765583842284
2,1,2,0.3,4.264597233333333,382.5,64,0.05192320250708524,1.1332538110575474
2,1,2,0.3,4.264597233333333,387.5,64,0.059798566309796575,1.3051381635619879
2,1,2,0.3,4.264597233333333,392.5,64,0.06788603283592365,1.4816517802111768
2,1,2,0.3,4.264597233333333,397.5,64,0.07616880173207444,1.662427983612555
2,1,2,0.3,4.264597233333333,402.5,64,0.08925250869495474,1.9479874264535666
2,1,2,0.3,4.264597233333333,407.5,64,0.10358452001532104,2.260791831126193
2,1,2,0.3,4.264597233333333,412.5,64,0.11635963972235594,2.5396161793111522
2,1,2,0.3,4.264597233333333,417.5,64,0.1358594380774953,2.965210513516557
2,1,2,0.3,4.264597233333333,422.5,64,0.17366410165722862,3.7903190778743734
2,1,2,0.3,4.264597233333333,427.5,64,0.22455003043353244,4.900933792116629
2,1,2,0.3,4.264597233333333,432.5,64,0.2881870241814523,6.289847846083826
2,1,2,0.3,4.264597233333333,437.5,64,0.373946789187077,8.16160412912053
2,1,2,0.3,4.264597233333333,442.5,64,0.4660128425800273,10.170998789674288
2,1,2,0.3,4.264597233333333,447.5,64,0.5562103162274502,12.139610620671357
2,1,2,0.3,4.264597233333333,452.5,64,0.6484216324674008,14.152175726556289
2,1,2,0.3,4.264597233333333,457.5,64,0.7445348926611378,16.24990300739678
2,1,2,0.3,4.264597233333333,462.5,64,0.8409996281507528,18.355301439077632
2,1,2,0.3,4.264597233333333,467.5,63,0.92999998414891,20.297785487641992
2,1,2,0.3,4.264597233333333,472.5,61,1.019283358383034,22.246446572271577
2,1,2,0.3,4.264597233333333,477.5,59,1.1126488986701077,24.284203283008654
2,1,2,0.3,4.264597233333333,482.5,58,1.205568290986221,26.312222557224604
2,1,2,0.3,4.264597233333333,487.5,57,1.303943387401497,28.45931571679142
3,1,3,0.9,6.086941666666666,2.5,64,-0.270866019744874,-5.911806944496169
3,1,3,0.9,6.086941666666666,7.5,64,-0.16320016660258257,-3.561937666351882
3,1,3,0.9,6.086941666666666,12.5,64,-0.10389529178988688,-2.2675746041619624
3,1,3,0.9,6.086941666666666,17.5,64,-0.06972793392061818,-1.5218523326238729
3,1,3,0.9,6.086941666666666,22.5,64,-0.04517328856570482,-0.9859330502216568
3,1,3,0.9,6.086941666666666,27.5,64,-0.028487915112475587,-0.6217651610740209
3,1,3,0.9,6.086941666666666,32.5,64,-0.021744325290216776,-0.47458242778169635
3,1,3,0.9,6.086941666666666,37.5,64,-0.015003121613167414,-0.32745177348338167
3,1,3,0.9,6.086941666666666,42.5,64,-0.010236724249819557,-0.22342240479620312
3,1,3,0.9,6.086941666666666,47.5,64,-0.008259363537079706,-0.1802653679542994
3,1,3,0.9,6.086941666666666,52.5,64,-0.006696544104967422,-0.1461559334063367
3,1,3,0.9,6.086941666666666,57.5,64,-0.0060625692398843245,-0.1323190667016669
3,1,3,0.9,6.086941666666666,62.5,64,-0.0058117361536950685,-0.12684449007430051
3,1,3,0.9,6.086941666666666,67.5,64,-0.004867116052049647,-0.10622761209869479
3,1,3,0.9,6.086941666666666,72.5,64,-0.004066088773863469,-0.08874473022826951
3,1,3,0.9,6.086941666666666,77.5,64,-0.0038338206204781844,-0.08367534395581733
