metric,metric_label,unit,block,speed_um_per_s,early_order,late_order,early_elapsed_midpoint_min,late_elapsed_midpoint_min,pair_time_gap_min,pair_centre_elapsed_min,pair_centre_offset_from_block_median_min,early_value,late_value,later_minus_earlier,palindrome_pair_mean
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,2,0.9,10,15,22.926225,38.64136666666666,15.715141666666664,30.78379583333333,0.03485833333332877,0.040383303684182026,0.03927562059286349,-0.0011076830913185343,0.03982946213852276
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,2,2.7,11,14,24.039575,37.299324999999996,13.259749999999997,30.669449999999998,-0.0794875000000026,0.055859916601293025,0.054878346012088575,-0.0009815705892044502,0.0553691313066908
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,3,0.1,19,22,48.06350833333333,59.69199166666667,11.628483333333335,53.87775,0.22477776666666927,0.0107631126108223,0.00939052012331723,-0.00137259248750507,0.010076816367069766
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,3,0.3,20,21,52.387655566666666,54.9182889,2.530633333333334,53.65297223333333,0.0,0.01911141706858277,0.019740926949826987,0.0006295098812442168,0.01942617200920488
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,3,0.9,17,24,42.610533333333336,64.25286666666666,21.642333333333326,53.4317,-0.22127223333333035,0.03839336008799232,0.03674839246209189,-0.0016449676259004328,0.0375708762750421
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,3,2.7,18,23,44.09054166666667,63.11739166666667,19.026850000000003,53.603966666666665,-0.04900556666666489,0.05442786237634778,0.05482411265809109,0.00039625028174331,0.054625987517219435
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,4,0.1,26,31,69.52426666666666,83.832825,14.308558333333337,76.67854583333333,0.3084374999999966,0.010142375567647216,0.010780786215491528,0.0006384106478443119,0.010461580891569372
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,4,0.3,27,30,73.78829723333334,79.42069723333334,5.632400000000004,76.60449723333335,0.23438890000001322,0.018310165915467205,0.01854471731502612,0.00023455139955891324,0.018427441615246662
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,4,0.9,28,29,75.67360833333333,77.06660833333333,1.3930000000000007,76.37010833333333,0.0,0.037962295168947086,0.03473042000285563,-0.003231875166091455,0.03634635758590136
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,4,2.7,25,32,65.53098333333334,87.16833333333334,21.637349999999998,76.34965833333334,-0.02044999999999675,0.052301032470885744,0.05053976807657419,-0.0017612643943115541,0.05142040027372997
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,1,0.1,1,8,0.0,16.8032,16.8032,8.4016,0.2887541666666671,0.05500736888828389,0.051640901783314236,-0.003366467104969656,0.053324135335799064
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,1,0.3,2,7,4.264597233333333,12.374530566666666,8.109933333333332,8.319563899999999,0.20671806666666548,0.08056552040389321,0.07796277689556291,-0.002602743508330299,0.07926414864972806
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,1,0.9,3,6,6.086941666666666,10.3387,4.251758333333333,8.212820833333332,0.09997499999999881,0.11363184607493018,0.11498802199463627,0.0013561759197060902,0.11430993403478323
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,1,2.7,4,5,7.334133333333333,8.891558333333334,1.5574250000000012,8.112845833333333,0.0,0.13208770033881617,0.1287726201780283,-0.003315080160787881,0.13043016025842225
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,2,0.1,12,13,27.711108333333335,33.786766666666665,6.07565833333333,30.7489375,0.0,0.05202500858830095,0.05233627817171593,0.0003112695834149859,0.05218064338000844
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,2,0.3,9,16,20.990547233333334,40.7520889,19.761541666666663,30.871318066666667,0.12238056666666708,0.07926255301940865,0.07888847469883364,-0.0003740783205750109,0.07907551385912115
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,2,0.9,10,15,22.926225,38.64136666666666,15.715141666666664,30.78379583333333,0.03485833333332877,0.11089271406617687,0.11127467945879616,0.0003819653926192823,0.11108369676248651
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,2,2.7,11,14,24.039575,37.299324999999996,13.259749999999997,30.669449999999998,-0.0794875000000026,0.13074561463438256,0.12803558497591427,-0.0027100296584682826,0.12939059980514842
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,3,0.1,19,22,48.06350833333333,59.69199166666667,11.628483333333335,53.87775,0.22477776666666927,0.05414034161229908,0.050041938369599505,-0.004098403242699576,0.05209113999094929
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,3,0.3,20,21,52.387655566666666,54.9182889,2.530633333333334,53.65297223333333,0.0,0.07791411677583093,0.0772949969161516,-0.000619119859679329,0.07760455684599127
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,3,0.9,17,24,42.610533333333336,64.25286666666666,21.642333333333326,53.4317,-0.22127223333333035,0.11080004096965601,0.1055696009368039,-0.005230440032852113,0.10818482095322995
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,3,2.7,18,23,44.09054166666667,63.11739166666667,19.026850000000003,53.603966666666665,-0.04900556666666489,0.12810685785403586,0.1239936677417805,-0.0041131901122553605,0.12605026279790818
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,4,0.1,26,31,69.52426666666666,83.832825,14.308558333333337,76.67854583333333,0.3084374999999966,0.05159659957680275,0.048861661399023704,-0.0027349381777790477,0.05022913048791323
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,4,0.3,27,30,73.78829723333334,79.42069723333334,5.632400000000004,76.60449723333335,0.23438890000001322,0.07305526740983605,0.07408744485728844,0.0010321774474523898,0.07357135613356225
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,4,0.9,28,29,75.67360833333333,77.06660833333333,1.3930000000000007,76.37010833333333,0.0,0.10732925092867479,0.10182842143071413,-0.0055008294979606576,0.10457883617969446
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,4,2.7,25,32,65.53098333333334,87.16833333333334,21.637349999999998,76.34965833333334,-0.02044999999999675,0.12493318877904183,0.12448632051483047,-0.00044686826421136416,0.12470975464693615
corrected_terminal_V,Corrected terminal last 25 nm,V,1,0.1,1,8,0.0,16.8032,16.8032,8.4016,0.2887541666666671,1.324107860688115,1.3392309542339063,0.015123093545791333,1.3316694074610105
corrected_terminal_V,Corrected terminal last 25 nm,V,1,0.3,2,7,4.264597233333333,12.374530566666666,8.109933333333332,8.319563899999999,0.20671806666666548,1.2690924656750355,1.2874313014867318,0.018338835811696264,1.2782618835808837
corrected_terminal_V,Corrected terminal last 25 nm,V,1,0.9,3,6,6.086941666666666,10.3387,4.251758333333333,8.212820833333332,0.09997499999999881,1.0964653040219856,1.1066698834473252,0.010204579425339588,1.1015675937346554
corrected_terminal_V,Corrected terminal last 25 nm,V,1,2.7,4,5,7.334133333333333,8.891558333333334,1.5574250000000012,8.112845833333333,0.0,0.5746594667582039,0.5838319924930399,0.009172525734835957,0.5792457296256219
corrected_terminal_V,Corrected terminal last 25 nm,V,2,0.1,12,13,27.711108333333335,33.786766666666665,6.07565833333333,30.7489375,0.0,1.346943384366003,1.3515973756569164,0.004653991290913373,1.3492703800114598
corrected_terminal_V,Corrected terminal last 25 nm,V,2,0.3,9,16,20.990547233333334,40.7520889,19.761541666666663,30.871318066666667,0.12238056666666708,1.286711942670342,1.2986070976334265,0.011895154963084575,1.2926595201518842
corrected_terminal_V,Corrected terminal last 25 nm,V,2,0.9,10,15,22.926225,38.64136666666666,15.715141666666664,30.78379583333333,0.03485833333332877,1.1251931574375993,1.1364298420029604,0.011236684565361088,1.1308114997202798
corrected_terminal_V,Corrected terminal last 25 nm,V,2,2.7,11,14,24.039575,37.299324999999996,13.259749999999997,30.669449999999998,-0.0794875000000026,0.6218328928772845,0.6415652347102563,0.01973234183297179,0.6316990637937704
corrected_terminal_V,Corrected terminal last 25 nm,V,3,0.1,19,22,48.06350833333333,59.69199166666667,11.628483333333335,53.87775,0.22477776666666927,1.3506138694534164,1.347259227394403,-0.0033546420590133685,1.3489365484239098
corrected_terminal_V,Corrected terminal last 25 nm,V,3,0.3,20,21,52.387655566666666,54.9182889,2.530633333333334,53.65297223333333,0.0,1.309204017177148,1.3030853554479833,-0.006118661729164643,1.3061446863125656
corrected_terminal_V,Corrected terminal last 25 nm,V,3,0.9,17,24,42.610533333333336,64.25286666666666,21.642333333333326,53.4317,-0.22127223333333035,1.13870584769984,1.148673499314104,0.00996765161426394,1.143689673506972
corrected_terminal_V,Corrected terminal last 25 nm,V,3,2.7,18,23,44.09054166666667,63.11739166666667,19.026850000000003,53.603966666666665,-0.04900556666666489,0.6647507402574753,0.66129286543602,-0.00345787482145532,0.6630218028467476
corrected_terminal_V,Corrected terminal last 25 nm,V,4,0.1,26,31,69.52426666666666,83.832825,14.308558333333337,76.67854583333333,0.3084374999999966,1.3567622550986633,1.3680297106473234,0.011267455548660044,1.3623959828729935
corrected_terminal_V,Corrected terminal last 25 nm,V,4,0.3,27,30,73.78829723333334,79.42069723333334,5.632400000000004,76.60449723333335,0.23438890000001322,1.30574037722863,1.3117224961088176,0.005982118880187626,1.3087314366687237
corrected_terminal_V,Corrected terminal last 25 nm,V,4,0.9,28,29,75.67360833333333,77.06660833333333,1.3930000000000007,76.37010833333333,0.0,1.1528545068436151,1.154653747934789,0.0017992410911737977,1.153754127389202
corrected_terminal_V,Corrected terminal last 25 nm,V,4,2.7,25,32,65.53098333333334,87.16833333333334,21.637349999999998,76.34965833333334,-0.02044999999999675,0.6590745179623987,0.6806473898199388,0.021572871857540088,0.6698609538911687
baseline_window_drift_V,Within-baseline-window drift magnitude,V,1,0.1,1,8,0.0,16.8032,16.8032,8.4016,0.2887541666666671,0.0016740804051414426,0.0010418916726466776,-0.000632188732494765,0.0013579860388940601
baseline_window_drift_V,Within-baseline-window drift magnitude,V,1,0.3,2,7,4.264597233333333,12.374530566666666,8.109933333333332,8.319563899999999,0.20671806666666548,0.002332346395320317,0.0022660731588657335,-6.627323645458372e-05,0.0022992097770930253
