scanner_travel_bin_center_nm,finite_map_count,global_rho_speed,global_rho_elapsed_time,same_speed_0.1_rho_time,same_speed_0.3_rho_time,same_speed_0.9_rho_time,same_speed_2.7_rho_time,same_speed_rho_time_median,same_speed_rho_time_min,same_speed_rho_time_max,block_1_pair_mean_rho_speed,block_1_pair_mean_2p7_minus_0p1_V,block_2_pair_mean_rho_speed,block_2_pair_mean_2p7_minus_0p1_V,block_3_pair_mean_rho_speed,block_3_pair_mean_2p7_minus_0p1_V,block_4_pair_mean_rho_speed,block_4_pair_mean_2p7_minus_0p1_V,block_pair_mean_rho_speed_median,block_pair_mean_rho_speed_min,block_pair_mean_rho_speed_max,block_pair_mean_2p7_minus_0p1_V_median,block_pair_mean_2p7_minus_0p1_V_min,block_pair_mean_2p7_minus_0p1_V_max
197.5,32,-0.1937437918785931,-0.0018328445747800585,-0.4047619047619048,0.5476190476190477,-0.6904761904761906,0.5000000000000001,0.047619047619047644,-0.6904761904761906,0.5476190476190477,-0.19999999999999998,-0.006878327071261972,-0.19999999999999998,-0.004253838493709278,-0.19999999999999998,-0.004917170175611767,-0.19999999999999998,-0.004625578642273802,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.004771374408942784,-0.006878327071261972,-0.004253838493709278
202.5,32,-0.1937437918785931,-0.029692082111436948,-0.19047619047619052,-0.523809523809524,-0.4285714285714286,0.6428571428571429,-0.30952380952380953,-0.523809523809524,0.6428571428571429,-0.19999999999999998,-0.005220378871043471,-0.19999999999999998,-0.003101258745368138,-0.19999999999999998,-0.003676830064447212,-0.19999999999999998,-0.0034434620038004023,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.0035601460341238072,-0.005220378871043471,-0.003101258745368138
207.5,32,-0.1937437918785931,-0.04765395894428152,0.2380952380952381,-0.6190476190476191,-0.9047619047619048,0.6190476190476191,-0.19047619047619047,-0.9047619047619048,0.6190476190476191,-0.19999999999999998,-0.0035379323571300414,-0.19999999999999998,-0.0026399498529515453,-0.19999999999999998,-0.002914499776374314,-0.19999999999999998,-0.002584478234205094,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.0027772248146629296,-0.0035379323571300414,-0.002584478234205094
212.5,32,-0.1937437918785931,-0.052419354838709666,-0.2142857142857143,-0.4523809523809524,-0.7619047619047621,0.5476190476190477,-0.33333333333333337,-0.7619047619047621,0.5476190476190477,-0.19999999999999998,-0.002313171716202503,-0.19999999999999998,-0.0015377224963235986,-0.19999999999999998,-0.0018043686613719888,-0.19999999999999998,-0.0014017567162643262,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.0016710455788477938,-0.002313171716202503,-0.0014017567162643262
217.5,32,-0.03935420772533922,-0.06085043988269794,0.14285714285714288,-0.28571428571428575,-0.6428571428571429,-0.38095238095238104,-0.33333333333333337,-0.6428571428571429,0.14285714285714288,-0.19999999999999998,-0.00040068884555950757,0.39999999999999997,1.857397123274096e-05,-0.19999999999999998,-0.000712546622111801,-0.19999999999999998,-0.0007287977171368427,-0.19999999999999998,-0.19999999999999998,0.39999999999999997,-0.0005566177338356543,-0.0007287977171368427,1.857397123274096e-05
222.5,32,0.16952581789376897,-0.05718475073313783,0.1666666666666667,-0.5476190476190477,-0.28571428571428575,-0.1666666666666667,-0.22619047619047622,-0.5476190476190477,0.1666666666666667,0.39999999999999997,0.00026068566887099687,0.39999999999999997,0.0009061004037898418,0.39999999999999997,0.00027188150112844936,-0.19999999999999998,-0.00013262781876846597,0.39999999999999997,-0.19999999999999998,0.39999999999999997,0.0002662835849997231,-0.00013262781876846597,0.0009061004037898418
227.5,32,0.39959657074959826,-0.13819648093841638,0.3571428571428572,-0.7857142857142858,-0.8095238095238096,-0.7142857142857144,-0.7500000000000001,-0.8095238095238096,0.3571428571428572,0.39999999999999997,0.002347513574150188,0.39999999999999997,0.002954729127805117,0.39999999999999997,0.0008096144808326187,0.39999999999999997,0.0012199299483531198,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.001783721761251654,0.0008096144808326187,0.002954729127805117
232.5,32,0.6054493496206034,-0.1414956011730205,0.261904761904762,0.023809523809523815,-0.523809523809524,-0.8095238095238096,-0.25000000000000006,-0.8095238095238096,0.261904761904762,0.7999999999999999,0.0038310235743890947,0.7999999999999999,0.004251033799718765,0.39999999999999997,0.0027649881725629304,0.39999999999999997,0.0025950246901148832,0.6,0.39999999999999997,0.7999999999999999,0.0032980058734760126,0.0025950246901148832,0.004251033799718765
237.5,32,0.7628661805219604,-0.11510263929618768,0.261904761904762,-0.2380952380952381,-0.7142857142857144,-0.7857142857142858,-0.4761904761904763,-0.7857142857142858,0.261904761904762,0.7999999999999999,0.005680088656822152,0.7999999999999999,0.006038953911159245,0.7999999999999999,0.004356519216729506,0.7999999999999999,0.004118280138210639,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.005018303936775829,0.004118280138210639,0.006038953911159245
242.5,32,0.7780024142624755,-0.11473607038123164,0.09523809523809526,-0.1666666666666667,-0.7619047619047621,-0.7857142857142858,-0.4642857142857144,-0.7857142857142858,0.09523809523809526,0.7999999999999999,0.007820410850726753,0.7999999999999999,0.007639582481568791,0.7999999999999999,0.005436929196704239,0.7999999999999999,0.006214024105892647,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.006926803293730719,0.005436929196704239,0.007820410850726753
