scanner_travel_bin_center_nm,block,speed_um_per_s,early_order,late_order,early_position_in_block,late_position_in_block,early_map_median_corrected_V,late_map_median_corrected_V,later_minus_earlier_V,palindrome_pair_mean_corrected_V
37.5,2,0.9,10,15,2,7,-0.013607738379751377,-0.01045598540886361,0.0031517529708877667,-0.012031861894307494
37.5,2,2.7,11,14,3,6,-0.27082799298902127,-0.24845725313180045,0.022370739857220823,-0.25964262306041086
37.5,3,0.1,19,22,3,6,0.0003001912507318849,-0.0005361443020223296,-0.0008363355527542145,-0.00011797652564522233
37.5,3,0.3,20,21,4,5,-0.000409930291400018,-0.0010507076170687135,-0.0006407773256686955,-0.0007303189542343658
37.5,3,0.9,17,24,1,8,-0.009875620941453223,-0.010649585773213448,-0.0007739648317602252,-0.010262603357333335
37.5,3,2.7,18,23,2,7,-0.24381020474475157,-0.23920714152394137,0.004603063220810194,-0.24150867313434649
37.5,4,0.1,26,31,2,7,-0.00039208843290189366,-0.0006251464059135459,-0.0002330579730116522,-0.0005086174194077198
37.5,4,0.3,27,30,3,6,-0.001551254414800446,-0.0012915831357490637,0.0002596712790513822,-0.0014214187752747548
37.5,4,0.9,28,29,4,5,-0.009110021523200923,-0.009606799991377007,-0.0004967784681760845,-0.009358410757288965
37.5,4,2.7,25,32,1,8,-0.23820321264288205,-0.22849446473648322,0.009708747906398835,-0.23334883868968265
