distance_nm,block,block_midpoint_elapsed_min,speed_um_per_s,early_map_order,late_map_order,early_position_in_block,late_position_in_block,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN,pair_centre_elapsed_min,pair_centre_offset_from_block_midpoint_min,pair_time_gap_min
100.0,3,53.65297223333333,2.7,18,23,2,7,751.5659730882248,732.8212668196398,742.1936199539323,9.372353134292496,53.603966666666665,-0.04900556666666489,19.026850000000003
100.0,4,76.37010833333333,0.1,26,31,2,7,67.56458254682616,71.82136778608756,69.69297516645686,2.128392619630702,76.67854583333333,0.3084374999999966,14.308558333333337
100.0,4,76.37010833333333,0.3,27,30,3,6,156.48504446974266,153.47631471889017,154.98067959431643,1.5043648754262477,76.60449723333335,0.23438890000001322,5.632400000000004
100.0,4,76.37010833333333,0.9,28,29,4,5,355.2990362313777,361.2376007199308,358.26831847565427,2.969282244276542,76.37010833333333,0.0,1.3930000000000007
100.0,4,76.37010833333333,2.7,25,32,1,8,712.634697027398,699.4839321544259,706.059314590912,6.575382436486052,76.34965833333334,-0.02044999999999675,21.637349999999998
200.0,1,8.112845833333333,0.1,1,8,1,8,24.26573356237126,14.151432638492084,19.20858310043167,5.057150461939588,8.4016,0.2887541666666671,16.8032
200.0,1,8.112845833333333,0.3,2,7,2,7,56.1702174899747,47.552751457590446,51.861484473782575,4.308733016192129,8.319563899999999,0.20671806666666548,8.109933333333332
200.0,1,8.112845833333333,0.9,3,6,3,6,116.31237310431436,110.24178124074808,113.27707717253122,3.035295931783139,8.212820833333332,0.09997499999999881,4.251758333333333
200.0,1,8.112845833333333,2.7,4,5,4,5,156.22388905346293,154.94445449010465,155.5841717717838,0.6397172816791397,8.112845833333333,0.0,1.5574250000000012
200.0,2,30.7489375,0.1,12,13,4,5,4.1922709214923195,5.468193149112482,4.830232035302401,0.6379611138100811,30.7489375,0.0,6.07565833333333
200.0,2,30.7489375,0.3,9,16,1,8,49.10903097470357,45.026040084032466,47.067535529368016,2.0414954453355527,30.871318066666667,0.12238056666666708,19.761541666666663
