source,map_order,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,30,3,1,100.0,16.28316858221447,27.146049175350353
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,31,3,0,100.0,-1.3430685091028733,23.91767379106625
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,32,4,0,100.0,44.081632801368215,22.70068406306144
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,33,4,1,100.0,23.832667659185898,13.26602766474232
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,34,4,2,100.0,-60.50627976137803,10.869654149215506
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,35,4,3,100.0,-31.5466783582221,-4.599277475616069
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,36,4,4,100.0,-86.3649857914771,-1.9968399623185706
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,37,4,5,100.0,-82.94960821309107,14.4819530736774
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,38,4,6,100.0,28.107862517930535,-3.235648231264462
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,39,4,7,100.0,-92.93570707006033,-18.286657234507416
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,40,5,7,100.0,-8.539002198684518,-28.12445404510587
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,41,5,6,100.0,-52.966786118569715,20.281191172174072
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,42,5,5,100.0,6.888560937556439,-0.9953748460415532
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,43,5,4,100.0,-49.62961788071116,-6.049944368380487
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,44,5,3,100.0,-45.84856741126708,5.558228957920005
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,45,5,2,100.0,23.463633413195268,28.24803331493029
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,46,5,1,100.0,13.177486134441478,12.052703924646186
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,47,5,0,100.0,18.14474156033077,10.818685091517759
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,48,6,0,100.0,56.57403988774699,2.3867946438948326
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,49,6,1,100.0,-1.082559355804353,2.9208463018165274
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,50,6,2,100.0,-24.172992786078563,21.18089555956746
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,51,6,3,100.0,-42.9772267649917,12.228316571239256
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,52,6,4,100.0,34.2785583022643,62.10284036315243
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,53,6,5,100.0,32.77343459690024,28.56768380903121
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,54,6,6,100.0,68.19535569897127,20.501505219717856
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,55,6,7,100.0,4.9775409287948325,13.221267134954612
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,56,7,7,100.0,-152.61468227477502,11.242579725667266
