source,timestamp,map_order,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,valid_pixels
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,380.0,-6.550021910860421,-44.03211782641547,21.127813454224253,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,385.0,-6.488957879700739,-40.9460738330673,20.90728596710493,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,390.0,-3.60991026947201,-42.65663282327397,22.850075462939223,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,395.0,-4.127146903281446,-41.87852356535761,18.487795509941584,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,400.0,-3.331205830359793,-41.4191076147504,23.345889293744875,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,405.0,-7.74180929392705,-39.70992544586005,21.284606449797497,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,410.0,-3.1058021346082176,-43.65434065232584,25.91733191555286,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,415.0,-6.2912481292702624,-43.15956401755866,22.46537805306173,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,420.0,-1.4295439052339036,-41.462949740081484,17.792094593537755,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,425.0,-3.7564927290844903,-40.958997357085025,18.932547884424842,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,430.0,-3.759313658203187,-41.22200116941395,18.858682613856008,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,435.0,-2.0881872895749156,-41.53753655262325,16.37552725450128,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,440.0,-2.0755280969670564,-45.189174778781975,20.793481452843448,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,445.0,-0.5720239273529713,-42.591439740812305,19.855472450088982,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,450.0,-2.760080628470803,-44.365174122608195,20.648305191385298,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,455.0,-1.2645294594702585,-43.63331485322879,19.46167331240003,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,460.0,0.38001086951404695,-45.620117816556316,19.50162338507777,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,465.0,-0.5300529349580952,-39.52745690764811,21.94687853817517,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,470.0,-1.563621697992509,-44.16986418405792,23.409951890481874,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,475.0,-1.4277875077268143,-44.85446147467744,17.444969714039377,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,480.0,-3.427784744731899,-39.463302131442035,19.338867894488892,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,485.0,-2.2571803007104636,-50.079668959135475,20.953340269068157,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,490.0,-0.8610025010491272,-39.770496592760416,16.47936892909401,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,495.0,-0.899946360030561,-40.68042886394436,22.927021958366055,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,500.0,-1.366096033036719,-41.761328303043484,19.010754591635184,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,5.0,278.47810910768317,99.95645676264306,455.38703719930265,62
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,10.0,281.7682741268801,213.29795275717686,351.5702951688269,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,15.0,204.67257797190734,157.19509289494005,260.352681430111,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,20.0,161.2542432246089,127.91149190685681,198.1261287572504,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,25.0,129.3903632549826,99.94766134810422,155.49496143787445,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,30.0,105.85714516362916,83.31885845203847,129.23745608188855,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,35.0,84.11015011635794,70.66060132304236,108.64687326887334,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,40.0,71.48590685098205,58.60069846246183,93.04101403921135,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,45.0,63.612281320129675,48.19072667613392,77.42025434256485,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,50.0,52.22681675928022,40.32495049842541,66.61420804000707,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,55.0,43.94141800591234,33.240192349565476,58.856548941185224,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,60.0,40.359422610533805,26.129136650345064,53.00941648452637,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,65.0,34.72544961211332,22.045255684502063,46.10393697016872,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,70.0,28.143257015346688,19.25152160053532,42.07293196702426,64
