source,timestamp,point_index,row,column,contact_invOLS_40nm_nm_per_V,contact_invOLS_30nm_nm_per_V,contact_invOLS_50nm_nm_per_V,contact_fit_R2,contact_points,valid_before_map_outlier_filter,retained_for_global_consensus
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,29,3,2,71.69335666335553,70.42417137977907,73.10228672973898,0.9996430441923051,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,30,3,1,72.82250814772723,71.96440886482283,73.19853877070028,0.9997078939701759,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,31,3,0,72.54132569995936,71.69589487616626,73.16449676812287,0.9997845597763219,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,32,4,0,73.46015075502808,71.02537286924378,76.83008174198244,0.9986809901054906,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,33,4,1,71.61578218399958,70.55574664341232,73.54859231478882,0.999668694979328,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,34,4,2,71.52619094281229,70.37720540462081,72.52223912227012,0.9997266226934751,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,35,4,3,70.41941326246814,69.49206022513636,72.51241736322935,0.9997397489829504,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,36,4,4,71.53133549752266,71.04501312576915,72.58922927175796,0.9998767632594973,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,37,4,5,73.58514252251257,72.43976102455451,75.26402543104464,0.9997033226311094,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,38,4,6,65.56466602450783,64.28900520125875,71.34272338925093,0.9992212039751697,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,39,4,7,63.76210761333931,62.58949869556324,69.16777688924861,0.9995254878080885,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,40,5,7,74.22693710389096,73.73058784172262,77.06353776838321,0.9993705344925984,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,41,5,6,68.78204429725257,67.81655550036213,71.9922759784897,0.9997602374464319,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,42,5,5,68.073637040001,66.29763164534698,68.40988333279041,0.9995743100386711,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,43,5,4,73.70983859637181,72.30389056637054,75.9510342966063,0.9995640533095509,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,44,5,3,70.43292142545351,68.20755197474745,72.63691976499857,0.9993241130827469,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,45,5,2,74.04263139845763,73.08271777766981,75.25280990805676,0.9997637836643851,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,46,5,1,78.03402025493912,76.39104725715002,80.17013301101287,0.9993641649062117,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,47,5,0,80.77716196273433,67.7125752305826,84.33254689302673,0.9639507615776997,41,False,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,48,6,0,58.153961335489576,57.86962357725183,58.897209462555494,0.9998859535714066,40,True,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,49,6,1,59.97410509408382,59.78187419575227,60.2380440113167,0.999895562863293,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,50,6,2,73.83270194445637,72.25181379814319,75.19257575850563,0.9992553035569759,41,True,True
