analysis,dataset_subset,baseline_method,fit_variant,parameter,time_model,n,speed_beta_log_per_um_per_s,speed_HC3_SE_log_per_um_per_s,speed_HC3_95CI_low_log_per_um_per_s,speed_HC3_95CI_high_log_per_um_per_s,speed_two_sided_p,high_0p2_vs_low_0p05_percent,high_vs_low_percent_CI_low,high_vs_low_percent_CI_high,model_R2,design_rank,parameter_count,residual_df,design_condition,claim_status
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,lambda_D_nm,global_time_poly1,17,0.21951182850666684,0.2041661591464939,-0.21838103175386203,0.6574046887671957,0.3004828352480453,3.3474859525663767,-3.222644974820796,10.36365738593533,0.9879441951185232,3,3,14,1.072912957239902,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,lambda_D_nm,global_time_poly2,17,0.2156737024358938,0.1027653539584775,-0.0063373472261226416,0.43768475209791025,0.05594438519272738,3.288003974631589,-0.09501504048910997,6.785580012720727,0.9973640329730852,4,4,13,1.1210159228713037,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,lambda_D_nm,global_time_poly3,17,0.2031539221656425,0.14382484752655897,-0.11021350084960907,0.5165213451808941,0.18320630829213835,3.094214529533725,-1.6396121153301266,8.055867794295603,0.9975859999059089,5,5,12,1.3889260164496964,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,lambda_D_nm,block_fixed_linear_within,17,0.22078861970075891,0.2128430404823213,-0.24295652760669295,0.6845337670082108,0.32003335640173713,3.367280822048868,-3.578740951991863,10.813682065947233,0.9901025222703694,5,5,12,1.090850324679209,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,lambda_D_nm,block_fixed_quadratic_within,17,0.2126840162296615,0.23691085827013797,-0.30875326708542694,0.7341212995447499,0.38855186888736015,3.2416945510932207,-4.525690967861904,11.641001666671423,0.990947885301689,6,6,11,1.2766246467757953,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,zeta_magnitude_mV,global_time_poly1,17,-0.22167217090355462,0.32890985115468657,-0.9271136411848644,0.48376929937775515,0.5113115892645137,-3.2704093452005987,-12.983031504893333,7.526312052243207,0.8923646097743967,3,3,14,1.072912957239902,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,zeta_magnitude_mV,global_time_poly2,17,-0.2284784361928624,0.11687161538160289,-0.48096421089324404,0.024007338507519238,0.07243632312677427,-3.3691140391506074,-6.960367866063299,0.3607592529675024,0.988191026027724,4,4,13,1.1210159228713037,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,zeta_magnitude_mV,global_time_poly3,17,-0.19999782648552808,0.12150110000572431,-0.4647259819962182,0.06473032902516199,0.12567130833887816,-2.955415005982854,-6.7334718225360355,0.9756839961006449,0.9919068572343337,5,5,12,1.3889260164496964,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,zeta_magnitude_mV,block_fixed_linear_within,17,-0.21992079949288712,0.22998261136721315,-0.7210098637392669,0.28116826475349266,0.3578147260454817,-3.2449945911004754,-10.250836550572801,4.307725129397001,0.9523644258284925,5,5,12,1.090850324679209,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,previous_primary_10_250nm,zeta_magnitude_mV,block_fixed_quadratic_within,17,-0.2348909402362147,0.20894097420585808,-0.6947669237965826,0.22498504332415314,0.28486341912521734,-3.4620162438460667,-9.896847994198833,3.432367239532442,0.9616946917513368,6,6,11,1.2766246467757953,sequential_time_model_sensitivity_not_randomized_causal_effect
