concentration_wt_percent,slow_speed_um_per_s,fast_speed_um_per_s,comparison,slow_map_timestamp,fast_map_timestamp,distance_nm,paired_pixel_count,spatial_block_size_pixels,spatial_block_count,slow_force_q25_pN,slow_force_median_pN,slow_force_q75_pN,fast_force_q25_pN,fast_force_median_pN,fast_force_q75_pN,median_difference_fast_minus_slow_pN,difference_mad_pN,robust_effect_median_over_mad,difference_pointwise_ci95_low_pN,difference_pointwise_ci95_high_pN,difference_simultaneous_ci95_low_pN,difference_simultaneous_ci95_high_pN,paired_dominance_fast_gt_slow,dominance_pointwise_ci95_low,dominance_pointwise_ci95_high,dominance_simultaneous_ci95_low,dominance_simultaneous_ci95_high,bootstrap_median_positive_fraction,bootstrap_median_negative_fraction,simultaneous_force_difference_excludes_zero,inference_scope
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,25.0,255,4,16,1838.645870018551,1902.4839356571,1957.6647163069574,1861.892483452561,1931.3414511056449,1977.2680785027533,21.955377712517475,112.54187933668831,0.19508629002750347,3.922759752510501,42.53128213599666,-13.960066639303164,57.870822064338114,0.596078431372549,0.546875,0.64453125,0.5140475780295084,0.6781092847155896,1.0,0.0,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,135.0,255,4,16,-23.23470737069688,-5.934474012149506,16.514269624978432,-20.700802449109812,4.886265329081732,26.10791421831082,3.7745838219629952,41.611508732660795,0.09071009287871198,-1.4425240107994823,8.045768961873744,-7.133075188749961,14.682242832675952,0.5254901960784314,0.46484375,0.5866141732283464,0.4245530315214758,0.6264273606353871,0.7821,0.2179,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,140.0,255,4,16,-26.035741372187616,-9.33896053507574,12.774009601141715,-22.87431646458726,1.4770346206638307,22.496216783752267,6.112529777220133,41.24852991259257,0.14818782124291094,-0.8491837726309965,9.39490606030316,-6.699539827579906,18.924599382020173,0.5372549019607843,0.49019607843137253,0.5859375,0.45758761199021225,0.6169221919313563,0.9397,0.0603,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,145.0,255,4,16,-27.322750154142113,-9.878672875057449,10.801460416614702,-24.951489421384924,-1.1956709118593571,18.243685926428064,2.0695871794230065,36.17636683352337,0.057208264968863394,-4.63064375994097,8.213065967052577,-10.867562281182897,15.00673664002891,0.5176470588235295,0.47058823529411764,0.5686274509803921,0.43607120539503996,0.599222912252019,0.7408,0.2592,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,150.0,255,4,16,-28.71420932645499,-12.04570369534152,9.098058904151927,-27.794624256518702,-3.5207331702454563,14.924753673264641,1.616197334785472,38.67572952078,0.04178841239224999,-3.3722566977543345,6.900559500473424,-9.132671108760732,12.365065778331676,0.5137254901960784,0.4745098039215686,0.5568627450980392,0.4445323126827816,0.5829186677093752,0.7192,0.2808,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,155.0,255,4,16,-30.644305240784597,-11.671335806143052,8.541737974423175,-28.275945653986327,-5.590745018537524,14.437819265182867,1.7795162915876137,36.8533425056038,0.048286428600527245,-3.859745045845622,6.7589384125798375,-9.645117400334113,13.20414998350934,0.5137254901960784,0.45849802371541504,0.5731225296442688,0.41847523499998374,0.608975745392173,0.6741,0.3259,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,160.0,255,4,16,-31.431840682049483,-13.01657776203699,9.419268416859051,-30.75567016070233,-5.58288663056365,14.831439030756083,0.989264667805883,36.73816207257601,0.026927440350761063,-4.426535802111193,5.793365993053184,-9.323547463367206,11.302076798978973,0.5176470588235295,0.45703125,0.5810276679841897,0.4139280097942887,0.6213661078527702,0.7006,0.2994,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,165.0,255,4,16,-32.52221317560678,-13.007283266971237,9.269439240540844,-31.629725276167704,-5.814907203728175,11.564845756446768,-0.2835045825838094,38.006360407009325,-0.007459398362478404,-3.8712441749963062,4.604231472035192,-8.371833512431616,7.804824347263997,0.49411764705882355,0.45098039215686275,0.5450980392156862,0.4166773695081936,0.5715579246094535,0.3834,0.6166,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,170.0,255,4,16,-30.656281531837664,-13.370935454485636,6.548191266022085,-33.718942412676114,-8.81155783421785,9.420788225270222,0.0975208574963311,35.45290382958121,0.002750715652661478,-5.509098631564605,4.12115760312501,-10.859535154877573,11.054576869870235,0.5019607843137255,0.4453125,0.5625,0.4039313814722851,0.5999901871551658,0.5008,0.4992,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,175.0,255,4,16,-30.760208545330165,-13.876741612568896,8.195423999273416,-33.96127700285312,-9.653147801265115,12.283268379752263,-0.6286503360531457,36.28392787631684,-0.017325862243913148,-6.026921054506445,3.979476465715006,-10.464399362835955,9.207098690729662,0.4980392156862745,0.44313725490196076,0.5551181102362205,0.4043250953284679,0.5917533360440811,0.4484,0.5516,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,180.0,255,4,16,-31.961181917367426,-12.56296594753773,7.206811146798579,-31.831535029175043,-7.51173678726863,11.181186922023038,-0.9670232703156953,39.21898248496987,-0.024657020887431068,-3.1885533122119547,6.024443674743287,-10.255600526785834,8.321553986154445,0.48627450980392156,0.4375,0.5375872344367584,0.40259934838094497,0.5699496712268982,0.3014,0.6986,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
