concentration_wt_percent,load_regime,variant,velocity_model,scale_mode,contact_shift_nm,excluded_speed_label_um_per_s,source,map_intercept_pN_at_window_center,map_linear_slope_pN_per_nm,fitted_map_force_scale,contact_response_constraint_center,contact_response_constraint_sigma
0,main,M2_dmax150,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,128.27617140663716,-1.4060083576298081,0.9766383307597113,1.0017534610498218,0.02
0,main,M2_dmax150,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,66.5439040086335,-0.5821407126328294,0.9754743265573551,0.9993799353526734,0.02
0,main,M2_dmax150,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,162.12408458574075,-0.8798367266255531,1.0135127781182702,0.9924312817944358,0.02
0,main,M2_dmax350,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,23.73908506989051,-0.09291370520736918,0.9982741782785113,1.0017534610498218,0.02
0,main,M2_dmax350,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,16.343119495721435,0.006802573942606047,0.9817872446950802,0.9993799353526734,0.02
0,main,M2_dmax350,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,24.75082613517361,0.034682340991728726,0.9266990401218301,0.9924312817944358,0.02
0,main,M2_fixed_unity_scale,M2_fitted_chi,fixed_unity,0.0,nan,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,59.39693716948874,-0.4641711282236633,1.0,1.0017534610498218,0.02
0,main,M2_fixed_unity_scale,M2_fitted_chi,fixed_unity,0.0,nan,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,29.056740079193453,-0.10140852125571047,1.0,0.9993799353526734,0.02
0,main,M2_fixed_unity_scale,M2_fitted_chi,fixed_unity,0.0,nan,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,78.85580185349156,-0.25085702146358574,1.0,0.9924312817944358,0.02
0,main,M2_contact_minus2p5nm,M2_fitted_chi,contact_constrained,-2.5,nan,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,50.66830332059307,-0.3487930400427088,1.0110406667822005,1.0017534610498218,0.02
0,main,M2_contact_minus2p5nm,M2_fitted_chi,contact_constrained,-2.5,nan,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,26.535729499455826,-0.09031996100443257,0.9742732347955042,0.9993799353526734,0.02
