block,speed_low_um_per_s,speed_high_um_per_s,delta_speed_um_per_s,distance_nm,reference_distance_nm,speed_contrast_pN,reference_speed_contrast_pN,distance_double_difference_pN,double_difference_per_delta_speed_pN_per_um_s,classical_pair_coefficient_pN_nm_per_um_s
2,0.1,0.3,0.19999999999999998,160.0,200.0,59.65093392335495,42.237303494065614,17.413630429289334,87.06815214644668,69654.52171715733
2,0.1,0.3,0.19999999999999998,165.0,200.0,58.44564774961643,42.237303494065614,16.208344255550813,81.04172127775406,76410.76577616812
2,0.1,0.3,0.19999999999999998,170.0,200.0,50.00029445224766,42.237303494065614,7.762990958182044,38.81495479091022,43990.28209636493
2,0.1,0.3,0.19999999999999998,175.0,200.0,39.707477407678695,42.237303494065614,-2.529826086386919,-12.649130431934596,-17708.782604708438
2,0.1,0.3,0.19999999999999998,180.0,200.0,41.555521021627236,42.237303494065614,-0.6817824724383783,-3.408912362191892,-6136.042251945404
2,0.1,0.3,0.19999999999999998,185.0,200.0,43.98255330097717,42.237303494065614,1.7452498069115592,8.726249034557796,21524.747618575886
2,0.1,0.3,0.19999999999999998,190.0,200.0,41.499655002232394,42.237303494065614,-0.7376484918332196,-3.6882424591660983,-14015.321344831185
2,0.1,0.3,0.19999999999999998,195.0,200.0,36.19724575675659,42.237303494065614,-6.040057737309027,-30.20028868654514,-235562.25175505228
2,0.1,0.3,0.19999999999999998,200.0,200.0,42.237303494065614,42.237303494065614,0.0,0.0,nan
2,0.3,0.9,0.6000000000000001,20.0,200.0,822.8263529295709,64.89559672440812,757.9307562051628,1263.2179270086044,28071.509489080094
2,0.3,0.9,0.6000000000000001,25.0,200.0,726.6972609446495,64.89559672440812,661.8016642202414,1103.002773700402,31514.364962868625
2,0.3,0.9,0.6000000000000001,30.0,200.0,633.6833291105145,64.89559672440812,568.7877323861063,947.9795539768437,33458.10190506507
2,0.3,0.9,0.6000000000000001,35.0,200.0,577.1439767317245,64.89559672440812,512.2483800073163,853.7473000121937,36219.582424759734
2,0.3,0.9,0.6000000000000001,40.0,200.0,540.1175546586595,64.89559672440812,475.2219579342514,792.0365965570855,39601.82982785428
2,0.3,0.9,0.6000000000000001,45.0,200.0,489.7966021778404,64.89559672440812,424.9010054534323,708.168342422387,41119.45214065473
2,0.3,0.9,0.6000000000000001,50.0,200.0,446.94464821328893,64.89559672440812,382.0490514888808,636.7484191481346,42449.89460987564
