block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN
1,2.7,145.0,4,5,448.6059415987082,455.747812430243,452.1768770144756,3.5709354157673943
1,2.7,150.0,4,5,419.884760448752,423.5296205912492,421.7071905200006,1.8224300712486183
1,2.7,155.0,4,5,381.0553918272161,390.95100014848856,386.00319598785234,4.947804160636224
1,2.7,160.0,4,5,348.58794012411465,368.47632586622626,358.53213299517046,9.944192871055805
1,2.7,165.0,4,5,330.56304730291515,340.24771666839973,335.4053819856574,4.84233468274229
1,2.7,170.0,4,5,310.1346399409563,294.9347253815555,302.5346826612559,7.599957279700391
1,2.7,175.0,4,5,292.28032734978996,272.9367512701125,282.6085393099512,9.67178803983873
1,2.7,180.0,4,5,247.6594981501973,254.67414621692768,251.1668221835625,3.507324033365194
1,2.7,185.0,4,5,217.86408899566197,229.46579783445506,223.66494341505853,5.8008544193965434
1,2.7,190.0,4,5,191.29318629321864,197.28826293840032,194.2907246158095,2.9975383225908416
1,2.7,195.0,4,5,176.61793516861835,177.7150264907425,177.16648082968044,0.5485456610620787
1,2.7,200.0,4,5,156.22388905346293,154.94445449010465,155.5841717717838,0.6397172816791397
1,2.7,205.0,4,5,130.43824190297204,125.55107523669497,127.9946585698335,2.443583333138534
1,2.7,210.0,4,5,125.75028431652454,102.51520591442446,114.1327451154745,11.617539201050043
1,2.7,215.0,4,5,105.73721065568334,82.42393308053008,94.08057186810672,11.656638787576632
1,2.7,220.0,4,5,81.60900491863381,68.4725710381808,75.04078797840731,6.568216940226506
1,2.7,225.0,4,5,44.97207934109811,39.44548532651699,42.20878233380755,2.7632970072905607
1,2.7,230.0,4,5,16.399360646593745,25.244896555302113,20.822128600947927,4.422767954354184
1,2.7,235.0,4,5,0.1472530190888759,1.1045964546229168,0.6259247368558963,0.47867171776702044
1,2.7,240.0,4,5,-12.166764134590021,-9.996720514734962,-11.081742324662493,1.0850218099275297
