block,distance_nm,speed_um_per_s,pair_mean_force_pN,double_centered_interaction_pN
1,140.0,0.1,40.30782173707719,186.12673660216984
1,140.0,0.3,105.8857559492429,120.83007806305358
1,140.0,0.9,252.69125873232676,-24.9135702658906
1,140.0,2.7,484.89047386886045,-282.0432443993327
1,145.0,0.1,33.5228506059484,190.21927665563464
1,145.0,0.3,101.70781602026881,127.52964931867314
1,145.0,0.9,252.85772190843994,-13.869595905183814
1,145.0,2.7,452.1768770144756,-303.87933006912397
1,150.0,0.1,33.84060101696396,205.45362080327743
1,150.0,0.3,93.66525473461022,134.4036817696417
1,150.0,0.9,231.3858443310491,-20.424879745947464
1,150.0,2.7,421.7071905200006,-319.4324228269717
1,155.0,0.1,34.48330047049726,222.37001963691762
1,155.0,0.3,85.03656413872199,142.04869055386035
1,155.0,0.9,209.98103248512496,-25.55599221176476
1,155.0,2.7,386.00319598785234,-338.86271797901315
1,160.0,0.1,31.607948355802456,232.6332821158436
1,160.0,0.3,81.55349510310033,151.70423611185953
1,160.0,0.9,191.2560582536398,-31.142351849629108
1,160.0,2.7,358.53213299517046,-353.1951663780742
1,165.0,0.1,26.175127078399314,233.23982687755557
1,165.0,0.3,84.66098444517569,160.85109149304998
1,165.0,0.9,192.55067704202034,-23.80836702213344
1,165.0,2.7,335.4053819856574,-370.2825513484721
1,170.0,0.1,26.093614381063926,244.62921129322075
1,170.0,0.3,81.97982142102367,169.64082558189853
1,170.0,0.9,182.30046363590708,-22.58768331524618
1,170.0,2.7,302.5346826612559,-391.68235355987315
1,175.0,0.1,24.153844131182247,253.50595024590197
1,175.0,0.3,72.94333539175908,171.42084875519686
1,175.0,0.9,169.93682645610642,-24.13481129248396
1,175.0,2.7,282.6085393099512,-400.7919877086149
1,180.0,0.1,21.713392078489527,264.17073110064246
1,180.0,0.3,62.30272255474884,173.8854688256198
1,180.0,0.9,162.0386768424654,-18.927727998691694
1,180.0,2.7,251.1668221835625,-419.12847192757044
1,185.0,0.1,16.757577472902078,271.3051340768271
1,185.0,0.3,61.53153291337365,185.2044967660167
1,185.0,0.9,146.90668953084366,-21.96949772854134
1,185.0,2.7,223.66494341505853,-434.5401331143023
1,190.0,0.1,17.858305387926137,282.5526209570245
1,190.0,0.3,59.9137792370196,193.73350205483598
1,190.0,0.9,136.21089823072927,-22.518530063482444
1,190.0,2.7,194.2907246158095,-453.767592948378
1,195.0,0.1,15.637366035100715,291.2863378469337
1,195.0,0.3,52.55554355368588,197.32992261423692
1,195.0,0.9,119.09569208207884,-28.67907996939823
1,195.0,2.7,177.16648082968044,-459.93718049177244
1,200.0,0.1,19.20858310043167,300.9884964077688
1,200.0,0.3,51.861484473782575,202.76680502983777
1,200.0,0.9,113.27707717253122,-28.366753383441733
1,200.0,2.7,155.5841717717838,-475.38854805416486
2,20.0,0.1,621.7677384003048,-723.6252754555376
2,20.0,0.3,1029.7138791450893,-441.7625343399431
2,20.0,0.9,1852.5402320746603,112.29605558353165
2,20.0,2.7,3241.5799906728444,1053.0917542119494
2,25.0,0.1,519.5082288709069,-597.9143723751031
2,25.0,0.3,855.4978763093852,-388.00812456581497
2,25.0,0.9,1582.1951372540348,69.9213733727384
2,25.0,2.7,2876.5189474192425,916.0011235681798
2,30.0,0.1,434.3972595444354,-499.76805858116114
2,30.0,0.3,735.5008890550025,-324.74782869978407
2,30.0,0.9,1369.184218165517,40.16773740463424
2,30.0,2.7,2561.6086906069604,784.3481498763113
2,35.0,0.1,363.15177399473475,-421.8319317237819
2,35.0,0.3,638.2271069716453,-272.8399983760614
2,35.0,0.9,1215.3710837033698,35.53621534956693
2,35.0,2.7,2287.214643073846,659.135714750277
2,40.0,0.1,307.73008164004705,-349.9379107759084
2,40.0,0.3,539.1819065233611,-244.56948552178432
2,40.0,0.9,1079.2994611820207,26.780306130779024
2,40.0,2.7,2068.490305187922,567.7270901669137
2,45.0,0.1,256.55527537083003,-300.1798080262857
2,45.0,0.3,486.1083017320072,-196.7101812942986
2,45.0,0.9,975.9049039098476,24.318657877445673
2,45.0,2.7,1872.4016374453065,472.57133144313815
2,50.0,0.1,218.2304488078933,-249.50099492301825
2,50.0,0.3,422.79531875894224,-171.0195246011594
2,50.0,0.9,869.7399669722312,7.1573606060333645
2,50.0,2.7,1724.1898252541087,413.3631589181444
2,55.0,0.1,184.66511882064884,-207.5011986366256
2,55.0,0.3,390.11782275160783,-128.13189433485655
2,55.0,0.9,787.8406393398274,0.8231592472668012
2,55.0,2.7,1570.0714737865424,334.80993372421534
2,60.0,0.1,155.4456250377459,-167.55050233379535
2,60.0,0.3,333.5206907931524,-115.55883620757885
2,60.0,0.9,733.6866268211081,15.83933681428067
2,60.0,2.7,1433.3613517036877,267.27000172709376
2,65.0,0.1,142.25692859555565,-122.8190573389092
2,65.0,0.3,301.79761403617476,-89.36177152748013
2,65.0,0.9,669.028369557203,9.101220987451882
2,65.0,2.7,1311.250816418455,203.07960787893757
