fit_range,minimum_distance_nm,maximum_distance_nm,block,model,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,interaction_rms_pN,residual_rmse_pN,normalized_rmse,first_singular_value_variance_fraction,coefficient_over_bulk_no_slip,optimizer_success,optimizer_nfev,optimizer_message
sensitivity_20_250,20.0,250.0,4,additive_null,0.0,1.0,0.0,249.07883936477853,249.07883936477853,1.0,0.9993556455343563,0.0,True,0,closed form
sensitivity_20_250,20.0,250.0,4,theoretical_no_slip,314782.4455707509,1.0,0.0,249.07883936477853,2921.2989778574256,11.728410913217534,0.9993556455343563,1.0,True,0,fixed physical coefficient
sensitivity_20_250,20.0,250.0,4,classical_fitted,23904.594008443837,1.0,0.0,249.07883936477853,66.59028971340705,0.26734623416116404,0.9993556455343563,0.07594004794359159,True,0,closed form
sensitivity_20_250,20.0,250.0,4,distance_shift_only,66329.054193503,1.0,36.137768988822515,249.07883936477853,27.109330193384398,0.10883835119242107,0.9993556455343563,0.21071395538984972,True,10,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,4,velocity_power_only,36196.19379695133,0.685704467520891,0.0,249.07883936477853,61.4141243238277,0.24656500118778088,0.9993556455343563,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,4,velocity_power_and_shift,97776.40299183707,0.6971143440945492,35.61612133236427,249.07883936477853,9.316197899533734,0.037402606834417054,0.9993556455343563,nan,True,16,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,1,additive_null,0.0,1.0,0.0,285.60984292709117,285.60984292709117,1.0,0.9984812802173213,0.0,True,0,closed form
sensitivity_20_300,20.0,300.0,1,theoretical_no_slip,314782.4455707509,1.0,0.0,285.60984292709117,2752.8101904441223,9.638358966314911,0.9984812802173213,1.0,True,0,fixed physical coefficient
sensitivity_20_300,20.0,300.0,1,classical_fitted,28257.566296798042,1.0,0.0,285.60984292709117,89.13578524156269,0.31208933252456833,0.9984812802173213,0.08976855823571278,True,0,closed form
sensitivity_20_300,20.0,300.0,1,distance_shift_only,90305.33692425418,1.0,46.42419306606931,285.60984292709117,38.32789976725441,0.13419670475796078,0.9984812802173213,0.2868817438676295,True,7,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,1,velocity_power_only,47502.36708532003,0.6182988558274443,0.0,285.60984292709117,81.41634599411356,0.2850614151099024,0.9984812802173213,nan,True,14,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,1,velocity_power_and_shift,142613.885971337,0.6437745498623054,45.04130220669896,285.60984292709117,15.845401701090381,0.0554791863568067,0.9984812802173213,nan,True,10,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,2,additive_null,0.0,1.0,0.0,264.7046548000863,264.7046548000863,1.0,0.9990447510620548,0.0,True,0,closed form
sensitivity_20_300,20.0,300.0,2,theoretical_no_slip,314782.4455707509,1.0,0.0,264.7046548000863,2772.5862964781504,10.474263471385115,0.9990447510620548,1.0,True,0,fixed physical coefficient
sensitivity_20_300,20.0,300.0,2,classical_fitted,26177.078451598714,1.0,0.0,264.7046548000863,82.96662815817048,0.31343093766458174,0.9990447510620548,0.08315927021958129,True,0,closed form
sensitivity_20_300,20.0,300.0,2,distance_shift_only,86581.43656137152,1.0,48.485656751996245,264.7046548000863,31.877834879614138,0.12042793468701686,0.9990447510620548,0.27505166752353527,True,7,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,2,velocity_power_only,41810.134377590744,0.6506102266991893,0.0,264.7046548000863,77.24586648362737,0.29181907111518685,0.9990447510620548,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,2,velocity_power_and_shift,131920.06813487597,0.6716862389564434,47.5291718912029,264.7046548000863,12.179191543620128,0.04601049253485268,0.9990447510620548,nan,True,9,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,3,additive_null,0.0,1.0,0.0,255.81649411999243,255.81649411999243,1.0,0.9992519592612513,0.0,True,0,closed form
sensitivity_20_300,20.0,300.0,3,theoretical_no_slip,314782.4455707509,1.0,0.0,255.81649411999243,2779.379595225944,10.86473960479756,0.9992519592612513,1.0,True,0,fixed physical coefficient
sensitivity_20_300,20.0,300.0,3,classical_fitted,25447.67949565609,1.0,0.0,255.81649411999243,75.69089458292025,0.29587964936857014,0.9992519592612513,0.08084211763942356,True,0,closed form
sensitivity_20_300,20.0,300.0,3,distance_shift_only,79995.19078962204,1.0,45.42480873165262,255.81649411999243,23.675116758281842,0.09254726455275739,0.9992519592612513,0.2541285002236321,True,12,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,3,velocity_power_only,35644.32229811068,0.7391410107860726,0.0,255.81649411999243,72.77163508651928,0.2844681119442801,0.9992519592612513,nan,True,6,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,3,velocity_power_and_shift,109609.71154863278,0.75037399107436,45.03831809552434,255.81649411999243,11.455334150594833,0.04477949785842047,0.9992519592612513,nan,True,14,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,4,additive_null,0.0,1.0,0.0,252.4282960357134,252.4282960357134,1.0,0.9991327547351402,0.0,True,0,closed form
sensitivity_20_300,20.0,300.0,4,theoretical_no_slip,314782.4455707509,1.0,0.0,252.4282960357134,2781.630911105996,11.019489315541916,0.9991327547351402,1.0,True,0,fixed physical coefficient
sensitivity_20_300,20.0,300.0,4,classical_fitted,25202.351689671006,1.0,0.0,252.4282960357134,71.7833615275434,0.2843712953534636,0.9991327547351402,0.08006276094581803,True,0,closed form
sensitivity_20_300,20.0,300.0,4,distance_shift_only,72853.15727019757,1.0,40.62712733245332,252.4282960357134,26.823021872805874,0.10625996488527961,0.9991327547351402,0.23143970794846308,True,11,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,4,velocity_power_only,37158.00825066714,0.703694765954607,0.0,252.4282960357134,67.55746660456171,0.26763032380095664,0.9991327547351402,nan,True,13,`ftol` termination condition is satisfied.
sensitivity_20_300,20.0,300.0,4,velocity_power_and_shift,103858.94556892157,0.7193084243267661,39.9847619135745,252.4282960357134,12.619152382531885,0.049991037378577144,0.9991327547351402,nan,True,6,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,1,additive_null,0.0,1.0,0.0,224.77669769464,224.77669769464,1.0,0.9993962205081909,0.0,True,0,closed form
sensitivity_30_200,30.0,200.0,1,theoretical_no_slip,314782.4455707509,1.0,0.0,224.77669769464,2039.643170344824,9.074086376674538,0.9993962205081909,1.0,True,0,fixed physical coefficient
sensitivity_30_200,30.0,200.0,1,classical_fitted,30572.345212506567,1.0,0.0,224.77669769464,49.138908834333115,0.21861211299175018,0.9993962205081909,0.09712214147480179,True,0,closed form
sensitivity_30_200,30.0,200.0,1,distance_shift_only,76350.45525308422,1.0,38.36802958151771,224.77669769464,29.444649279085255,0.13099511462298427,0.9993962205081909,0.24254991448029647,True,12,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,1,velocity_power_only,50872.25306064408,0.6246487310698224,0.0,224.77669769464,39.828012090219914,0.1771892393593504,0.9993962205081909,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,1,velocity_power_and_shift,123790.08458341204,0.6321991317649717,37.57379232148844,224.77669769464,7.138666714378678,0.031758926915442916,0.9993962205081909,nan,True,13,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,2,additive_null,0.0,1.0,0.0,209.79402003745452,209.79402003745452,1.0,0.9995953480450005,0.0,True,0,closed form
sensitivity_30_200,30.0,200.0,2,theoretical_no_slip,314782.4455707509,1.0,0.0,209.79402003745452,2054.3481958534053,9.79221521894019,0.9995953480450005,1.0,True,0,fixed physical coefficient
sensitivity_30_200,30.0,200.0,2,classical_fitted,28513.63808942048,1.0,0.0,209.79402003745452,46.52720110211848,0.22177563065816644,0.9995953480450005,0.09058204639626805,True,0,closed form
sensitivity_30_200,30.0,200.0,2,distance_shift_only,78583.29699945534,1.0,44.01314444326006,209.79402003745452,23.815052856471002,0.11351635691150444,0.9995953480450005,0.2496431999470976,True,10,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,2,velocity_power_only,44300.22825951638,0.6685987729687132,0.0,209.79402003745452,40.34265919725001,0.1922965163165644,0.9995953480450005,nan,True,16,`xtol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,2,velocity_power_and_shift,120250.36486348778,0.6736300681542604,43.554321858786864,209.79402003745452,5.325413840757752,0.025384011611994498,0.9995953480450005,nan,True,14,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,3,additive_null,0.0,1.0,0.0,203.8042295532909,203.8042295532909,1.0,0.9995664111614149,0.0,True,0,closed form
sensitivity_30_200,30.0,200.0,3,theoretical_no_slip,314782.4455707509,1.0,0.0,203.8042295532909,2059.5739538936286,10.105648731667218,0.9995664111614149,1.0,True,0,fixed physical coefficient
sensitivity_30_200,30.0,200.0,3,classical_fitted,27773.77036090854,1.0,0.0,203.8042295532909,42.790276360394735,0.20995774451877064,0.9995664111614149,0.08823163664844859,True,0,closed form
sensitivity_30_200,30.0,200.0,3,distance_shift_only,75456.63341419325,1.0,43.17458481355843,203.8042295532909,18.80762065566484,0.09228277890448298,0.9995664111614149,0.23971042374163623,True,6,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,3,velocity_power_only,39597.201270943886,0.726773292708169,0.0,203.8042295532909,38.80397529880156,0.1903982826257051,0.9995664111614149,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,3,velocity_power_and_shift,106057.88438174732,0.7325128560269232,42.811241428623994,203.8042295532909,5.6093586878032164,0.02752326926726747,0.9995664111614149,nan,True,18,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,4,additive_null,0.0,1.0,0.0,199.0165959384239,199.0165959384239,1.0,0.9994560509911793,0.0,True,0,closed form
sensitivity_30_200,30.0,200.0,4,theoretical_no_slip,314782.4455707509,1.0,0.0,199.0165959384239,2064.290647533346,10.372454808603205,0.9994560509911793,1.0,True,0,fixed physical coefficient
sensitivity_30_200,30.0,200.0,4,classical_fitted,27114.01773976241,1.0,0.0,199.0165959384239,42.028543534409614,0.21118109942656904,0.9994560509911793,0.0861357363514994,True,0,closed form
sensitivity_30_200,30.0,200.0,4,distance_shift_only,69028.18563079243,1.0,39.41156441849019,199.0165959384239,21.5182376651505,0.10812283047896308,0.9994560509911793,0.21928854865344632,True,9,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,4,velocity_power_only,40898.998773292195,0.6882747328527482,0.0,199.0165959384239,36.5877592926608,0.18384275502320982,0.9994560509911793,nan,True,16,`ftol` termination condition is satisfied.
sensitivity_30_200,30.0,200.0,4,velocity_power_and_shift,101864.1408832113,0.695926254438335,38.80165628151747,199.0165959384239,6.710977622089683,0.03372069344491286,0.9994560509911793,nan,True,12,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,1,additive_null,0.0,1.0,0.0,158.08046555185206,158.08046555185206,1.0,0.9994572172053584,0.0,True,0,closed form
sensitivity_50_200,50.0,200.0,1,theoretical_no_slip,314782.4455707509,1.0,0.0,158.08046555185206,1149.795076197766,7.273479820443856,0.9994572172053584,1.0,True,0,fixed physical coefficient
sensitivity_50_200,50.0,200.0,1,classical_fitted,37594.13490037108,1.0,0.0,158.08046555185206,26.149984535814102,0.16542198585084905,0.9994572172053584,0.11942894347938272,True,0,closed form
sensitivity_50_200,50.0,200.0,1,distance_shift_only,85768.15694554403,1.0,46.76345899938896,158.08046555185206,17.895339011857857,0.11320398728195798,0.9994572172053584,0.272468043095709,True,9,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,1,velocity_power_only,57764.837768806465,0.6759473839126857,0.0,158.08046555185206,19.606342217994673,0.12402760929093788,0.9994572172053584,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,1,velocity_power_and_shift,129664.93517205952,0.6795823797608241,45.98538690057829,158.08046555185206,4.902375077883301,0.031011896762634914,0.9994572172053584,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,2,additive_null,0.0,1.0,0.0,150.25939641254064,150.25939641254064,1.0,0.9993641442473831,0.0,True,0,closed form
sensitivity_50_200,50.0,200.0,2,theoretical_no_slip,314782.4455707509,1.0,0.0,150.25939641254064,1157.3805886117154,7.702550497634772,0.9993641442473831,1.0,True,0,fixed physical coefficient
sensitivity_50_200,50.0,200.0,2,classical_fitted,35754.96290785773,1.0,0.0,150.25939641254064,24.336193135550392,0.16196120653070384,0.9993641442473831,0.11358626699474382,True,0,closed form
sensitivity_50_200,50.0,200.0,2,distance_shift_only,83221.13697685594,1.0,48.2049856485369,150.25939641254064,15.849003141825206,0.10547761750826819,0.9993641442473831,0.2643766771236646,True,9,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,2,velocity_power_only,53181.65364907512,0.6976933649988225,0.0,150.25939641254064,19.056103231554776,0.12682137481263273,0.9993641442473831,nan,True,10,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,2,velocity_power_and_shift,122562.78327594524,0.6999455503405302,47.72223629588188,150.25939641254064,4.723043427811255,0.03143259949510266,0.9993641442473831,nan,True,13,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,3,additive_null,0.0,1.0,0.0,145.71116519763888,145.71116519763888,1.0,0.9993949322067908,0.0,True,0,closed form
sensitivity_50_200,50.0,200.0,3,theoretical_no_slip,314782.4455707509,1.0,0.0,145.71116519763888,1161.6361169882377,7.972183294345525,0.9993949322067908,1.0,True,0,fixed physical coefficient
sensitivity_50_200,50.0,200.0,3,classical_fitted,34719.143503931744,1.0,0.0,145.71116519763888,22.394230834966763,0.15368918918870633,0.9993949322067908,0.11029567878532866,True,0,closed form
sensitivity_50_200,50.0,200.0,3,distance_shift_only,82264.8836500556,1.0,49.48363666115671,145.71116519763888,12.571335173811654,0.08627571646112513,0.9993949322067908,0.26133885420737557,True,9,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,3,velocity_power_only,47929.92949664201,0.7494946332410622,0.0,145.71116519763888,18.977179916878843,0.13023833754358277,0.9993949322067908,nan,True,6,Both `ftol` and `xtol` termination conditions are satisfied.
sensitivity_50_200,50.0,200.0,3,velocity_power_and_shift,112208.02360310999,0.7531928766987622,48.976473664822876,145.71116519763888,4.358621780837444,0.029912750851491178,0.9993949322067908,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,4,additive_null,0.0,1.0,0.0,140.8748674624801,140.8748674624801,1.0,0.999375251993884,0.0,True,0,closed form
sensitivity_50_200,50.0,200.0,4,theoretical_no_slip,314782.4455707509,1.0,0.0,140.8748674624801,1166.0706440885504,8.277350425185782,0.999375251993884,1.0,True,0,fixed physical coefficient
sensitivity_50_200,50.0,200.0,4,classical_fitted,33637.742536155354,1.0,0.0,140.8748674624801,19.665938853517147,0.13959863251516366,0.999375251993884,0.10686028719029979,True,0,closed form
sensitivity_50_200,50.0,200.0,4,distance_shift_only,66510.46522281368,1.0,36.93285679252882,140.8748674624801,13.225156265728982,0.09387874859404076,0.999375251993884,0.2112902614445973,True,6,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,4,velocity_power_only,47259.61038449801,0.7370965724748529,0.0,140.8748674624801,15.410869285614785,0.10939402863835339,0.999375251993884,nan,True,6,`ftol` termination condition is satisfied.
sensitivity_50_200,50.0,200.0,4,velocity_power_and_shift,92274.81784250785,0.7404541345713286,36.41082820727196,140.8748674624801,5.315538485790348,0.03773234063347787,0.999375251993884,nan,True,14,`ftol` termination condition is satisfied.
