block,distance_nm,speed_intercept_pN,speed_slope_pN_per_um_s,distance_times_speed_slope_pN_nm_per_um_s,speed_linear_r2
2,195.0,31.484667895958577,47.7094239583853,9303.337671885134,0.7811781018495687
2,200.0,31.71239133148654,42.85002521729153,8570.005043458306,0.7277578394391837
2,205.0,29.918438831871626,36.08481728616902,7397.3875436646495,0.695536678678647
2,210.0,28.55468957220664,29.33186722531965,6159.692117317127,0.6021321513234786
2,215.0,30.122393351832855,17.135402670849572,3684.111574232658,0.26568736425083783
2,220.0,30.69958837498456,9.505015009758376,2091.1033021468425,0.14154983283719125
2,225.0,32.35302052266094,3.865046592301437,869.6354832678234,0.018119366282499216
2,230.0,32.06126037049818,-4.824683065532058,-1109.6771050723735,0.03349445792144279
2,235.0,34.92723087233633,-11.938840211120299,-2805.62744961327,0.18825691886592455
2,240.0,30.870701037088978,-14.911161036056908,-3578.678648653658,0.3153531308626041
2,245.0,26.51815573501456,-16.72876243459906,-4098.5467964767695,0.37308997501070595
2,250.0,23.820224601509864,-19.924578302782287,-4981.144575695572,0.4417367052332152
2,255.0,25.41199748622305,-26.69299561885208,-6806.71388280728,0.7408789748024871
2,260.0,23.67458850337699,-29.991315163463394,-7797.741942500483,0.7416375169943532
2,265.0,28.95114989265153,-37.24819605602015,-9870.771954845339,0.8321806777080482
2,270.0,28.36623613302644,-47.46748796910879,-12816.221751659374,0.8212240233814444
2,275.0,26.86507373937149,-54.650878048830144,-15028.99146342829,0.8802719397826513
2,280.0,25.841143849990598,-61.837952451979596,-17314.626686554286,0.895910393926939
2,285.0,28.622760504654476,-70.73980170585934,-20160.84348616991,0.9129493633388198
2,290.0,31.600296974597704,-79.3351949329188,-23007.20653054645,0.9400441781177755
2,295.0,34.80057397069641,-87.75095707781593,-25886.532337955698,0.9359299206902799
2,300.0,33.27799901115442,-97.25925563235086,-29177.776689705257,0.9420629553426723
3,20.0,756.4118959430208,941.2158882151471,18824.31776430294,0.9879750190049348
3,25.0,629.656777005574,833.3360720902331,20833.401802255827,0.9830911718275178
3,30.0,525.5569975282572,759.3188469494986,22779.56540848496,0.9857248363703719
3,35.0,438.84201687430607,686.8501350561095,24039.75472696383,0.9866875708941071
3,40.0,371.6749394928568,626.1185176728333,25044.74070691333,0.9868493809169016
3,45.0,309.75456844967283,567.6407413606321,25543.833361228444,0.9881848301137325
3,50.0,276.0300100115662,524.3544849518505,26217.724247592527,0.9844625114268586
3,55.0,240.3027302792271,485.1635563946867,26683.995601707767,0.9849937760882785
3,60.0,205.38430371703623,451.13146917627284,27067.88815057637,0.9861041961494195
3,65.0,174.9247020717749,419.6852691276581,27279.542493297777,0.9875316075703909
3,70.0,156.63971889567225,392.55163414661985,27478.61439026339,0.9844743617222148
3,75.0,137.1241355023335,361.0333748065521,27077.50311049141,0.9815956960442153
3,80.0,122.8602574311656,329.5529774122451,26364.23819297961,0.9852389449645608
3,85.0,113.09451983423715,310.83057609291797,26420.598967898026,0.9845418066233537
3,90.0,104.14569733037288,287.8599147589463,25907.392328305166,0.9798772508416007
3,95.0,89.6884632833383,266.3699788686867,25305.147992525235,0.9803145293839076
3,100.0,81.69689447372603,251.77870960871192,25177.87096087119,0.9772501451985178
3,105.0,75.37356601097459,235.7560838527903,24754.38880454298,0.97482282238796
3,110.0,71.5924120351013,217.6026493657816,23936.291430235975,0.98050222627842
3,115.0,64.08395003633649,201.5438065922244,23177.537758105806,0.9748753708036663
3,120.0,63.95791530804975,179.59796112091223,21551.755334509468,0.9691122243900462
3,125.0,56.99593817520173,171.64703081289719,21455.87885161215,0.9676602977898794
3,130.0,61.1870901905473,158.28590330068278,20577.16742908876,0.9635597956043181
3,135.0,59.21509128203521,144.05460900722161,19447.37221597492,0.9648139862150681
3,140.0,51.41165757659072,131.64163463426465,18429.82884879705,0.9623938243503263
3,145.0,46.407522319759586,121.21802568588024,17576.613724452633,0.9585488197170655
3,150.0,49.98206227796899,107.58479609600624,16137.719414400937,0.948242078342063
3,155.0,48.90460516508425,97.56565801163465,15122.676991803371,0.9295102386054804
3,160.0,44.72759696758149,90.88229215793979,14541.166745270366,0.9393575547760823
3,165.0,46.30535591276863,83.27170931314173,13739.832036668386,0.9162571264506425
3,170.0,43.0919205764494,74.67078210606412,12694.0329580309,0.9259048566557231
3,175.0,38.9376817146865,68.08319031876725,11914.558305784269,0.9133945839562295
3,180.0,42.1869961088869,56.28733795039091,10131.720831070365,0.8504960711067657
3,185.0,35.354255791628624,52.50000928118776,9712.501717019735,0.8258859207472571
3,190.0,37.022542291151716,43.93859821797486,8348.333661415223,0.7541785899064799
3,195.0,35.381720864637636,36.432288826591616,7104.296321185365,0.7120298478261436
3,200.0,35.735173710856664,29.869680815146573,5973.936163029314,0.6279926302146537
3,205.0,36.58677597922901,20.03954398624708,4108.106517180651,0.4792416892915764
3,210.0,25.253200976916105,17.05158865200723,3580.833616921518,0.4905216503852785
3,215.0,31.797200295163677,8.258520230733254,1775.5818496076495,0.15004769029363796
3,220.0,32.5822285354072,2.619280394150805,576.2416867131772,0.013832870970066025
3,225.0,33.5836124560863,-3.081944239431767,-693.4374538721476,0.024558739701236676
3,230.0,31.747283136641975,-6.251824087998612,-1437.9195402396808,0.06812131435835
3,235.0,28.163948927201996,-6.173090609154814,-1450.6762931513813,0.07857298708311944
3,240.0,30.896523548775892,-16.046523366404095,-3851.1656079369827,0.37718082951893983
3,245.0,26.418885506031003,-18.90443786233161,-4631.587276271244,0.41091071472969887
3,250.0,31.71778419087255,-28.24410071277933,-7061.025178194832,0.6481596773606682
3,255.0,31.0123607088496,-34.60205481395815,-8823.523977559327,0.7465250088395718
