acquisition_order,variant,fit_quality_pass,lambda_relative_change_percent,potential_relative_change_percent
28,constant_baseline,True,18.8288834811871,-6.979227221834117
28,lower_plus_10nm,True,5.065068111875282,-5.357335947263008
28,upper_200nm,True,0.31952769351513144,-0.12782890633595834
28,common_80_250nm,False,-18.67399645615613,356.09907932075566
28,no_slip_hydrodynamic,True,-2.512356616357858,-0.23549617484053265
29,constant_baseline,True,18.51623855613953,-8.61176393935863
29,lower_plus_10nm,True,6.437737258841314,-6.600940622846796
29,upper_200nm,True,0.7744509202530114,-0.3619516091301844
29,common_80_250nm,False,-18.09362590246758,356.6632230963485
29,no_slip_hydrodynamic,True,-4.276835542173341,-1.036388782260489
30,constant_baseline,True,14.73813753365758,-5.804667809573971
30,lower_plus_10nm,True,7.559177993043664,-7.5695763871965855
30,upper_200nm,True,0.14547855486328753,-0.007865068665113828
30,common_80_250nm,False,30.34409092837982,-44.45911847758649
30,no_slip_hydrodynamic,True,-0.9857360549179073,-0.33533255011679586
31,constant_baseline,True,11.293136491554744,-3.5961678467352987
31,lower_plus_10nm,True,6.60557942943778,-6.536910351504421
31,upper_200nm,True,0.34180037790980666,-0.1006055910306225
31,common_80_250nm,False,-13.871708464543763,388.92934793165364
31,no_slip_hydrodynamic,True,-4.340637652894753,-1.0488556027869134
32,constant_baseline,True,16.986487241411407,-7.8559715094481675
32,lower_plus_10nm,True,8.95202711198011,-8.811916473770998
32,upper_200nm,True,0.1196565902049862,-0.00828378728372492
32,common_80_250nm,False,-10.271092095914657,381.24330729504885
32,no_slip_hydrodynamic,True,-2.5112822833392223,-0.26760977591071544
33,constant_baseline,True,13.659592287446465,-4.29866603090735
33,lower_plus_10nm,True,3.970846673355388,-4.084310908826461
33,upper_200nm,True,0.3705535814436667,-0.11918601483221769
33,common_80_250nm,False,-22.20786628062703,384.7458062080125
33,no_slip_hydrodynamic,True,-1.2616253692841917,-0.16371261475092158
34,constant_baseline,True,19.990787772592245,-9.031472768539873
34,lower_plus_10nm,True,3.4732391282698893,-4.5920950318318665
34,upper_200nm,True,0.6906582836552211,-0.30903712571695996
34,common_80_250nm,False,-13.215192045003166,109.60031459664492
34,no_slip_hydrodynamic,True,-1.6797486819541074,0.2475723289944609
35,constant_baseline,True,18.57741619604958,-8.76287098858073
35,lower_plus_10nm,True,8.045550340409214,-8.035016714693132
35,upper_200nm,True,-0.04250153650250388,0.011604741716664257
35,common_80_250nm,False,33.711649812264085,-41.06854254248676
35,no_slip_hydrodynamic,True,-2.2031410215460068,-0.5135682987465473
36,constant_baseline,True,15.012480417132412,-6.503517604162312
36,lower_plus_10nm,True,10.178327410568144,-9.547318990761655
36,upper_200nm,True,-0.23904872982729586,0.011990967102604166
36,common_80_250nm,False,50.91617125849388,-45.83902516727403
36,no_slip_hydrodynamic,True,-3.9317351395915856,-1.2209739445880552
