acquisition_order,point_index,gap_speed_um_per_s,far_distance_min_nm,far_distance_max_nm,far_sample_count,hydro_far_line_slope_pN_per_nm,hydro_far_line_intercept_pN,hydro_after_far_line_at_80nm_pN
2,23,0.9981029971630585,686.0651762427274,884.3846383738404,200,-0.0005598315333553169,0.8781043536842927,3.4483027177074423
2,24,0.9997180673655965,686.9602413557458,886.7801517458864,200,-0.0005601726289153865,0.8791617972861687,3.4549972783985945
2,25,0.9988633698109287,687.4646534906127,886.3464873528596,200,-0.0005589793468748012,0.8778530764415488,3.4516262753795575
2,26,0.9971675341519958,686.8736225490886,886.1809315423582,200,-0.0005586571167628889,0.8768577859060778,3.4453657897168632
2,27,0.9980490028092236,686.788393487196,885.9606267609513,200,-0.0005594417356880357,0.8778621110546279,3.4487926054693845
2,28,0.9978730300964472,687.2272595885751,886.3989138581167,200,-0.0005584733584575663,0.8770213423927142,3.4488136095218285
2,29,0.997031300650869,686.2818690578455,885.4726847289234,200,-0.0005594584577845924,0.8774305015296721,3.444388751430255
2,30,0.9981036869609168,686.0964847410129,885.5029728030529,200,-0.0005602661452127253,0.8785358807270167,3.4477596638640886
2,31,0.998150127486124,687.7045516608325,885.9811250936451,200,-0.0005581610319494937,0.8768945972506738,3.4498709153019367
2,32,0.9962041924415886,685.2290337478797,884.6573724880503,200,-0.0005607755472910393,0.8780991648683856,3.4399151609564074
2,33,0.9980946833311657,684.8998791318365,882.9764033650931,200,-0.0005621357305439379,0.880004160521159,3.4468936689849246
2,34,0.9966032344898067,681.1518155174581,879.3570139695421,200,-0.0005665820770063841,0.8828398678099166,3.4377941788704653
2,35,1.0003683161083792,687.9940245410376,886.7875840039756,200,-0.0005589543644712539,0.8784909426124198,3.4582180547419945
2,36,0.9956147571900239,686.5129360225272,884.500431606375,200,-0.0005584461544880808,0.8760111494248708,3.4392409522650205
2,37,0.9960060521141597,684.881936776905,882.8759747649968,200,-0.0005611113058242425,0.8782822781928433,3.439151029050652
2,38,0.9966709412170648,683.7271129545715,881.6489569127816,200,-0.0005631214252599352,0.8801542862367004,3.4400251359261182
2,39,0.9958304122526596,686.7515803197482,884.8701807981367,200,-0.0005583177724021273,0.8760043098252598,3.4400601108692306
2,40,0.9960112742900336,685.8624037297449,885.0549592502965,200,-0.0005596643100893148,0.8771459128822949,3.4399935569230733
2,41,0.9968727980159093,685.9702061363126,884.0026042537075,200,-0.0005600762465625719,0.8778469511493312,3.442977839553172
2,42,0.9970783841214178,686.1134442395894,885.2042341171264,200,-0.000559692331852613,0.8776350230275658,3.4444449762938127
2,43,0.9970072760727299,686.6111619901354,885.7884763039199,200,-0.0005588409838223107,0.8769328671864409,3.4444682119999284
2,44,0.9934829453416865,685.9094555477192,884.9550179063826,200,-0.0005581646017137569,0.8748571517940915,3.431322164964303
2,45,1.0003175693229875,687.8583584395201,886.9514570647732,200,-0.0005591725411548209,0.8786410834686761,3.457634700490814
2,46,0.9986108618397592,687.7333876531474,886.7972710803831,200,-0.000558413104806226,0.8772956668533556,3.451518761961007
2,47,0.9968933067466911,682.476127460122,880.7146887414484,200,-0.0005653063784981407,0.8819671802904396,3.4389249333315126
2,48,0.9972889573024843,685.9263669477077,885.2265386080443,200,-0.000560153884739706,0.8780909067283391,3.4447151662121547
2,49,0.9994441081266473,686.0081336293612,884.0057663426574,200,-0.0005612016072989221,0.8798616265981011,3.4529695640979936
2,50,0.997121014787326,685.76713698779,883.6870165251503,200,-0.0005603926205233087,0.8782048673257139,3.4442283487971874
2,51,0.9969255856619843,687.7476122125533,885.7782525127349,200,-0.0005573792793267899,0.8757434053571338,3.4456585897623
2,52,0.9994191638643959,686.2465768780037,884.8650121969414,200,-0.0005609041565951216,0.8796142748227957,3.4525089414343766
2,53,0.9948738956642952,683.6988244414912,880.6177814966685,199,-0.0005626500787068484,0.8789742273591802,3.4334294027131236
2,54,1.0010764529964757,687.9481371220272,886.2469978614437,200,-0.0005593160988447777,0.8790852689042596,3.460653871755259
2,55,0.9961089402029012,685.975007621653,884.9746688036954,200,-0.0005595223384342758,0.877076859182232,3.440574845587654
2,56,0.9967630722321444,686.6494387501649,885.6817460635642,200,-0.0005591740548546723,0.8770853631430421,3.443194818671123
2,57,0.9984050015873814,688.4416206507651,887.4344198496924,200,-0.0005572024812861106,0.8762493184959572,3.451174491474634
2,58,0.9976878440254264,688.1107910213902,887.1836640130017,200,-0.0005573563510425099,0.8760580480394022,3.448347717193517
2,59,0.9971464199264566,687.1992971616684,886.2334213757524,200,-0.000558392904257513,0.8766399111719652,3.445553419947767
2,60,0.9989269479911834,687.3460919672402,886.3271790093647,200,-0.0005589852942549753,0.8778859412636052,3.451912032899619
2,61,1.0002512219802708,687.2083325275051,886.5467027762915,200,-0.0005599739530799735,0.8792451063260542,3.4567624984501237
2,62,0.9956585750517294,686.6295366797659,885.6613584880541,200,-0.0005583485686825916,0.8759545329594466,3.439619141104541
2,63,0.9962150863753552,687.6577790562553,887.03838210017,200,-0.0005569366980084156,0.8750834444065495,3.4429523739937844
3,0,3.992955848484787,688.8397062544444,887.7028386042821,200,-0.0022266731240171405,3.503008473789917,13.804437531685135
3,1,3.9935118192687735,688.4492023672282,885.1384945473649,200,-0.002228820144287651,3.5049532541793775,13.805612945387288
3,2,3.988214122934298,687.6358031385241,884.6966352972967,200,-0.002230604781988911,3.5040556653356725,13.783847954255931
3,3,3.9993652358393397,689.3133323099471,885.7896921764187,200,-0.0022272873635582804,3.5062908398086874,13.829835845755953
3,4,3.9915493704515677,672.4995610097768,863.8101287346118,197,-0.0023315269316401474,3.5840299573565035,13.723932849050833
3,5,3.9879405352744137,687.3695528472964,886.4822759261899,200,-0.0022319993646497567,3.505060209579718,13.77998856609381
3,6,3.9914081138614748,680.2322489914825,874.3143794496643,200,-0.002276989697204994,3.5418696931733065,13.7634433711745
