block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,metric,metric_label,unit,early_value,late_value,pair_symmetric_value,pair_history_half_difference,early_source,late_source
2,0.2,0.19087118195358638,far_slope_median_pN_per_100nm,far slope,pN/100 nm,-6.361095650400587,-7.312232765393416,-6.836664207897002,-0.47556855749641436,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map
2,0.2,0.19087118195358638,contact_height_median_um,contact height,um,13.241189372094023,13.247096724692883,13.244143048393454,0.002953676299429553,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map
2,0.2,0.19087118195358638,approach_snap_detected_fraction,approach snap-detected fraction,fraction,0.0625,0.046875,0.0546875,-0.0078125,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map
2,0.2,0.19087118195358638,approach_snap_distance_median_nm,approach snap distance,nm,140.5340766317012,132.36211869213244,136.44809766191682,-4.085978969784378,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map
2,0.2,0.19087118195358638,retract_detachment_piezo_travel_median_nm,retract detachment travel,nm,102.53436618087522,100.61931737823326,101.57684177955424,-0.9575244013209812,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map
2,0.2,0.19087118195358638,retract_pull_off_force_median_nN,retract pull-off,nN,-0.5328928221221765,-0.3849386392549923,-0.4589157306885844,0.0739770914335921,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map
2,0.2,0.19087118195358638,branch_contact_height_difference_median_nm,approach-retract contact-height difference,nm,0.7551922572330443,0.6255260661186469,0.6903591616758455,-0.06483309555719868,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map
3,0.05,0.048016408350180846,map_contact_invOLS_median_nm_per_V,InvOLS,nm/V,51.50755396147515,51.69115204546038,51.59935300346777,0.09179904199261202,27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map
3,0.05,0.048016408350180846,terminal_load_median_nN,terminal load,nN,21.81266634604507,21.843299467672583,21.82798290685883,0.015316560813756652,27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map
3,0.05,0.048016408350180846,far_slope_median_pN_per_100nm,far slope,pN/100 nm,-1.876630388655772,0.25077389747888446,-0.8129282455884438,1.0637021430673284,27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map
3,0.05,0.048016408350180846,contact_height_median_um,contact height,um,13.29353455021591,13.61900477691512,13.456269663565514,0.1627351133496049,27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map
3,0.05,0.048016408350180846,approach_snap_detected_fraction,approach snap-detected fraction,fraction,0.75,0.28125,0.515625,-0.234375,27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map
3,0.05,0.048016408350180846,approach_snap_distance_median_nm,approach snap distance,nm,3.7484202327870504,6.3201259497978395,5.0342730912924445,1.2858528585053945,27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map
3,0.05,0.048016408350180846,retract_detachment_piezo_travel_median_nm,retract detachment travel,nm,108.02361234828402,92.24597029127371,100.13479131977886,-7.888821028505156,27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map
