source,timestamp,block,nominal_speed_um_per_s,point_index,sensitivity_nm_per_V,sensitivity_40nm_nm_per_V,sensitivity_60nm_nm_per_V,contact_fit_R2,contact_points,valid_for_consensus
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,58,53.448103780094506,53.34576651851116,53.54955067564099,0.9999174607379894,502,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,59,53.697305558141394,53.553284835522675,53.76666143086745,0.9999295339166887,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,60,53.835790200828654,53.91889914536164,53.80541438030831,0.9998761434749524,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,61,53.71732614097144,53.5384378380551,53.78065909228614,0.9999012001726404,499,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,62,53.699381914346255,53.66936527576793,53.69956771408904,0.9999012444368648,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,63,53.59447624778727,53.572057641417764,53.6014359990626,0.9998754086914667,502,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,0,53.36721972432082,53.30265217065751,53.45654288451222,0.9997899827026021,1002,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,1,53.52480606901409,53.51345753247034,53.56550880631618,0.9998499717889778,998,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,2,53.523514506745656,53.55556581158361,53.55011746581867,0.9997938816728729,998,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,3,53.606814424101515,53.514077983182446,53.657120986580246,0.9998471722140964,996,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,4,53.59734044238924,53.639302657575584,53.54170851711187,0.9997032304001785,994,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,5,53.83420584001648,53.9257025645967,53.818071473688256,0.9997188849915418,999,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,6,53.629891920925736,53.62546662095401,53.623665276890215,0.9998740635191381,999,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,7,53.48873677740888,53.53682935341823,53.51195168311319,0.9998965858596763,998,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,8,53.6270365922075,53.63429919153522,53.62522041787957,0.9998420860186302,1000,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,9,53.69873793345306,53.71475393340903,53.738466250738085,0.9998377852576721,999,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,10,53.46756495330864,53.46596646133077,53.452861927979434,0.9999359560168657,1003,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,11,53.75951900047964,53.70057368405953,53.78130911183309,0.9999213941169195,996,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,12,53.80376747608175,53.83916909502918,53.82476913013297,0.9999126560587788,999,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,13,53.71578052710593,53.763967510514725,53.757768699917975,0.9998490568227912,997,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,14,53.687487785018696,53.7185532558466,53.70930067532826,0.9998957885859413,1004,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,15,53.566898326588294,53.54066255844739,53.60441922723442,0.9998297170536844,1002,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,16,53.63223461250195,53.674295203322245,53.57875656897547,0.9998936192924756,1001,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,17,53.56773475600861,53.66303000820408,53.599584944254524,0.9998783410784513,999,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,18,53.77012854211717,53.73701295412478,53.805033615540054,0.999892708565922,998,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,19,53.71160158156769,53.75119915643542,53.70831976441465,0.9998848319405323,999,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,20,53.90855558139912,53.904569808715,53.91212746443543,0.9998345562883638,1002,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,21,53.830862530348384,53.75552437686014,53.83445913241417,0.9999012223074758,1002,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,22,53.863375996440865,53.96712674568781,53.78127391006945,0.9998752939613625,1000,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,23,53.968463211298264,53.958073139482636,53.970535670204285,0.9998640275842764,1002,True
27-08-26/0/map1-0.1-data-2026.08.27-14.04.47.122.jpk-force-map,2026-08-27T14:04:47.122000,1,0.1,24,53.95121976524453,54.013374394783156,53.984172399070125,0.9997844531397123,1002,True
