source,acquisition_order,block,nominal_speed_um_per_s,distance_nm,linear_drift_corrected_force_pN,far_constant_referenced_force_pN,linear_minus_constant_pN
27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,16,3,0.1,200.0,1.6874126378389298,0.4364053491367409,1.2510072887021888
27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,17,3,0.2,20.0,2403.136955433305,2399.242157375076,3.8947980582288437
27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,17,3,0.2,50.0,499.06393387858293,496.13672485966026,2.9272090189226674
27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,17,3,0.2,100.0,44.768997403444025,42.340048873653444,2.4289485297905813
27-08-26/0/map3-0.2-data-2026.08.27-16.25.10.504.jpk-force-map,17,3,0.2,200.0,3.3435342403212758,0.9161044084036424,2.4274298319176335
27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,18,3,0.05,20.0,2246.0651391760775,2233.6699655370967,12.39517363898085
27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,18,3,0.05,50.0,425.709420030895,422.26872345163156,3.440696579263431
27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,18,3,0.05,100.0,35.899092555903195,34.73254226840673,1.166550287496463
27-08-26/0/map3-0.05-data-2026.08.27-16.29.39.734.jpk-force-map,18,3,0.05,200.0,2.224143447177256,2.063274890023384,0.16086855715387172
27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,19,4,0.2,20.0,2056.6464208172965,2053.036563027026,3.6098577902703255
27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,19,4,0.2,50.0,345.1436078665281,342.98107406652923,2.1625337999988687
27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,19,4,0.2,100.0,23.653616810090103,20.553371159547172,3.1002456505429308
27-08-26/0/map4-0.2-data-2026.08.27-16.47.00.630.jpk-force-map,19,4,0.2,200.0,1.7666271628848116,0.6640744398847117,1.1025527230001
27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,20,4,0.1,20.0,2021.6224267602638,2024.4723826758204,-2.8499559155566203
27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,20,4,0.1,50.0,308.68846098965116,312.39352743052376,-3.7050664408725993
27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,20,4,0.1,100.0,16.802909801856053,19.187249717011326,-2.384339915155273
27-08-26/0/map4-0.1-data-2026.08.27-16.50.32.826.jpk-force-map,20,4,0.1,200.0,1.3323428688445205,1.3583060073463096,-0.025963138501789107
27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,21,4,0.05,20.0,1907.9912092456216,1922.4016944880032,-14.410485242381583
27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,21,4,0.05,50.0,253.3711713628095,256.5413156454814,-3.170144282671913
27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,21,4,0.05,100.0,13.664789815096258,18.157821498360132,-4.493031683263874
