block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,pair_midpoint_acquisition_order,pair_center_time_epoch_s,pair_half_span_min,baseline_method,quantity,distance_nm,median_pN,q25_pN,q75_pN,paired_pixel_count,early_source,late_source
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,105.0,-3.2414480598878317,-8.497432914030437,2.3566784115506936,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,110.0,8.683513472537285,0.5388749971979208,16.681054626547038,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,110.0,-3.5102321378373884,-6.952936989675861,2.4425979584853654,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,115.0,8.022255628360206,-0.28296035047018653,15.644380970117552,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,115.0,-2.2424923372157424,-7.221739047063068,3.571275582648138,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,120.0,8.657610392889318,-0.8355803746906529,14.851112780124089,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,120.0,-2.2453611089044676,-6.6880394054499845,2.414389059886523,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,125.0,6.613636739082297,-1.387405338603798,14.975502129731677,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,125.0,-1.3911619193967777,-6.325957448351158,3.3793931666246957,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,130.0,7.392014818092018,-0.31097351332059925,13.388207441567346,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
