block,baseline_method,distance_nm,low_actual_speed_um_per_s,high_actual_speed_um_per_s,speed_slope_median_pN_per_um_s,speed_slope_q25_pN_per_um_s,speed_slope_q75_pN_per_um_s,zero_speed_intercept_median_pN,zero_speed_intercept_q25_pN,zero_speed_intercept_q75_pN,mid_speed_residual_median_pN,mid_speed_residual_q25_pN,mid_speed_residual_q75_pN,mid_speed_pair_present,mid_speed_pixel_count,paired_pixel_count,theory_no_slip_hyd_slope_pN_per_um_s,observed_to_theory_slope_ratio
1,far_constant_referenced,20.0,0.049361446369162475,0.19646557354775118,295.43199330168534,-40.902718105471585,561.6336726953677,1706.9272049393198,1642.7879630027228,1808.7330050803141,7.328885229484058,-14.515410874977022,29.892664232934635,True,64,64,17.159049353985456,17.217270444709495
1,far_constant_referenced,25.0,0.049361446369162475,0.19646557354775118,314.6468207042125,104.58720667908354,585.7084945926971,1171.9573625226851,1115.2192880896478,1242.93133757912,12.262800673255697,-4.607212169404761,26.851906829456397,True,64,64,13.727239483188363,22.921347084354274
1,far_constant_referenced,30.0,0.049361446369162475,0.19646557354775118,355.4182110661035,176.63997335679096,601.7510282863165,801.0033655046609,754.0240423389852,860.4819897349514,13.86291910437177,-0.1352608493514822,27.30870872001242,True,64,64,11.439366235990303,31.069746674242662
1,far_constant_referenced,35.0,0.049361446369162475,0.19646557354775118,380.12135123494147,258.96902494868647,521.8735422931924,555.5418031049247,512.609729378913,598.966519568605,13.610043731569533,1.352399853639156,23.040436578503233,True,64,64,9.80517105942026,38.76743699129472
1,far_constant_referenced,40.0,0.049361446369162475,0.19646557354775118,362.59472925919283,283.7020600434747,506.1616089353195,383.6794287903667,354.81120485360736,419.99951650371884,11.611220953132346,4.896287797370235,17.743160929895282,True,64,64,8.579524676992728,42.26279927040067
1,far_constant_referenced,45.0,0.049361446369162475,0.19646557354775118,361.5082979934389,280.85770216644835,437.03331692133975,263.8243966677695,240.92493673732054,291.2150848493667,9.806459619911976,5.343766324516338,14.788322674908969,True,64,64,7.626244157326869,47.4031896351131
1,far_constant_referenced,50.0,0.049361446369162475,0.19646557354775118,341.4417578929965,273.90591065170133,407.91923190167495,181.916624837997,160.8141247542724,200.56767466658718,9.536909315869622,5.269338656660743,14.746384425236435,True,64,64,6.8636197415941815,49.74660175647951
1,far_constant_referenced,55.0,0.049361446369162475,0.19646557354775118,303.4914311849409,241.911840108615,353.8445591199315,124.92689113928104,110.64352389395353,140.9268796515743,9.161408261638556,4.603539393994659,11.465655475661357,True,64,64,6.239654310540166,48.63914186275933
1,far_constant_referenced,60.0,0.049361446369162475,0.19646557354775118,255.88082459664395,206.3370397109731,302.9772626813319,87.99944268191192,74.13332815096153,97.20053694422867,7.128064776417787,4.039635474505811,11.994687759211558,True,64,64,5.719683117995151,44.736888271239515
1,far_constant_referenced,65.0,0.049361446369162475,0.19646557354775118,224.11505358935574,175.24347054644176,260.1015803912139,62.232229662898504,50.93927926627621,69.9352358884525,5.674462679372958,2.7266147176017697,9.166187381331632,True,64,64,5.279707493533986,42.44838447278141
1,far_constant_referenced,70.0,0.049361446369162475,0.19646557354775118,188.25325382831988,156.25766936258586,219.5594181043461,45.2309088556846,36.12341227156223,51.52995784661019,5.012746240411772,1.2287819484100417,7.927237391548292,True,64,64,4.90258552971013,38.39876993220974
1,far_constant_referenced,75.0,0.049361446369162475,0.19646557354775118,150.93134631994997,125.65919327626106,177.43458089230523,33.38563754406421,25.272068304229776,39.383966042638484,4.6305620172787165,0.8596561366080451,8.045247320565949,True,64,64,4.575746494396121,32.98507609737435
1,far_constant_referenced,80.0,0.049361446369162475,0.19646557354775118,126.64495877852886,105.62067083768255,151.4604723793546,25.837126086130183,19.819719993133567,29.79377463108999,3.3809466246294164,0.28376104945218295,6.993195448792305,True,64,64,4.289762338496364,29.522604933615067
1,far_constant_referenced,85.0,0.049361446369162475,0.19646557354775118,99.69939637877084,86.4854152097014,130.40419020647946,19.386824177561383,16.22466656529757,24.265132197814346,2.561452595492531,0.6177097153893261,6.857816793868976,True,64,64,4.037423377408342,24.69381758094658
1,far_constant_referenced,90.0,0.049361446369162475,0.19646557354775118,80.9042283351511,59.087452350502325,102.57144894749759,17.92480054472017,14.039925626339905,21.52936092518268,2.755235258677681,-0.15201326496275502,6.601137949266044,True,64,64,3.8131220786634343,21.21731921142935
1,far_constant_referenced,95.0,0.049361446369162475,0.19646557354775118,63.147853457860016,32.898528306167705,86.03129897125503,16.580290264227973,11.382123009865172,19.957595709056612,2.1489769822148244,-0.8961353371610876,5.613027730655103,True,64,64,3.6124314429443065,17.480706403770935
1,far_constant_referenced,100.0,0.049361446369162475,0.19646557354775118,43.790798068664074,21.208401120864742,65.69291891956819,14.655029050035996,10.833303917281981,17.9421529420189,2.097382694754101,-1.7193320767511056,5.3857634145697695,True,64,64,3.4318098707970908,12.760263452034708
1,far_constant_referenced,105.0,0.049361446369162475,0.19646557354775118,33.92696624156359,10.94027120335804,53.03539516016471,14.01954414021042,9.692350280796042,17.668873751579696,1.9782911988036211,-1.6437627982582765,4.8278685107718,True,64,64,3.268390353140087,10.380328717152299
1,far_constant_referenced,110.0,0.049361446369162475,0.19646557354775118,12.952718490746662,-1.188106311007489,46.15879513709213,13.199138744704545,8.961087789315961,17.085525160351985,1.7415643864031791,-1.3272571725843183,3.834056759540748,True,64,64,3.119827155270083,4.151742338951898
1,far_constant_referenced,115.0,0.049361446369162475,0.19646557354775118,20.995927123180547,-3.7801033749013295,40.77956554420654,12.64206137731129,8.347621863067396,15.555882743247444,1.043722445774132,-1.4602929812654106,3.9695464610860016,True,64,64,2.9841824963452965,7.035738313221153
