block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_scan_number,late_scan_number,pair_center_time,early_late_separation_min,pixelwise_pairing_permitted,early_force_pN,late_force_pN,pair_mean_force_pN,history_half_difference_pN,history_half_difference_absolute_pN,early_gap_speed_um_per_s,late_gap_speed_um_per_s,pair_mean_gap_speed_um_per_s,pair_gap_speed_over_nominal
2,0.2,50.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,217.9012577539073,223.92976004357075,220.915508898739,3.014251144831732,3.014251144831732,0.19164049267186578,0.1914417872818899,0.19154113997687783,0.9577056998843891
2,0.2,55.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,190.13488996465045,197.53895626122065,193.83692311293555,3.7020331482850963,3.7020331482850963,0.19226192896476596,0.1932285789656697,0.19274525396521783,0.9637262698260891
2,0.2,60.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,161.36148871952943,171.16778221009085,166.26463546481014,4.903146745280708,4.903146745280708,0.19405972014457784,0.19511100040438897,0.19458536027448342,0.972926801372417
2,0.2,65.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,135.7185635745994,144.70523811507803,140.2119008448387,4.493337270239323,4.493337270239323,0.1953992515477531,0.19481808975508494,0.19510867065141901,0.9755433532570951
2,0.2,70.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,126.91356996373193,123.44751019231182,125.18054007802188,-1.733029885710053,1.733029885710053,0.19556713898142453,0.19535977662357915,0.19546345780250185,0.9773172890125092
2,0.2,75.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,108.56421973618043,99.01993373004086,103.79207673311065,-4.772143003069786,4.772143003069786,0.19589611353589786,0.19578448911002724,0.19584030132296254,0.9792015066148126
2,0.2,80.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,92.111595818405,96.83806792164027,94.47483187002263,2.3632360516176405,2.3632360516176405,0.19686251217354173,0.19672543701072753,0.19679397459213463,0.9839698729606731
2,0.2,85.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,81.49258908895803,82.6847210247638,82.08865505686092,0.5960659679028879,0.5960659679028879,0.19710434487733852,0.1970515729606513,0.1970779589189949,0.9853897945949744
2,0.2,90.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,67.9385421228961,69.17121863304183,68.55488037796897,0.6163382550728684,0.6163382550728684,0.1974417428601019,0.19824503425892365,0.19784338855951278,0.9892169427975639
2,0.2,95.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,64.56968482629182,65.73412330675671,65.15190406652427,0.5822192402324475,0.5822192402324475,0.19829992394062246,0.19765243225744686,0.19797617809903467,0.9898808904951734
2,0.2,100.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,58.99988275231049,64.7299283947588,61.86490557353464,2.865022821224155,2.865022821224155,0.19766078413286103,0.1984163742509461,0.19803857919190357,0.9901928959595178
2,0.2,105.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,54.15022349407951,57.37098223577874,55.760602864929126,1.6103793708496141,1.6103793708496141,0.19799563298065898,0.19806717420857728,0.19803140359461813,0.9901570179730906
2,0.2,110.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,40.66270578253826,54.98205806826923,47.82238192540375,7.159676142865486,7.159676142865486,0.19800105281440394,0.1978253311530619,0.19791319198373292,0.9895659599186646
2,0.2,115.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,38.466364812626466,48.22121146085684,43.34378813674165,4.877423324115188,4.877423324115188,0.19910868613402166,0.1976463223299215,0.1983775042319716,0.9918875211598579
2,0.2,120.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,34.12923924879199,35.81016561411252,34.969702431452255,0.8404631826602653,0.8404631826602653,0.19870877622006797,0.1980047297508826,0.19835675298547528,0.9917837649273764
2,0.2,125.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,32.46041553070515,31.06462866400945,31.762522097357298,-0.6978934333478488,0.6978934333478488,0.19942266740865244,0.19875688941541475,0.1990897784120336,0.995448892060168
2,0.2,130.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,33.46285930121297,34.52138196573273,33.99212063347285,0.5292613322598783,0.5292613322598783,0.19845198094465083,0.19841230398393744,0.19843214246429414,0.9921607123214706
2,0.2,135.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,31.07272063234597,27.19025636107688,29.131488496711427,-1.9412321356345448,1.9412321356345448,0.1983790408442785,0.19868145962990635,0.19853025023709242,0.992651251185462
2,0.2,140.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,22.121337241738992,28.043994326002334,25.082665783870663,2.961328542131671,2.961328542131671,0.1979759633934398,0.19934321293689958,0.1986595881651697,0.9932979408258485
2,0.2,145.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,18.445931329582187,26.76679080683399,22.606361068208088,4.160429738625901,4.160429738625901,0.19922749060125924,0.1994537441357443,0.19934061736850178,0.9967030868425089
2,0.2,150.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,18.23476343681124,18.17696164552569,18.205862541168464,-0.028900895642774316,0.028900895642774316,0.20032809196283674,0.1987440438447709,0.19953606790380382,0.997680339519019
2,0.2,155.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,21.442275640463734,20.889846988730316,21.166061314597023,-0.27621432586670913,0.27621432586670913,0.19955843835022105,0.19858423861663554,0.19907133848342828,0.9953566924171414
2,0.2,160.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,15.536353255118373,21.83851376895701,18.687433512037693,3.151080256919319,3.151080256919319,0.19886543645379173,0.1994749431843974,0.19917018981909457,0.9958509490954728
2,0.2,165.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,17.508830556455734,18.935827283584555,18.222328920020146,0.7134983635644101,0.7134983635644101,0.19836833654317299,0.199132645912095,0.198750491227634,0.99375245613817
2,0.2,170.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,6.032611823320721,13.206939654057392,9.619775738689057,3.5871639153683352,3.5871639153683352,0.199193477333464,0.1992322821158923,0.19921287972467816,0.9960643986233908
2,0.2,175.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,4.565056399741018,13.788911757386106,9.176984078563562,4.6119276788225445,4.6119276788225445,0.1991027818659976,0.1989880892575766,0.1990454355617871,0.9952271778089355
2,0.2,180.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,12.99061719157877,19.802388123291756,16.396502657435263,3.4058854658564934,3.4058854658564934,0.19888103825005032,0.19877340198402874,0.19882722011703952,0.9941361005851975
2,0.2,185.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,7.616349835934068,12.153034919111855,9.884692377522962,2.2683425415888934,2.2683425415888934,0.19908792240300133,0.198965325448993,0.19902662392599718,0.9951331196299859
2,0.2,190.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,0.07866014597254634,9.031794678070474,4.555227412021511,4.4765672660489635,4.4765672660489635,0.1991690739531655,0.19827250528702467,0.1987207896200951,0.9936039481004755
2,0.2,195.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,8.262450435287223,4.332550000583993,6.297500217935608,-1.964950217351615,1.964950217351615,0.19946896654175958,0.19883421505616541,0.1991515907989625,0.9957579539948125
2,0.2,200.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,6.846991471041587,-2.223554273553884,2.3117185987438518,-4.535272872297735,4.535272872297735,0.19947780759883035,0.1990842892746681,0.1992810484367492,0.996405242183746
2,0.2,205.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,8.378152872622067,5.846891970594225,7.112522421608146,-1.2656304510139211,1.2656304510139211,0.19942583344442544,0.1992618310932329,0.19934383226882918,0.9967191613441458
2,0.2,210.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,5.622449295559779,3.2450628909309236,4.433756093245352,-1.1886932023144277,1.1886932023144277,0.19972970406684365,0.1991001984388824,0.19941495125286302,0.9970747562643151
2,0.2,215.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,14.533344600258921,6.807082391595447,10.670213495927184,-3.863131104331737,3.863131104331737,0.19955670559994398,0.19920721975948086,0.19938196267971242,0.9969098133985621
2,0.2,220.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,4.754222047013055,4.051407058749921,4.4028145528814875,-0.35140749413156724,0.35140749413156724,0.19872610509046798,0.20000131139991453,0.19936370824519126,0.9968185412259563
2,0.2,225.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,1.2644653770391505,-2.709411304441195,-0.7224729637010223,-1.9869383407401728,1.9869383407401728,0.19879153522942505,0.1989813684161072,0.19888645182276612,0.9944322591138306
2,0.2,230.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,0.4725822486232496,6.066688471836843,3.269635360230046,2.7970531116067967,2.7970531116067967,0.199033377979908,0.19901922267018168,0.19902630032504484,0.9951315016252241
2,0.2,235.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-3.3063810873075865,1.1961991031375976,-1.0550909920849945,2.251290095222592,2.251290095222592,0.19941679329693981,0.20007248645646472,0.19974463987670227,0.9987231993835113
