block,distance_nm,speed_um_per_s,pair_mean_force_pN,double_centered_interaction_pN,pair_mean_gap_speed_um_per_s,gap_speed_over_nominal,additive_null_prediction_pN,theoretical_no_slip_prediction_pN,fitted_v_over_D_prediction_pN,shifted_v_over_D_prediction_pN,velocity_power_over_D_prediction_pN,empirical_power_shift_prediction_pN,actual_gap_theoretical_no_slip_prediction_pN,actual_gap_fitted_prediction_pN,actual_gap_shifted_prediction_pN
1,75.0,0.1,49.85126999031087,-8.35577174748417,0.09851626852218753,0.9851626852218753,-0.0,-4.867945713963302,-0.5053096080027181,-7.246999781723033,-0.5226672546207409,-7.469808700143734,-27.451014307929643,-3.534907676095413,-6.9203471384963455
1,75.0,0.2,102.10476717461474,-1.5815873808384282,0.19643716922735344,0.9821858461367672,-0.0,-1.2169864284908258,-0.12632740200067957,-1.811749945430759,-0.10029093219088347,-1.448649455352867,-7.30675534613501,-0.9409016829277173,-1.7486014643261165
1,75.0,0.4,192.72689005659424,9.937359128322626,0.3894779910363003,0.9736949775907507,0.0,6.084932142454124,0.6316370100033974,9.058749727153788,0.6229581868116245,8.918458155496605,34.757769654064106,4.47580935902306,8.668948602822576
1,80.0,0.1,46.094266533552954,-2.4984859048187786,0.09884280964960394,0.9884280964960394,0.0,30.107881571675705,3.1253022791803478,-2.7248328617309134,3.23265803034236,-2.7996067409350522,4.140213486054945,0.5331414084871084,-2.4273708983920637
1,80.0,0.2,88.59294531384148,-5.47911994218839,0.19712006175832775,0.9856003087916387,0.0,7.526970392918929,0.7813255697950873,-0.6812082154327286,0.6202919437771779,-0.5429387743731297,0.0001531961455525555,1.97272940368374e-05,-0.7149105857653388
1,80.0,0.4,181.15284747585548,7.977605847007169,0.3912875470147036,0.9782188675367589,-0.0,-37.634851964594624,-3.9066278489754334,3.406041077163641,-3.852949974119539,3.342545515308184,-4.140366682201317,-0.5331611357812507,3.1422814841575626
1,85.0,0.1,36.606652549995246,4.372998010238291,0.0989148214028911,0.989148214028911,0.0,60.968905647239566,6.328783356106586,1.3575033519489874,6.546180340603923,1.41612195423433,34.10262904132552,4.391445934236148,1.899705783744639
1,85.0,0.2,79.53222855696472,1.8192611995496435,0.19703348900851336,0.9851674450425668,0.0,15.242226411809897,1.582195839026647,0.339375837987247,1.2561003637489974,0.2746341144821186,6.628254305671907,0.8535301013436108,0.233882099746617
1,85.0,0.4,150.62388452044564,-6.192259209787892,0.39166621536219615,0.9791655384054904,-0.0,-76.21113205904943,-7.91097919513323,-1.6968791899362339,-7.802280704352922,-1.6907560687164496,-40.730883346998255,-5.244976035579865,-2.1335878834910957
1,90.0,0.1,26.84199103615247,4.3396462966408365,0.09908255420502114,0.9908255420502113,0.0,88.40092704774071,9.176322091152123,5.061200664647767,9.491533505280863,5.2406388057617255,59.52605982476142,7.66525868377407,5.588358407676124
1,90.0,0.2,72.44980741024736,4.468149853077591,0.19750759613698127,0.9875379806849063,0.0,22.100231761935188,2.2940805227880317,1.2653001661619423,1.821263403723947,1.0163377479160531,12.936304219786859,1.6658270100285746,1.1494605540312537
1,90.0,0.4,138.27703778026984,-8.8077961497184,0.39271335761325227,0.9817833940331306,-0.0,-110.50115880967587,-11.470402613940152,-6.3265008308097075,-11.312796909004811,-6.256976553677783,-72.46236404454923,-9.331085693802768,-6.737818961707241
1,95.0,0.1,22.914985633752945,8.834351057748236,0.09925361126496736,0.9925361126496736,0.0,112.94536724818916,11.724119906719189,8.436602817273215,12.126849494728654,8.725984767199934,82.24083460462738,10.590273797220437,8.908082260624779
1,95.0,0.2,58.754638211024584,-0.8053091826382541,0.19763934574621758,0.9881967287310879,0.0,28.2363418120473,2.9310299766797985,2.1091507043183046,2.3269355973857446,1.6922646332533744,17.402427114804127,2.240936254695778,1.7895893226744362
1,95.0,0.4,130.63408189137135,-8.029041875109954,0.394138935867853,0.9853473396696324,-0.0,-141.18170906023641,-14.655149883398984,-10.545753521591516,-14.453785092114401,-10.418249400453316,-99.64326171943233,-12.83121005191632,-10.697671583299078
