model,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,parameter_count,interaction_rms_pN,residual_rmse_pN,normalized_rmse,optimizer_success,optimizer_nfev,optimizer_message,jacobian_rank,jacobian_condition,fit_range,minimum_distance_nm,maximum_distance_nm,scope,blocks,glycerol_mass_fraction_assumed,temperature_C_assumed,probe_radius_um_assumed,viscosity_mPa_s_assumed,theoretical_no_slip_coefficient_pN_nm_per_um_s
fitted_v_over_D,35262.07726618004,1.0,0.0,1,31.208494416180837,5.0787307788398985,0.1627355267803852,True,0,closed form,1,1.0,sensitivity_30_200,30.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,62761.147041810604,1.0,21.371492887265934,2,31.208494416180837,3.3513259311232413,0.10738505633856087,True,19,`ftol` termination condition is satisfied.,2,7473.376625916775,sensitivity_30_200,30.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,32672.72065953142,0.6882046407930372,0.0,2,31.208494416180837,4.778752062058951,0.15312344127633679,True,6,`ftol` termination condition is satisfied.,2,6159.159295127546,sensitivity_30_200,30.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,57681.679851919915,0.7113021982547367,20.963202777737884,3,31.208494416180837,2.9454246172051857,0.09437893984651997,True,17,`ftol` termination condition is satisfied.,3,60686.07228887699,sensitivity_30_200,30.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,31.208494416180837,210.40511352517083,6.741918104709369,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,sensitivity_30_200,30.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,40391.26392579892,1.0,0.0,1,31.208494416180837,3.874464849561099,0.1241477656016717,True,0,closed form,1,1.0,sensitivity_30_200,30.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,54138.01536900874,1.0,9.700044954739727,2,31.208494416180837,3.169629439335609,0.10156303591794655,True,20,`xtol` termination condition is satisfied.,2,6538.119156402598,sensitivity_30_200,30.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,33.24226880614172,33.24226880614172,1.0,True,0,closed form,0,nan,sensitivity_30_200,30.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,33.24226880614172,242.05115128679924,7.281426929622768,True,0,fixed campaign-assumption coefficient,0,nan,sensitivity_30_200,30.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,37653.54148393831,1.0,0.0,1,33.24226880614172,4.888815799314773,0.14706624953383243,True,0,closed form,1,1.0,sensitivity_30_200,30.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
