acquisition_order,instrument_scan_number,block,position_in_block,map_midpoint_time,elapsed_midpoint_min,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN,available_gap_speed_pixels,map_median_gap_speed_um_per_s,map_gap_speed_q25_um_per_s,map_gap_speed_q75_um_per_s,map_gap_speed_spatial_mad_um_per_s
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,155.0,63,4.109251216362307,-11.238557764270592,15.538104396608471,21.2290132638442,63,0.09970373166427833,0.09912446507129818,0.10038605100581385,0.0010065945300737882
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,160.0,63,-0.09947613433214224,-7.723353054252799,15.577999353946792,15.383573560080062,63,0.09963132210507315,0.09910409875100147,0.10002488603101696,0.0007305028139118499
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,165.0,63,-1.1198832272238208,-18.01440205121756,13.973402986647296,24.148194688622233,63,0.0995058417736998,0.09893195456905085,0.09999189023851882,0.0007867720413505816
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,170.0,63,-2.742965434932527,-11.966806670468388,7.269863896717503,14.450517550974832,63,0.09962046574902975,0.09889454707601694,0.10031099766061588,0.001027147957679766
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,175.0,63,1.3628399868859316,-14.543145343760964,11.548015534234649,19.700747753193472,63,0.09965704743106839,0.09896574942357175,0.10019137414839524,0.0009124168866624364
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,180.0,63,-5.932500194092788,-17.8964118322586,5.979329106847899,17.868889384357512,63,0.09972697278757499,0.09911576163364343,0.10045111303011717,0.0010145744193002207
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,185.0,63,-0.5044134818406841,-14.671021038874228,15.94184136487016,21.879036979373595,63,0.09967744496471143,0.0991189466920682,0.1003984640415751,0.000873923799460889
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,190.0,63,-3.8257922486848206,-21.5654627954589,8.662176724651463,25.86347339991799,63,0.09981252928402383,0.0993439453193061,0.1003433143076045,0.0007395001372566931
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,195.0,63,-7.753433145979854,-17.27054821480447,11.305087018790429,16.05939219983186,63,0.0997972905059401,0.09891930941548405,0.1003420617945529,0.001164936829740385
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,200.0,63,-2.1702856791897265,-11.524304513572476,14.923241901903516,14.803899637898096,63,0.09970979374639136,0.09894105846415055,0.1002803369048918,0.0009045483611661911
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,205.0,63,-3.750606141475424,-21.755758211433623,7.85290928031256,24.050500600603616,63,0.09965380612013595,0.09908751588767462,0.10024744337131294,0.0008868771052085523
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,210.0,63,-2.582142860006112,-17.826422661084273,10.63869294910275,22.565198713744163,63,0.0997482387528692,0.09917953769122576,0.10042550278113477,0.0009466491760423494
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,215.0,63,-2.6053031184261686,-18.610778705513304,8.5944894572102,21.861868279807226,63,0.09983111617115056,0.09920111982289895,0.10037319541022707,0.0008669733147783726
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,220.0,63,-2.2200519905736886,-16.61399725494482,10.56871790003681,19.6749947038435,63,0.09959331570630048,0.09910160670506366,0.10035564006003159,0.0009756623430573322
